"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-52.7 -38.5 -29.6 -13.8 -3 10.5 16 12.2 -0.7 -14.5 -31.9 -44
-48.3 -46.4 -36.2 -15.1 -0.1 11.6 12.6 9.8 0.3 -18.1 -37 -48.4
-49.1 -47.7 -30.1 -18.6 -0.9 10.5 14.7 11.9 2.1 -16.1 -39.4 -43.4
-50.2 -38.9 -34.9 -17.5 -2 13.5 18 10 3.9 -15.3 -40.3 -41.7
-52.5 -46.8 -28.7 -15.8 1.9 9.6 13.3 6.9 0.6 -18.8 -39.9 -49.8
-50.5 -40.4 -27.4 -15 -0.7 12 13.7 9.8 2.1 -18.2 -37.8 -36.9
-50.3 -41.9 -33 -18.6 -4.5 12.5 14.5 8.3 0.2 -17.6 -39.4 -47.2
-44.5 -39.6 -28.4 -19.6 0.4 12.7 17.9 9.8 1.1 -16.4 -32.9 -51.3
-46 -44.9 -28.3 -15.9 -4.4 8.7 14.2 9.6 -0.1 -19 -32.6 -42.2
-47.4 -46 -31.9 -18.2 -2 9.9 11.4 9.2 0.7 -20.2 -41.1 -43.6
-47.6 -43.4 -30.8 -16 -0.3 11.6 14.8 11.6 3.2 -13.7 -37.7 -42.9
-48.5 -42.5 -32.9 -13.6 -0.1 11 15.4 9 2 -11 -33.8 -50.6
-53.6 -43.1 -35.2 -16.3 1.2 13.3 17.3 9.4 4.6 -11.5 -38.2 -49.6
-52.6 -47.4 -34 -13 0.3 10.2 16.5 13.3 1.7 -10.8 -39.9 -43.2
-45.2 -43.8 -33 -13.9 -1.2 12.6 15.2 12.7 2 -11.7 -37.5 -50.1
-52.8 -38.6 -29.7 -13.9 -3.1 10.4 15.9 12.1 -0.8 -14.6 -32 -44.1
-48.4 -46.5 -36.3 -15.2 -0.2 11.5 12.5 9.7 0.2 -18.2 -37.1 -48.5
-49.2 -47.8 -30.2 -18.7 -1 10.4 14.6 11.8 2 -16.2 -39.5 -43.5
-50.3 -39 -35 -17.6 -2.1 13.4 17.9 9.9 3.8 -15.4 -40.4 -41.8
-52.6 -46.9 -28.8 -15.9 1.8 9.5 13.2 6.8 0.5 -18.9 -40 -49.9
-47.58 -47.58 -30.88 -17.48 -2.48 10.12 14.62 11.72 0.32 -10.98 -34.18 -48.68
-45.68 -42.68 -31.58 -14.48 1.42 12.52 17.22 12.12 1.12 -18.08 -38.78 -44.78
-48.58 -47.18 -29.28 -16.48 -1.68 11.02 12.02 10.02 1.32 -13.38 -38.28 -49.08
-49.58 -51.08 -34.18 -12.88 -0.88 10.92 13.42 12.02 4.02 -12.68 -36.58 -42.58
-43.08 -40.18 -27.68 -9.78 -0.98 9.32 14.62 11.32 1.42 -17.78 -40.18 -45.78
-47.28 -38.58 -33.68 -18.28 -2.38 11.12 12.32 10.72 3.32 -16.18 -28.88 -49.98
-50.38 -49.28 -31.28 -18.78 -2.68 10.92 12.82 8.32 0.12 -18.28 -39.68 -40.98
-50.18 -43.38 -28.98 -17.28 -3.08 9.62 12.32 9.52 0.02 -15.78 -35.78 -45.38
-50.28 -45.28 -31.88 -18.68 -2.78 10.12 12.62 10.62 2.92 -16.58 -31.58 -41.38
-43.48 -46.88 -29.08 -18.28 -1.58 9.12 13.82 8.72 -0.18 -14.98 -37.68 -44.08
-46.98 -44.08 -29.58 -17.68 -0.38 8.02 15.82 11.32 2.82 -17.78 -36.98 -43.58
-49.98 -47.18 -35.78 -15.08 1.42 11.42 14.12 9.72 3.12 -11.48 -27.88 -41.88
-49.58 -45.08 -28.98 -13.78 -2.78 10.62 12.92 11.22 0.02 -14.98 -36.78 -42.78
-47.08 -41.08 -33.88 -17.18 -0.08 10.92 14.12 9.32 -0.98 -16.08 -41.18 -44.18
-45.18 -45.08 -27.48 -16.28 -3.68 12.32 13.82 9.82 2.02 -17.98 -33.88 -45.28
-48.61 -47.01 -32.51 -15.71 -1.81 10.49 13.99 7.99 -0.91 -17.51 -38.11 -46.81
-48.31 -40.11 -29.91 -14.71 -0.61 11.09 14.69 9.39 2.29 -9.71 -34.31 -44.11
-47.11 -42.11 -28.71 -15.51 0.09 11.09 12.99 10.29 0.29 -13.91 -35.31 -45.71
-47.21 -43.31 -29.21 -15.01 -0.81 9.49 12.49 8.29 2.49 -13.51 -39.41 -40.81
-46.61 -44.61 -33.41 -18.91 -2.91 10.09 11.99 7.59 -0.31 -17.41 -40.51 -46.31
-49.51 -45.91 -32.61 -19.11 -1.01 10.39 13.39 10.19 2.79 -13.51 -36.51 -41.91
-49.91 -44.51 -30.51 -17.01 -2.71 9.89 14.99 11.09 2.79 -17.21 -39.31 -45.31
-45.81 -43.61 -29.51 -15.11 0.59 10.89 14.79 9.49 2.09 -14.91 -36.01 -43.91
-48.11 -43.61 -32.21 -13.51 -1.91 11.09 13.89 9.59 0.39 -13.31 -37.41 -43.11
-43.11 -45.21 -35.81 -19.61 -1.51 10.89 13.09 10.29 0.29 -16.41 -38.71 -46.61
-47.21 -40.41 -31.61 -20.51 -2.81 12.69 13.89 8.19 1.59 -19.71 -34.11 -41.11
-43.91 -45.01 -33.11 -16.41 -0.51 11.49 12.69 8.69 -0.81 -18.71 -39.21 -45.21
-48.31 -44.71 -35.11 -18.21 -3.21 8.99 14.09 10.69 1.99 -17.51 -43.11 -45.51
-48.11 -42.41 -27.21 -16.31 0.39 12.29 12.89 9.49 2.39 -15.61 -32.41 -47.11
-46.71 -44.81 -32.91 -16.21 -0.41 12.29 14.59 9.29 0.49 -17.91 -38.31 -43.61
-48.47 -46.87 -32.37 -15.57 -1.67 10.63 14.13 8.13 -0.77 -17.37 -37.97 -46.67
-48.17 -39.97 -29.77 -14.57 -0.47 11.23 14.83 9.53 2.43 -9.57 -34.17 -43.97
-46.97 -41.97 -28.57 -15.37 0.23 11.23 13.13 10.43 0.43 -13.77 -35.17 -45.57
-47.07 -43.17 -29.07 -14.87 -0.67 9.63 12.63 8.43 2.63 -13.37 -39.27 -40.67
-46.47 -44.47 -33.27 -18.77 -2.77 10.23 12.13 7.73 -0.17 -17.27 -40.37 -46.17
-49.37 -45.77 -32.47 -18.97 -0.87 10.53 13.53 10.33 2.93 -13.37 -36.37 -41.77
-49.77 -44.37 -30.37 -16.87 -2.57 10.03 15.13 11.23 2.93 -17.07 -39.17 -45.17
-45.67 -43.47 -29.37 -14.97 0.73 11.03 14.93 9.63 2.23 -14.77 -35.87 -43.77
-47.97 -43.47 -32.07 -13.37 -1.77 11.23 14.03 9.73 0.53 -13.17 -37.27 -42.97
-42.97 -45.07 -35.67 -19.47 -1.37 11.03 13.23 10.43 0.43 -16.27 -38.57 -46.47
-47.07 -40.27 -31.47 -20.37 -2.67 12.83 14.03 8.33 1.73 -19.57 -33.97 -40.97
-43.77 -44.87 -32.97 -16.27 -0.37 11.63 12.83 8.83 -0.67 -18.57 -39.07 -45.07
-48.17 -44.57 -34.97 -18.07 -3.07 9.13 14.23 10.83 2.13 -17.37 -42.97 -45.37
-47.97 -42.27 -27.07 -16.17 0.53 12.43 13.03 9.63 2.53 -15.47 -32.27 -46.97
-46.57 -44.67 -32.77 -16.07 -0.27 12.43 14.73 9.43 0.63 -17.77 -38.17 -43.47
