"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-45.28 -31.08 -22.18 -6.38 4.42 17.92 23.42 19.62 6.72 -7.08 -24.48 -36.58
-40.88 -38.98 -28.78 -7.68 7.32 19.02 20.02 17.22 7.72 -10.68 -29.58 -40.98
-41.68 -40.28 -22.68 -11.18 6.52 17.92 22.12 19.32 9.52 -8.68 -31.98 -35.98
-42.78 -31.48 -27.48 -10.08 5.42 20.92 25.42 17.42 11.32 -7.88 -32.88 -34.28
-45.08 -39.38 -21.28 -8.38 9.32 17.02 20.72 14.32 8.02 -11.38 -32.48 -42.38
-42.84 -35.44 -25.94 -11.54 5.46 19.06 20.86 15.36 9.26 -8.54 -28.74 -36.74
-38.34 -35.24 -23.84 -7.94 6.16 15.76 19.96 16.36 6.56 -8.64 -31.14 -38.84
-38.24 -34.44 -24.24 -10.94 3.66 16.46 20.66 16.46 7.86 -10.24 -28.74 -36.44
-41.24 -32.04 -25.84 -10.54 4.86 19.36 20.96 16.96 6.96 -10.34 -31.34 -38.64
-41.24 -38.14 -25.24 -9.24 4.56 17.46 23.06 16.86 8.76 -8.84 -29.04 -40.34
-43.44 -40.84 -28.14 -11.34 7.66 18.16 19.76 17.86 8.26 -10.04 -28.64 -34.04
-42.24 -38.94 -24.74 -9.34 7.06 19.16 21.36 16.26 9.16 -4.54 -26.64 -36.04
-38.74 -31.64 -20.04 -5.84 6.46 19.56 21.76 17.36 9.56 -7.94 -33.24 -39.14
-38.44 -39.84 -26.54 -10.64 6.96 19.86 22.46 18.66 7.66 -9.64 -30.94 -35.04
-37.04 -35.14 -24.04 -11.44 5.56 17.96 23.06 15.76 9.66 -9.74 -30.54 -36.24
-40.64 -34.04 -24.44 -9.04 8.16 18.16 24.16 19.26 11.56 -6.54 -27.74 -35.24
-43.04 -36.04 -23.64 -7.44 7.76 16.36 21.26 15.66 7.66 -7.24 -33.84 -36.74
-38.54 -35.24 -23.84 -9.74 8.16 18.66 22.96 17.46 9.56 -9.04 -30.34 -37.54
-39.94 -39.54 -21.74 -7.74 6.96 17.46 22.06 17.46 8.86 -10.14 -31.24 -39.34
-37.64 -35.04 -21.14 -7.54 8.26 19.16 20.96 16.36 8.46 -7.54 -27.94 -31.24
-39.03 -38.73 -24.83 -6.53 3.97 17.57 19.87 16.77 9.47 -10.23 -30.83 -38.33
-36.53 -37.43 -26.63 -8.03 8.27 19.07 21.27 16.27 7.97 -11.63 -31.73 -37.93
-42.23 -35.73 -23.43 -8.73 4.37 17.67 19.97 17.57 7.87 -8.13 -25.33 -38.23
-42.43 -40.23 -26.23 -11.93 6.17 17.07 20.17 15.77 6.67 -12.53 -33.43 -35.23
-38.33 -36.33 -26.03 -11.23 6.47 17.27 22.47 18.97 9.77 -8.03 -33.03 -34.43
-33.93 -33.13 -23.83 -6.93 7.67 18.77 21.07 17.57 8.57 -7.53 -27.83 -35.83
-43.23 -33.43 -26.73 -7.43 3.77 16.47 22.77 17.27 9.67 -10.33 -34.73 -38.33
-39.13 -34.83 -22.33 -11.03 7.67 18.17 21.47 19.37 10.27 -9.43 -26.33 -35.83
-35.53 -38.53 -25.53 -9.83 7.17 17.07 21.57 15.17 7.47 -9.23 -28.43 -36.83
-40.63 -32.43 -25.33 -9.33 6.07 18.27 20.57 15.97 9.07 -9.63 -26.53 -33.93
-41.13 -33.53 -23.73 -8.63 5.97 18.97 21.17 16.57 8.07 -6.93 -29.53 -37.03
-39.93 -36.93 -25.53 -9.83 4.67 17.37 22.27 16.97 7.37 -10.63 -33.13 -39.93
-39.93 -34.63 -23.73 -7.83 7.67 19.27 23.37 15.87 10.67 -6.73 -27.83 -32.73
-39.63 -31.33 -19.73 -10.03 6.57 17.07 20.37 16.27 9.07 -10.13 -30.83 -33.33
-39.93 -35.33 -16.73 -6.23 10.97 19.97 19.77 18.37 8.27 -7.63 -32.03 -37.43
-39.23 -38.93 -25.03 -6.73 3.77 17.37 19.67 16.57 9.27 -10.43 -31.03 -38.53
-36.73 -37.63 -26.83 -8.23 8.07 18.87 21.07 16.07 7.77 -11.83 -31.93 -38.13
-42.43 -35.93 -23.63 -8.93 4.17 17.47 19.77 17.37 7.67 -8.33 -25.53 -38.43
-42.63 -40.43 -26.43 -12.13 5.97 16.87 19.97 15.57 6.47 -12.73 -33.63 -35.43
-38.53 -36.53 -26.23 -11.43 6.27 17.07 22.27 18.77 9.57 -8.23 -33.23 -34.63
-34.13 -33.33 -24.03 -7.13 7.47 18.57 20.87 17.37 8.37 -7.73 -28.03 -36.03
-43.43 -33.63 -26.93 -7.63 3.57 16.27 22.57 17.07 9.47 -10.53 -34.93 -38.53
-39.33 -35.03 -22.53 -11.23 7.47 17.97 21.27 19.17 10.07 -9.63 -26.53 -36.03
-35.73 -38.73 -25.73 -10.03 6.97 16.87 21.37 14.97 7.27 -9.43 -28.63 -37.03
-40.83 -32.63 -25.53 -9.53 5.87 18.07 20.37 15.77 8.87 -9.83 -26.73 -34.13
-41.33 -33.73 -23.93 -8.83 5.77 18.77 20.97 16.37 7.87 -7.13 -29.73 -37.23
-40.13 -37.13 -25.73 -10.03 4.47 17.17 22.07 16.77 7.17 -10.83 -33.33 -40.13
-40.13 -34.83 -23.93 -8.03 7.47 19.07 23.17 15.67 10.47 -6.93 -28.03 -32.93
-39.83 -31.53 -19.93 -10.23 6.37 16.87 20.17 16.07 8.87 -10.33 -31.03 -33.53
-40.13 -35.53 -16.93 -6.43 10.77 19.77 19.57 18.17 8.07 -7.83 -32.23 -37.63
-40.22 -40.22 -23.52 -10.12 4.88 17.48 21.98 19.08 7.68 -3.62 -26.82 -41.32
-38.32 -35.32 -24.22 -7.12 8.78 19.88 24.58 19.48 8.48 -10.72 -31.42 -37.42
-41.22 -39.82 -21.92 -9.12 5.68 18.38 19.38 17.38 8.68 -6.02 -30.92 -41.72
-42.22 -43.72 -26.82 -5.52 6.48 18.28 20.78 19.38 11.38 -5.32 -29.22 -35.22
-35.72 -32.82 -20.32 -2.42 6.38 16.68 21.98 18.68 8.78 -10.42 -32.82 -38.42
-39.92 -31.22 -26.32 -10.92 4.98 18.48 19.68 18.08 10.68 -8.82 -21.52 -42.62
-43.02 -41.92 -23.92 -11.42 4.68 18.28 20.18 15.68 7.48 -10.92 -32.32 -33.62
-42.82 -36.02 -21.62 -9.92 4.28 16.98 19.68 16.88 7.38 -8.42 -28.42 -38.02
-42.92 -37.92 -24.52 -11.32 4.58 17.48 19.98 17.98 10.28 -9.22 -24.22 -34.02
-36.12 -39.52 -21.72 -10.92 5.78 16.48 21.18 16.08 7.18 -7.62 -30.32 -36.72
-39.62 -36.72 -22.22 -10.32 6.98 15.38 23.18 18.68 10.18 -10.42 -29.62 -36.22
-42.62 -39.82 -28.42 -7.72 8.78 18.78 21.48 17.08 10.48 -4.12 -20.52 -34.52
-42.22 -37.72 -21.62 -6.42 4.58 17.98 20.28 18.58 7.38 -7.62 -29.42 -35.42
-39.72 -33.72 -26.52 -9.82 7.28 18.28 21.48 16.68 6.38 -8.72 -33.82 -36.82
-37.82 -37.72 -20.12 -8.92 3.68 19.68 21.18 17.18 9.38 -10.62 -26.52 -37.92
-40.19 -40.19 -23.49 -10.09 4.91 17.51 22.01 19.11 7.71 -3.59 -26.79 -41.29
-38.29 -35.29 -24.19 -7.09 8.81 19.91 24.61 19.51 8.51 -10.69 -31.39 -37.39
-41.19 -39.79 -21.89 -9.09 5.71 18.41 19.41 17.41 8.71 -5.99 -30.89 -41.69
-42.19 -43.69 -26.79 -5.49 6.51 18.31 20.81 19.41 11.41 -5.29 -29.19 -35.19
-35.69 -32.79 -20.29 -2.39 6.41 16.71 22.01 18.71 8.81 -10.39 -32.79 -38.39
-39.89 -31.19 -26.29 -10.89 5.01 18.51 19.71 18.11 10.71 -8.79 -21.49 -42.59
-42.99 -41.89 -23.89 -11.39 4.71 18.31 20.21 15.71 7.51 -10.89 -32.29 -33.59
-42.79 -35.99 -21.59 -9.89 4.31 17.01 19.71 16.91 7.41 -8.39 -28.39 -37.99
-42.89 -37.89 -24.49 -11.29 4.61 17.51 20.01 18.01 10.31 -9.19 -24.19 -33.99
-36.09 -39.49 -21.69 -10.89 5.81 16.51 21.21 16.11 7.21 -7.59 -30.29 -36.69
-39.59 -36.69 -22.19 -10.29 7.01 15.41 23.21 18.71 10.21 -10.39 -29.59 -36.19
-42.59 -39.79 -28.39 -7.69 8.81 18.81 21.51 17.11 10.51 -4.09 -20.49 -34.49
-42.19 -37.69 -21.59 -6.39 4.61 18.01 20.31 18.61 7.41 -7.59 -29.39 -35.39
-39.69 -33.69 -26.49 -9.79 7.31 18.31 21.51 16.71 6.41 -8.69 -33.79 -36.79
-37.79 -37.69 -20.09 -8.89 3.71 19.71 21.21 17.21 9.41 -10.59 -26.49 -37.89
-43.23 -33.13 -20.13 -7.73 6.57 19.27 20.97 17.07 9.37 -10.93 -30.53 -29.63
-43.03 -34.63 -25.73 -11.33 2.77 19.77 21.77 15.57 7.47 -10.33 -32.13 -39.93
-37.23 -32.33 -21.13 -12.33 7.67 19.97 25.17 17.07 8.37 -9.13 -25.63 -44.03
-38.73 -37.63 -21.03 -8.63 2.87 15.97 21.47 16.87 7.17 -11.73 -25.33 -34.93
-40.13 -38.73 -24.63 -10.93 5.27 17.17 18.67 16.47 7.97 -12.93 -33.83 -36.33
-40.33 -36.13 -23.53 -8.73 6.97 18.87 22.07 18.87 10.47 -6.43 -30.43 -35.63
-41.23 -35.23 -25.63 -6.33 7.17 18.27 22.67 16.27 9.27 -3.73 -26.53 -43.33
-46.33 -35.83 -27.93 -9.03 8.47 20.57 24.57 16.67 11.87 -4.23 -30.93 -42.33
-45.33 -40.13 -26.73 -5.73 7.57 17.47 23.77 20.57 8.97 -3.53 -32.63 -35.93
-37.93 -36.53 -25.73 -6.63 6.07 19.87 22.47 19.97 9.27 -4.43 -30.23 -42.83
-45.53 -31.33 -22.43 -6.63 4.17 17.67 23.17 19.37 6.47 -7.33 -24.73 -36.83
-41.13 -39.23 -29.03 -7.93 7.07 18.77 19.77 16.97 7.47 -10.93 -29.83 -41.23
-41.93 -40.53 -22.93 -11.43 6.27 17.67 21.87 19.07 9.27 -8.93 -32.23 -36.23
-43.03 -31.73 -27.73 -10.33 5.17 20.67 25.17 17.17 11.07 -8.13 -33.13 -34.53
-45.33 -39.63 -21.53 -8.63 9.07 16.77 20.47 14.07 7.77 -11.63 -32.73 -42.63
-42.88 -35.48 -25.98 -11.58 5.42 19.02 20.82 15.32 9.22 -8.58 -28.78 -36.78
-38.38 -35.28 -23.88 -7.98 6.12 15.72 19.92 16.32 6.52 -8.68 -31.18 -38.88
-38.28 -34.48 -24.28 -10.98 3.62 16.42 20.62 16.42 7.82 -10.28 -28.78 -36.48
-41.28 -32.08 -25.88 -10.58 4.82 19.32 20.92 16.92 6.92 -10.38 -31.38 -38.68
-41.28 -38.18 -25.28 -9.28 4.52 17.42 23.02 16.82 8.72 -8.88 -29.08 -40.38
