"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
6.77 11.17 8.07 23.17 11.37 32.17 61.97 34.87 25.27 21.57 9.77 10.67
12.57 8.17 8.57 12.87 13.67 34.47 56.87 49.07 26.87 16.17 11.47 8.67
7.47 4.87 7.47 7.47 12.07 23.17 35.47 37.87 14.97 11.17 9.17 11.77
7.07 7.47 8.07 10.37 7.77 20.47 26.57 26.77 18.37 17.17 8.67 13.37
5.07 11.77 6.27 13.67 10.47 33.47 20.07 33.57 32.17 13.07 9.97 9.37
5.66 6.16 5.86 8.16 13.06 25.46 58.36 36.36 21.76 11.96 12.46 5.76
10.26 5.76 5.06 9.96 13.96 22.96 44.66 22.66 33.56 16.56 8.26 15.36
11.66 10.36 8.76 9.66 7.46 32.56 41.96 30.96 30.36 17.36 12.56 11.46
11.56 12.86 7.66 6.86 17.96 31.16 30.26 58.36 28.26 13.26 8.76 11.66
7.36 5.86 8.66 11.46 8.06 28.86 22.96 18.86 18.76 18.36 11.76 5.96
11.56 11.06 11.06 6.36 13.16 35.86 45.46 40.86 30.36 22.16 27.76 15.96
10.16 8.36 11.76 8.56 14.66 34.26 13.76 18.76 23.46 16.46 19.36 8.26
10.96 12.86 9.66 9.06 12.06 18.66 48.06 48.56 12.66 20.56 6.66 14.56
18.36 8.56 4.06 14.86 4.26 32.56 30.76 30.06 37.46 11.36 4.66 11.56
7.26 4.86 12.76 8.66 11.06 47.96 42.16 50.06 18.76 15.46 13.46 18.16
7.86 5.96 13.76 4.06 16.46 44.36 27.86 19.66 24.56 14.66 8.06 11.26
10.16 7.26 5.76 12.96 10.46 17.86 24.26 29.26 22.86 24.56 9.66 12.86
24.26 13.56 2.46 8.86 13.36 43.36 31.16 28.96 38.16 11.16 9.06 12.66
6.36 8.06 3.56 7.16 13.66 27.06 49.46 38.16 16.06 18.46 9.96 7.56
9.96 7.96 5.96 8.86 5.66 21.16 54.16 25.76 14.36 17.46 20.56 12.76
