"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-48.54 -34.74 -25.14 -9.14 1.86 14.86 19.86 16.76 3.66 -9.74 -27.34 -40.34
-43.94 -42.44 -31.74 -10.44 4.66 16.36 16.96 14.16 4.96 -13.54 -32.64 -44.54
-45.04 -43.64 -25.64 -14.04 3.96 15.06 19.16 16.26 6.86 -11.64 -35.14 -39.34
-45.74 -34.14 -30.64 -12.64 2.86 18.36 22.36 14.46 8.56 -10.44 -36.54 -37.34
-48.94 -42.64 -24.14 -11.04 6.76 14.26 17.66 11.16 5.06 -14.24 -35.24 -46.04
-46.53 -38.53 -29.03 -14.23 2.87 16.17 17.77 12.37 6.47 -11.43 -31.73 -39.83
-41.23 -38.03 -26.83 -10.53 3.77 12.77 16.87 13.47 3.77 -11.33 -34.23 -41.73
-40.83 -37.03 -26.73 -13.63 0.77 13.47 17.57 13.57 5.07 -13.13 -31.53 -39.43
-44.03 -34.83 -28.63 -13.03 2.37 16.57 17.87 13.87 3.97 -13.23 -34.33 -42.13
-44.63 -41.53 -28.23 -11.83 1.97 14.57 19.97 13.77 6.07 -11.73 -32.23 -44.03
-46.73 -44.43 -31.23 -14.03 5.27 15.47 16.47 14.97 5.37 -12.93 -31.83 -37.43
-45.43 -42.03 -27.83 -11.93 4.57 16.47 18.27 13.37 6.17 -7.33 -29.83 -39.23
-42.13 -34.33 -22.73 -7.93 3.97 16.67 18.57 14.37 6.67 -10.83 -36.53 -42.23
-41.63 -43.33 -29.53 -13.23 4.27 16.97 19.47 15.87 4.67 -12.43 -34.03 -38.23
-40.23 -38.23 -27.03 -14.13 2.87 15.07 20.17 12.67 6.87 -12.73 -33.63 -39.53
-43.83 -37.33 -27.53 -11.53 5.77 15.27 21.27 16.27 8.77 -9.23 -30.83 -38.43
-46.43 -39.03 -26.53 -9.93 5.17 13.27 18.07 12.57 4.77 -10.03 -37.33 -39.73
-41.43 -38.13 -26.73 -12.43 5.87 15.87 20.07 14.57 6.77 -11.93 -33.43 -40.93
-43.13 -42.83 -24.53 -10.13 4.57 14.57 19.07 14.47 5.97 -13.13 -34.33 -42.83
-40.83 -38.13 -23.73 -9.93 5.97 16.47 17.77 13.37 5.47 -10.23 -30.83 -34.13
-42.25 -42.05 -27.85 -8.75 1.35 14.45 16.65 13.75 6.65 -13.25 -33.75 -41.65
-39.85 -40.65 -29.65 -10.45 5.85 16.25 17.95 13.15 4.95 -14.75 -34.85 -41.15
-45.65 -38.75 -26.25 -11.05 1.45 14.85 16.75 14.55 4.95 -11.05 -27.95 -41.55
-45.85 -43.25 -29.35 -14.55 3.65 13.95 16.85 12.65 3.65 -15.55 -36.85 -37.95
-41.35 -39.75 -29.15 -13.95 4.15 14.35 19.45 16.25 6.75 -10.95 -36.45 -37.55
-36.75 -36.15 -26.85 -9.45 5.15 15.85 17.95 14.55 5.45 -10.45 -31.25 -38.95
-46.65 -36.45 -29.85 -9.75 1.15 13.45 19.85 14.25 6.75 -13.45 -38.45 -41.75
-42.35 -38.05 -25.05 -13.65 5.35 15.35 18.35 16.55 7.55 -12.35 -28.95 -38.95
-38.55 -41.75 -28.45 -12.15 4.85 13.95 18.45 12.05 4.45 -12.35 -31.35 -40.15
-44.15 -35.35 -28.15 -11.75 3.55 15.35 17.35 12.95 6.15 -12.65 -29.45 -37.15
-44.35 -36.55 -26.55 -11.25 3.35 16.25 18.15 13.65 5.15 -9.75 -32.75 -40.15
-43.25 -39.75 -28.45 -12.55 1.95 14.35 19.15 13.95 4.35 -13.75 -36.35 -43.55
-43.15 -37.75 -26.65 -10.25 5.35 16.45 20.55 12.75 7.85 -9.35 -30.75 -35.65
-42.75 -33.95 -22.25 -12.65 4.05 14.15 17.25 13.25 6.15 -13.05 -33.85 -36.35
-43.35 -38.45 -19.15 -8.75 8.65 17.25 16.55 15.35 5.25 -10.15 -35.25 -40.25
-42.4 -42.2 -28 -8.9 1.2 14.3 16.5 13.6 6.5 -13.4 -33.9 -41.8
-40 -40.8 -29.8 -10.6 5.7 16.1 17.8 13 4.8 -14.9 -35 -41.3
-45.8 -38.9 -26.4 -11.2 1.3 14.7 16.6 14.4 4.8 -11.2 -28.1 -41.7
-46 -43.4 -29.5 -14.7 3.5 13.8 16.7 12.5 3.5 -15.7 -37 -38.1
-41.5 -39.9 -29.3 -14.1 4 14.2 19.3 16.1 6.6 -11.1 -36.6 -37.7
-36.9 -36.3 -27 -9.6 5 15.7 17.8 14.4 5.3 -10.6 -31.4 -39.1
-46.8 -36.6 -30 -9.9 1 13.3 19.7 14.1 6.6 -13.6 -38.6 -41.9
-42.5 -38.2 -25.2 -13.8 5.2 15.2 18.2 16.4 7.4 -12.5 -29.1 -39.1
-38.7 -41.9 -28.6 -12.3 4.7 13.8 18.3 11.9 4.3 -12.5 -31.5 -40.3
