"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-49.77 -35.97 -26.37 -10.37 0.63 13.63 18.63 15.53 2.43 -10.97 -28.57 -41.57
-45.17 -43.67 -32.97 -11.67 3.43 15.13 15.73 12.93 3.73 -14.77 -33.87 -45.77
-46.27 -44.87 -26.87 -15.27 2.73 13.83 17.93 15.03 5.63 -12.87 -36.37 -40.57
-46.97 -35.37 -31.87 -13.87 1.63 17.13 21.13 13.23 7.33 -11.67 -37.77 -38.57
-50.17 -43.87 -25.37 -12.27 5.53 13.03 16.43 9.93 3.83 -15.47 -36.47 -47.27
-47.73 -39.73 -30.23 -15.43 1.67 14.97 16.57 11.17 5.27 -12.63 -32.93 -41.03
-42.43 -39.23 -28.03 -11.73 2.57 11.57 15.67 12.27 2.57 -12.53 -35.43 -42.93
-42.03 -38.23 -27.93 -14.83 -0.43 12.27 16.37 12.37 3.87 -14.33 -32.73 -40.63
-45.23 -36.03 -29.83 -14.23 1.17 15.37 16.67 12.67 2.77 -14.43 -35.53 -43.33
-45.83 -42.73 -29.43 -13.03 0.77 13.37 18.77 12.57 4.87 -12.93 -33.43 -45.23
-47.93 -45.63 -32.43 -15.23 4.07 14.27 15.27 13.77 4.17 -14.13 -33.03 -38.63
-46.63 -43.23 -29.03 -13.13 3.37 15.27 17.07 12.17 4.97 -8.53 -31.03 -40.43
-43.33 -35.53 -23.93 -9.13 2.77 15.47 17.37 13.17 5.47 -12.03 -37.73 -43.43
-42.83 -44.53 -30.73 -14.43 3.07 15.77 18.27 14.67 3.47 -13.63 -35.23 -39.43
-41.43 -39.43 -28.23 -15.33 1.67 13.87 18.97 11.47 5.67 -13.93 -34.83 -40.73
-45.03 -38.53 -28.73 -12.73 4.57 14.07 20.07 15.07 7.57 -10.43 -32.03 -39.63
-47.63 -40.23 -27.73 -11.13 3.97 12.07 16.87 11.37 3.57 -11.23 -38.53 -40.93
-42.63 -39.33 -27.93 -13.63 4.67 14.67 18.87 13.37 5.57 -13.13 -34.63 -42.13
-44.33 -44.03 -25.73 -11.33 3.37 13.37 17.87 13.27 4.77 -14.33 -35.53 -44.03
-42.03 -39.33 -24.93 -11.13 4.77 15.27 16.57 12.17 4.27 -11.43 -32.03 -35.33
-43.47 -43.27 -29.07 -9.97 0.13 13.23 15.43 12.53 5.43 -14.47 -34.97 -42.87
-41.07 -41.87 -30.87 -11.67 4.63 15.03 16.73 11.93 3.73 -15.97 -36.07 -42.37
-46.87 -39.97 -27.47 -12.27 0.23 13.63 15.53 13.33 3.73 -12.27 -29.17 -42.77
-47.07 -44.47 -30.57 -15.77 2.43 12.73 15.63 11.43 2.43 -16.77 -38.07 -39.17
-42.57 -40.97 -30.37 -15.17 2.93 13.13 18.23 15.03 5.53 -12.17 -37.67 -38.77
-37.97 -37.37 -28.07 -10.67 3.93 14.63 16.73 13.33 4.23 -11.67 -32.47 -40.17
-47.87 -37.67 -31.07 -10.97 -0.07 12.23 18.63 13.03 5.53 -14.67 -39.67 -42.97
-43.57 -39.27 -26.27 -14.87 4.13 14.13 17.13 15.33 6.33 -13.57 -30.17 -40.17
-39.77 -42.97 -29.67 -13.37 3.63 12.73 17.23 10.83 3.23 -13.57 -32.57 -41.37
-45.37 -36.57 -29.37 -12.97 2.33 14.13 16.13 11.73 4.93 -13.87 -30.67 -38.37
-45.57 -37.77 -27.77 -12.47 2.13 15.03 16.93 12.43 3.93 -10.97 -33.97 -41.37
-44.47 -40.97 -29.67 -13.77 0.73 13.13 17.93 12.73 3.13 -14.97 -37.57 -44.77
-44.37 -38.97 -27.87 -11.47 4.13 15.23 19.33 11.53 6.63 -10.57 -31.97 -36.87
-43.97 -35.17 -23.47 -13.87 2.83 12.93 16.03 12.03 4.93 -14.27 -35.07 -37.57
-44.57 -39.67 -20.37 -9.97 7.43 16.03 15.33 14.13 4.03 -11.37 -36.47 -41.47
-43.56 -43.36 -29.16 -10.06 0.04 13.14 15.34 12.44 5.34 -14.56 -35.06 -42.96
-41.16 -41.96 -30.96 -11.76 4.54 14.94 16.64 11.84 3.64 -16.06 -36.16 -42.46
-46.96 -40.06 -27.56 -12.36 0.14 13.54 15.44 13.24 3.64 -12.36 -29.26 -42.86
-47.16 -44.56 -30.66 -15.86 2.34 12.64 15.54 11.34 2.34 -16.86 -38.16 -39.26
-42.66 -41.06 -30.46 -15.26 2.84 13.04 18.14 14.94 5.44 -12.26 -37.76 -38.86
-38.06 -37.46 -28.16 -10.76 3.84 14.54 16.64 13.24 4.14 -11.76 -32.56 -40.26
-47.96 -37.76 -31.16 -11.06 -0.16 12.14 18.54 12.94 5.44 -14.76 -39.76 -43.06
-43.66 -39.36 -26.36 -14.96 4.04 14.04 17.04 15.24 6.24 -13.66 -30.26 -40.26
-39.86 -43.06 -29.76 -13.46 3.54 12.64 17.14 10.74 3.14 -13.66 -32.66 -41.46
-45.46 -36.66 -29.46 -13.06 2.24 14.04 16.04 11.64 4.84 -13.96 -30.76 -38.46
-45.66 -37.86 -27.86 -12.56 2.04 14.94 16.84 12.34 3.84 -11.06 -34.06 -41.46
-44.56 -41.06 -29.76 -13.86 0.64 13.04 17.84 12.64 3.04 -15.06 -37.66 -44.86
-44.46 -39.06 -27.96 -11.56 4.04 15.14 19.24 11.44 6.54 -10.66 -32.06 -36.96
-44.06 -35.26 -23.56 -13.96 2.74 12.84 15.94 11.94 4.84 -14.36 -35.16 -37.66
-44.66 -39.76 -20.46 -10.06 7.34 15.94 15.24 14.04 3.94 -11.46 -36.56 -41.56
-45.25 -44.55 -27.55 -14.05 1.25 13.65 17.85 14.95 3.55 -7.55 -30.85 -46.05
-42.85 -39.35 -28.35 -11.05 4.85 15.85 20.25 15.25 4.65 -14.55 -35.95 -42.05
-45.45 -44.35 -25.95 -12.95 2.25 14.35 15.05 13.25 4.65 -10.45 -35.45 -46.55
-47.15 -48.65 -30.95 -8.95 2.85 14.25 16.45 15.15 7.35 -8.95 -33.95 -40.05
-40.15 -36.65 -24.25 -6.25 2.85 12.55 17.95 14.45 4.65 -14.35 -36.95 -42.85
-44.35 -34.75 -30.65 -14.75 1.25 14.55 15.35 13.95 6.75 -12.75 -25.45 -47.55
-47.85 -46.35 -28.55 -15.15 0.95 14.25 15.95 11.45 3.55 -14.95 -36.35 -38.15
-47.25 -40.55 -25.55 -13.65 0.55 12.85 15.35 12.75 3.25 -12.45 -32.55 -42.75
-47.45 -42.05 -28.65 -14.95 0.95 13.45 15.65 13.95 6.35 -13.35 -28.15 -38.25
-39.95 -44.55 -26.35 -14.65 2.15 12.35 17.15 12.05 3.35 -11.45 -34.45 -41.05
-43.85 -41.45 -26.15 -14.05 3.25 11.15 18.95 14.65 6.35 -14.35 -33.95 -40.65
-47.65 -44.95 -32.25 -11.45 4.95 14.75 17.15 12.75 6.65 -8.05 -24.65 -38.95
-46.75 -42.25 -25.75 -10.25 1.05 14.05 16.15 14.55 3.35 -11.55 -33.45 -39.85
-44.65 -38.45 -30.65 -13.65 3.65 14.35 17.25 12.75 2.25 -12.85 -38.35 -41.65
-42.35 -42.25 -23.75 -12.55 -0.05 15.75 17.05 13.25 5.45 -14.75 -30.75 -42.45
-45.24 -44.54 -27.54 -14.04 1.26 13.66 17.86 14.96 3.56 -7.54 -30.84 -46.04
-42.84 -39.34 -28.34 -11.04 4.86 15.86 20.26 15.26 4.66 -14.54 -35.94 -42.04
-45.44 -44.34 -25.94 -12.94 2.26 14.36 15.06 13.26 4.66 -10.44 -35.44 -46.54
-47.14 -48.64 -30.94 -8.94 2.86 14.26 16.46 15.16 7.36 -8.94 -33.94 -40.04
-40.14 -36.64 -24.24 -6.24 2.86 12.56 17.96 14.46 4.66 -14.34 -36.94 -42.84
-44.34 -34.74 -30.64 -14.74 1.26 14.56 15.36 13.96 6.76 -12.74 -25.44 -47.54
-47.84 -46.34 -28.54 -15.14 0.96 14.26 15.96 11.46 3.56 -14.94 -36.34 -38.14
-47.24 -40.54 -25.54 -13.64 0.56 12.86 15.36 12.76 3.26 -12.44 -32.54 -42.74
-47.44 -42.04 -28.64 -14.94 0.96 13.46 15.66 13.96 6.36 -13.34 -28.14 -38.24
-39.94 -44.54 -26.34 -14.64 2.16 12.36 17.16 12.06 3.36 -11.44 -34.44 -41.04
-43.84 -41.44 -26.14 -14.04 3.26 11.16 18.96 14.66 6.36 -14.34 -33.94 -40.64
-47.64 -44.94 -32.24 -11.44 4.96 14.76 17.16 12.76 6.66 -8.04 -24.64 -38.94
-46.74 -42.24 -25.74 -10.24 1.06 14.06 16.16 14.56 3.36 -11.54 -33.44 -39.84
-44.64 -38.44 -30.64 -13.64 3.66 14.36 17.26 12.76 2.26 -12.84 -38.34 -41.64
-42.34 -42.24 -23.74 -12.54 -0.04 15.76 17.06 13.26 5.46 -14.74 -30.74 -42.44
-47.38 -37.18 -24.08 -11.38 2.92 15.32 17.02 13.22 5.42 -14.88 -34.38 -34.28
-48.08 -39.28 -29.88 -15.08 -0.98 15.82 17.62 11.52 3.62 -14.38 -36.38 -44.18
-41.58 -36.28 -24.98 -16.18 3.82 15.92 20.72 13.02 4.42 -13.28 -29.18 -48.58
-42.78 -41.78 -25.18 -12.08 -0.68 11.82 17.12 12.72 3.42 -15.58 -29.18 -39.08
-43.28 -42.98 -28.58 -14.78 1.52 13.22 14.62 12.32 4.12 -16.68 -37.68 -40.98
-44.98 -40.58 -27.38 -12.28 3.32 15.42 17.92 14.82 6.52 -10.28 -34.58 -39.58
-46.18 -39.68 -29.78 -10.08 3.52 14.22 18.52 12.22 5.42 -7.68 -30.28 -47.98
-50.68 -39.98 -31.78 -12.68 4.72 16.72 20.52 12.52 8.02 -7.98 -35.28 -46.78
-50.48 -44.48 -30.68 -9.68 4.12 13.42 19.52 16.52 5.02 -7.28 -37.58 -40.18
-42.48 -40.88 -29.38 -10.38 2.42 15.92 18.82 16.02 5.72 -8.18 -34.78 -47.18
-49.88 -36.08 -26.48 -10.48 0.52 13.52 18.52 15.42 2.32 -11.08 -28.68 -41.68
-45.28 -43.78 -33.08 -11.78 3.32 15.02 15.62 12.82 3.62 -14.88 -33.98 -45.88
-46.38 -44.98 -26.98 -15.38 2.62 13.72 17.82 14.92 5.52 -12.98 -36.48 -40.68
-47.08 -35.48 -31.98 -13.98 1.52 17.02 21.02 13.12 7.22 -11.78 -37.88 -38.68
-50.28 -43.98 -25.48 -12.38 5.42 12.92 16.32 9.82 3.72 -15.58 -36.58 -47.38
-47.75 -39.75 -30.25 -15.45 1.65 14.95 16.55 11.15 5.25 -12.65 -32.95 -41.05
-42.45 -39.25 -28.05 -11.75 2.55 11.55 15.65 12.25 2.55 -12.55 -35.45 -42.95
-42.05 -38.25 -27.95 -14.85 -0.45 12.25 16.35 12.35 3.85 -14.35 -32.75 -40.65
-45.25 -36.05 -29.85 -14.25 1.15 15.35 16.65 12.65 2.75 -14.45 -35.55 -43.35
-45.85 -42.75 -29.45 -13.05 0.75 13.35 18.75 12.55 4.85 -12.95 -33.45 -45.25
-47.95 -45.65 -32.45 -15.25 4.05 14.25 15.25 13.75 4.15 -14.15 -33.05 -38.65
-46.65 -43.25 -29.05 -13.15 3.35 15.25 17.05 12.15 4.95 -8.55 -31.05 -40.45
-43.35 -35.55 -23.95 -9.15 2.75 15.45 17.35 13.15 5.45 -12.05 -37.75 -43.45
-42.85 -44.55 -30.75 -14.45 3.05 15.75 18.25 14.65 3.45 -13.65 -35.25 -39.45
-41.45 -39.45 -28.25 -15.35 1.65 13.85 18.95 11.45 5.65 -13.95 -34.85 -40.75
-45.05 -38.55 -28.75 -12.75 4.55 14.05 20.05 15.05 7.55 -10.45 -32.05 -39.65
-47.65 -40.25 -27.75 -11.15 3.95 12.05 16.85 11.35 3.55 -11.25 -38.55 -40.95
