"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-52.76 -38.96 -29.36 -13.36 -2.36 10.64 15.64 12.54 -0.56 -13.96 -31.56 -44.56
-48.16 -46.66 -35.96 -14.66 0.44 12.14 12.74 9.94 0.74 -17.76 -36.86 -48.76
-49.26 -47.86 -29.86 -18.26 -0.26 10.84 14.94 12.04 2.64 -15.86 -39.36 -43.56
-49.96 -38.36 -34.86 -16.86 -1.36 14.14 18.14 10.24 4.34 -14.66 -40.76 -41.56
-53.16 -46.86 -28.36 -15.26 2.54 10.04 13.44 6.94 0.84 -18.46 -39.46 -50.26
-50.37 -40.17 -27.07 -14.37 -0.07 12.33 14.03 10.23 2.43 -17.87 -37.37 -37.27
-51.07 -42.27 -32.87 -18.07 -3.97 12.83 14.63 8.53 0.63 -17.37 -39.37 -47.17
-44.57 -39.27 -27.97 -19.17 0.83 12.93 17.73 10.03 1.43 -16.27 -32.17 -51.57
-45.77 -44.77 -28.17 -15.07 -3.67 8.83 14.13 9.73 0.43 -18.57 -32.17 -42.07
-46.27 -45.97 -31.57 -17.77 -1.47 10.23 11.63 9.33 1.13 -19.67 -40.67 -43.97
-47.97 -43.57 -30.37 -15.27 0.33 12.43 14.93 11.83 3.53 -13.27 -37.57 -42.57
-49.17 -42.67 -32.77 -13.07 0.53 11.23 15.53 9.23 2.43 -10.67 -33.27 -50.97
-53.67 -42.97 -34.77 -15.67 1.73 13.73 17.53 9.53 5.03 -10.97 -38.27 -49.77
-53.47 -47.47 -33.67 -12.67 1.13 10.43 16.53 13.53 2.03 -10.27 -40.57 -43.17
-45.47 -43.87 -32.37 -13.37 -0.57 12.93 15.83 13.03 2.73 -11.17 -37.77 -50.17
-52.87 -39.07 -29.47 -13.47 -2.47 10.53 15.53 12.43 -0.67 -14.07 -31.67 -44.67
-48.27 -46.77 -36.07 -14.77 0.33 12.03 12.63 9.83 0.63 -17.87 -36.97 -48.87
-49.37 -47.97 -29.97 -18.37 -0.37 10.73 14.83 11.93 2.53 -15.97 -39.47 -43.67
-50.07 -38.47 -34.97 -16.97 -1.47 14.03 18.03 10.13 4.23 -14.77 -40.87 -41.67
-53.27 -46.97 -28.47 -15.37 2.43 9.93 13.33 6.83 0.73 -18.57 -39.57 -50.37
-48.24 -47.54 -30.54 -17.04 -1.74 10.66 14.86 11.96 0.56 -10.54 -33.84 -49.04
-45.84 -42.34 -31.34 -14.04 1.86 12.86 17.26 12.26 1.66 -17.54 -38.94 -45.04
-48.44 -47.34 -28.94 -15.94 -0.74 11.36 12.06 10.26 1.66 -13.44 -38.44 -49.54
-50.14 -51.64 -33.94 -11.94 -0.14 11.26 13.46 12.16 4.36 -11.94 -36.94 -43.04
-43.14 -39.64 -27.24 -9.24 -0.14 9.56 14.96 11.46 1.66 -17.34 -39.94 -45.84
-47.34 -37.74 -33.64 -17.74 -1.74 11.56 12.36 10.96 3.76 -15.74 -28.44 -50.54
-50.84 -49.34 -31.54 -18.14 -2.04 11.26 12.96 8.46 0.56 -17.94 -39.34 -41.14
-50.24 -43.54 -28.54 -16.64 -2.44 9.86 12.36 9.76 0.26 -15.44 -35.54 -45.74
-50.44 -45.04 -31.64 -17.94 -2.04 10.46 12.66 10.96 3.36 -16.34 -31.14 -41.24
-42.94 -47.54 -29.34 -17.64 -0.84 9.36 14.16 9.06 0.36 -14.44 -37.44 -44.04
