"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-46.54 -46.34 -32.14 -13.04 -2.94 10.16 12.36 9.46 2.36 -17.54 -38.04 -45.94
-44.14 -44.94 -33.94 -14.74 1.56 11.96 13.66 8.86 0.66 -19.04 -39.14 -45.44
-49.94 -43.04 -30.54 -15.34 -2.84 10.56 12.46 10.26 0.66 -15.34 -32.24 -45.84
-50.14 -47.54 -33.64 -18.84 -0.64 9.66 12.56 8.36 -0.64 -19.84 -41.14 -42.24
-45.64 -44.04 -33.44 -18.24 -0.14 10.06 15.16 11.96 2.46 -15.24 -40.74 -41.84
-41.04 -40.44 -31.14 -13.74 0.86 11.56 13.66 10.26 1.16 -14.74 -35.54 -43.24
-50.94 -40.74 -34.14 -14.04 -3.14 9.16 15.56 9.96 2.46 -17.74 -42.74 -46.04
-46.64 -42.34 -29.34 -17.94 1.06 11.06 14.06 12.26 3.26 -16.64 -33.24 -43.24
-42.84 -46.04 -32.74 -16.44 0.56 9.66 14.16 7.76 0.16 -16.64 -35.64 -44.44
-48.44 -39.64 -32.44 -16.04 -0.74 11.06 13.06 8.66 1.86 -16.94 -33.74 -41.44
-48.64 -40.84 -30.84 -15.54 -0.94 11.96 13.86 9.36 0.86 -14.04 -37.04 -44.44
-47.54 -44.04 -32.74 -16.84 -2.34 10.06 14.86 9.66 0.06 -18.04 -40.64 -47.84
-47.44 -42.04 -30.94 -14.54 1.06 12.16 16.26 8.46 3.56 -13.64 -35.04 -39.94
-47.04 -38.24 -26.54 -16.94 -0.24 9.86 12.96 8.96 1.86 -17.34 -38.14 -40.64
-47.64 -42.74 -23.44 -13.04 4.36 12.96 12.26 11.06 0.96 -14.44 -39.54 -44.54
-51.71 -48.21 -30.81 -20.11 -0.11 10.99 15.19 9.29 2.19 -12.11 -35.31 -41.11
-47.61 -40.71 -30.91 -17.21 -3.41 10.39 13.39 10.29 2.79 -15.11 -39.81 -48.51
-44.21 -47.11 -34.41 -19.01 -1.81 10.59 13.09 9.89 0.59 -13.91 -36.21 -46.11
-46.61 -40.21 -33.41 -18.81 0.49 10.89 16.59 8.79 1.49 -15.31 -36.31 -46.81
-49.81 -42.91 -34.81 -16.61 -0.31 9.79 15.49 10.09 2.39 -17.51 -38.91 -42.31
-51.21 -44.01 -33.91 -15.51 0.49 10.29 15.29 9.79 2.89 -15.61 -36.01 -42.91
-45.41 -40.71 -35.11 -17.21 0.99 10.79 13.99 9.89 2.09 -14.91 -36.31 -41.11
-44.21 -44.51 -31.31 -13.91 -1.61 11.09 14.09 10.39 2.89 -16.81 -31.11 -44.31
-51.31 -42.51 -31.31 -18.61 -2.11 10.09 11.69 10.39 2.39 -14.21 -36.21 -42.41
-44.21 -42.01 -30.71 -14.31 -1.01 10.99 14.19 8.59 -1.01 -19.01 -38.51 -47.71
-50.91 -46.91 -36.91 -16.61 -0.91 10.49 16.49 9.69 1.49 -15.01 -39.11 -46.41
-44.41 -44.41 -37.51 -17.11 -0.31 10.29 12.89 8.69 1.09 -16.01 -37.01 -42.51
-47.61 -42.51 -25.91 -10.81 2.29 9.59 11.69 9.29 1.99 -11.81 -35.31 -46.91
-46.41 -43.81 -30.31 -16.81 -0.51 9.29 12.29 9.79 2.89 -17.11 -35.61 -42.01
-50.21 -43.51 -33.51 -14.71 1.19 11.19 13.79 10.89 0.89 -13.01 -34.91 -45.71
-50.48 -40.28 -27.18 -14.48 -0.18 12.22 13.92 10.12 2.32 -17.98 -37.48 -37.38
-51.18 -42.38 -32.98 -18.18 -4.08 12.72 14.52 8.42 0.52 -17.48 -39.48 -47.28
-44.68 -39.38 -28.08 -19.28 0.72 12.82 17.62 9.92 1.32 -16.38 -32.28 -51.68
-45.88 -44.88 -28.28 -15.18 -3.78 8.72 14.02 9.62 0.32 -18.68 -32.28 -42.18
-46.38 -46.08 -31.68 -17.88 -1.58 10.12 11.52 9.22 1.02 -19.78 -40.78 -44.08
-48.08 -43.68 -30.48 -15.38 0.22 12.32 14.82 11.72 3.42 -13.38 -37.68 -42.68
-49.28 -42.78 -32.88 -13.18 0.42 11.12 15.42 9.12 2.32 -10.78 -33.38 -51.08
-53.78 -43.08 -34.88 -15.78 1.62 13.62 17.42 9.42 4.92 -11.08 -38.38 -49.88
-53.58 -47.58 -33.78 -12.78 1.02 10.32 16.42 13.42 1.92 -10.38 -40.68 -43.28
-45.58 -43.98 -32.48 -13.48 -0.68 12.82 15.72 12.92 2.62 -11.28 -37.88 -50.28
-52.98 -39.18 -29.58 -13.58 -2.58 10.42 15.42 12.32 -0.78 -14.18 -31.78 -44.78
-48.38 -46.88 -36.18 -14.88 0.22 11.92 12.52 9.72 0.52 -17.98 -37.08 -48.98
-49.48 -48.08 -30.08 -18.48 -0.48 10.62 14.72 11.82 2.42 -16.08 -39.58 -43.78
-50.18 -38.58 -35.08 -17.08 -1.58 13.92 17.92 10.02 4.12 -14.88 -40.98 -41.78
-53.38 -47.08 -28.58 -15.48 2.32 9.82 13.22 6.72 0.62 -18.68 -39.68 -50.48
-48.61 -47.11 -32.11 -14.81 -1.11 10.99 14.49 8.29 -0.61 -17.01 -37.71 -46.81
-48.31 -39.71 -29.31 -13.71 0.29 11.59 15.09 9.69 2.69 -8.81 -34.01 -44.11
-46.81 -41.91 -28.01 -14.51 1.09 11.59 13.29 10.89 0.99 -13.11 -34.71 -45.51
-46.81 -43.11 -28.81 -14.01 0.09 9.99 12.69 8.79 3.19 -12.71 -39.21 -40.61
-46.41 -44.41 -33.11 -18.11 -2.11 10.49 12.29 7.79 0.09 -17.01 -40.31 -46.51
-49.41 -45.71 -32.31 -18.51 -0.21 10.69 13.59 10.69 3.39 -12.81 -35.91 -41.41
-50.11 -44.71 -29.91 -16.21 -1.91 10.29 15.49 11.59 3.39 -16.91 -39.61 -45.41
-45.81 -43.31 -28.81 -14.21 1.59 11.29 15.09 9.89 2.59 -14.51 -35.81 -43.61
-47.81 -43.21 -31.81 -12.61 -1.11 11.59 14.29 10.09 0.89 -12.81 -37.41 -43.21
-42.61 -45.21 -35.81 -19.01 -0.51 11.49 13.29 10.79 0.79 -15.91 -38.31 -46.81
-47.11 -40.21 -31.31 -19.91 -2.11 13.39 14.29 8.49 2.19 -19.41 -33.71 -41.11
-43.31 -45.01 -32.91 -15.61 0.29 11.89 12.89 9.09 -0.41 -18.51 -39.01 -44.81
-48.21 -44.51 -35.01 -17.51 -2.51 9.29 14.39 11.19 2.59 -17.11 -43.01 -45.41
-48.11 -41.91 -26.31 -15.71 1.19 12.89 13.09 9.99 2.99 -15.11 -31.91 -47.21
-46.81 -44.71 -32.61 -15.51 0.49 12.89 14.99 9.59 0.89 -17.51 -38.11 -43.81
-51.72 -48.22 -30.82 -20.12 -0.12 10.98 15.18 9.28 2.18 -12.12 -35.32 -41.12
-47.62 -40.72 -30.92 -17.22 -3.42 10.38 13.38 10.28 2.78 -15.12 -39.82 -48.52
-44.22 -47.12 -34.42 -19.02 -1.82 10.58 13.08 9.88 0.58 -13.92 -36.22 -46.12
-46.62 -40.22 -33.42 -18.82 0.48 10.88 16.58 8.78 1.48 -15.32 -36.32 -46.82
-49.82 -42.92 -34.82 -16.62 -0.32 9.78 15.48 10.08 2.38 -17.52 -38.92 -42.32
-51.22 -44.02 -33.92 -15.52 0.48 10.28 15.28 9.78 2.88 -15.62 -36.02 -42.92
-45.42 -40.72 -35.12 -17.22 0.98 10.78 13.98 9.88 2.08 -14.92 -36.32 -41.12
-44.22 -44.52 -31.32 -13.92 -1.62 11.08 14.08 10.38 2.88 -16.82 -31.12 -44.32
-51.32 -42.52 -31.32 -18.62 -2.12 10.08 11.68 10.38 2.38 -14.22 -36.22 -42.42
-44.22 -42.02 -30.72 -14.32 -1.02 10.98 14.18 8.58 -1.02 -19.02 -38.52 -47.72
-50.92 -46.92 -36.92 -16.62 -0.92 10.48 16.48 9.68 1.48 -15.02 -39.12 -46.42
-44.42 -44.42 -37.52 -17.12 -0.32 10.28 12.88 8.68 1.08 -16.02 -37.02 -42.52
-47.62 -42.52 -25.92 -10.82 2.28 9.58 11.68 9.28 1.98 -11.82 -35.32 -46.92
