"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-51.1 -40.9 -27.9 -15.2 -1 11.7 13.3 9.5 1.7 -18.6 -38.2 -37.6
-51.3 -42.6 -33.6 -18.9 -4.8 12.2 14 7.9 -0.2 -18.1 -40 -47.9
-45.1 -40 -28.8 -20 0.1 12.4 17.3 9.4 0.7 -16.9 -33.1 -52.1
-46.5 -45.4 -28.8 -16 -4.6 8.3 13.6 9.2 -0.4 -19.4 -32.9 -42.7
-47.6 -46.6 -32.4 -18.6 -2.3 9.6 10.9 8.7 0.3 -20.5 -41.5 -44.4
-48.3 -44 -31.3 -16.3 -0.5 11.5 14.3 11.2 2.8 -14.1 -38.2 -43.3
-49.4 -43.1 -33.5 -13.9 -0.4 10.7 14.9 8.6 1.7 -11.4 -34.1 -51.5
-54.3 -43.6 -35.7 -16.5 1 13.1 16.9 8.9 4.3 -11.8 -38.8 -50.4
-53.7 -48 -34.6 -13.3 0.2 9.9 16 13 1.3 -11 -40.7 -43.8
-45.9 -44.3 -33.4 -14.2 -1.4 12.3 14.9 12.4 1.8 -12 -38.1 -50.8
-53.5 -39.3 -30.2 -14.2 -3.4 10 15.2 11.7 -1.3 -14.9 -32.4 -45
-49 -47.2 -36.9 -15.5 -0.5 11.3 12 9.2 -0.2 -18.6 -37.6 -49.3
-49.9 -48.5 -30.7 -19.1 -1.3 10.1 14.1 11.4 1.7 -16.6 -40 -44.2
-50.8 -39.3 -35.7 -17.8 -2.3 13.3 17.4 9.5 3.5 -15.7 -41.2 -42.4
-53.5 -47.5 -29.3 -16.2 1.6 9.2 12.7 6.3 0.1 -19.3 -40.4 -50.8
-48 -47.7 -30.9 -17.4 -2.2 10.4 14.6 11.8 0.4 -10.8 -34.1 -49
-45.9 -42.6 -31.6 -14.4 1.6 12.7 17.2 12.2 1.3 -17.9 -38.9 -45
-48.6 -47.4 -29.2 -16.3 -1.3 11.2 11.9 10.1 1.4 -13.5 -38.3 -49.5
