"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.97 12.47 11.37 13.07 13.97 33.77 54.77 49.77 25.77 21.77 27.77 21.77
25.77 16.77 14.77 15.77 16.77 33.77 54.77 49.77 25.77 21.77 27.77 21.77
25.77 16.77 14.77 15.77 16.77 33.77 54.77 49.77 25.77 21.77 27.77 15.87
18.67 12.47 13.87 11.77 15.87 33.77 54.77 49.77 25.77 18.47 19.97 18.57
17.07 11.97 10.87 11.47 14.57 31.87 63.97 45.47 29.97 17.57 21.87 20.27
14.31 5.31 8.21 13.21 9.61 22.21 50.91 70.41 17.61 21.01 27.01 7.51
40.81 33.71 20.81 14.11 27.01 41.01 77.61 40.21 31.01 18.11 13.61 24.11
43.61 10.31 11.11 16.11 14.21 32.11 53.21 34.21 8.41 18.11 28.51 19.51
15.71 5.71 7.21 8.21 23.61 18.61 58.31 44.61 15.51 12.51 12.61 20.61
14.21 5.31 12.31 14.11 11.11 29.41 44.41 40.81 39.11 14.21 55.41 11.61
51.01 23.51 16.91 11.01 5.81 32.61 45.71 49.11 17.61 17.01 62.81 10.21
25.91 8.61 28.81 16.41 24.31 45.51 48.01 26.31 13.91 27.01 14.21 32.91
35.91 15.81 13.91 4.91 20.61 30.41 56.21 53.51 11.21 27.31 11.31 27.91
46.61 7.91 6.91 10.01 10.81 23.61 30.51 23.61 29.61 20.71 9.01 21.01
9.71 12.11 9.41 8.81 19.41 21.61 38.31 66.11 12.91 16.11 41.21 16.61
35.41 12.81 13.01 9.61 8.01 14.71 23.81 25.71 23.31 25.61 37.71 29.51
24.71 16.21 7.11 13.71 14.51 28.51 55.21 56.11 23.71 29.31 20.71 31.91
15.31 13.61 4.51 14.71 7.31 15.51 57.61 53.31 31.81 26.41 53.61 14.01
13.71 8.01 9.61 3.91 8.91 23.01 31.21 39.21 30.91 9.61 21.61 4.01
17.41 13.01 17.41 16.21 13.21 41.21 38.51 41.71 30.21 17.71 38.41 9.41
24.16 8.76 12.26 15.56 9.26 34.46 50.36 49.76 19.66 10.96 12.26 10.56
21.66 14.96 6.76 13.96 17.56 39.56 26.56 54.66 50.76 16.46 15.76 25.96
36.96 14.86 7.66 17.16 12.96 49.76 71.26 45.66 14.96 9.16 15.66 15.96
23.16 22.76 11.86 10.66 8.26 25.36 69.06 69.76 25.56 13.56 20.16 24.96
12.36 19.36 12.26 6.56 6.36 46.86 73.56 22.76 7.66 16.56 10.86 9.16
19.86 10.76 13.86 18.96 14.16 43.86 94.56 24.56 17.16 20.16 15.46 21.06
27.76 24.56 16.76 22.16 12.76 11.56 18.46 27.56 13.86 26.06 29.26 25.76
11.86 6.26 5.96 15.36 9.86 14.26 56.06 49.36 18.66 13.86 11.56 33.16
15.06 3.86 6.66 7.26 22.26 47.46 81.46 57.06 37.96 15.56 23.36 18.16
14.96 13.06 8.86 6.66 13.96 21.36 40.46 73.76 11.96 18.36 41.16 16.06
8.46 14.26 12.76 9.66 13.06 28.26 78.16 40.16 36.56 15.56 20.96 17.46
17.76 5.46 12.76 15.56 12.56 33.46 32.86 55.66 15.56 14.16 11.46 18.76
