"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
20.42 5.02 8.52 11.82 5.52 30.72 46.62 46.02 15.92 7.22 8.52 6.82
17.92 11.22 3.02 10.22 13.82 35.82 22.82 50.92 47.02 12.72 12.02 22.22
33.22 11.12 3.92 13.42 9.22 46.02 67.52 41.92 11.22 5.42 11.92 12.22
19.42 19.02 8.12 6.92 4.52 21.62 65.32 66.02 21.82 9.82 16.42 21.22
8.62 15.62 8.52 2.82 2.62 43.12 69.82 19.02 3.92 12.82 7.12 5.42
16.12 7.02 10.12 15.22 10.42 40.12 90.82 20.82 13.42 16.42 11.72 17.32
24.02 20.82 13.02 18.42 9.02 7.82 14.72 23.82 10.12 22.32 25.52 22.02
8.12 2.52 2.22 11.62 6.12 10.52 52.32 45.62 14.92 10.12 7.82 29.42
11.32 0.12 2.92 3.52 18.52 43.72 77.72 53.32 34.22 11.82 19.62 14.42
11.22 9.32 5.12 2.92 10.22 17.62 36.72 70.02 8.22 14.62 37.42 12.32
4.72 10.52 9.02 5.92 9.32 24.52 74.42 36.42 32.82 11.82 17.22 13.72
14.02 1.72 9.02 11.82 8.82 29.72 29.12 51.92 11.82 10.42 7.72 15.02
25.02 8.42 0.42 7.62 3.12 17.72 43.72 45.02 10.52 10.32 1.42 8.42
13.72 34.82 18.92 21.52 15.82 24.92 47.42 56.82 18.12 22.82 16.72 5.92
3.32 1.92 6.52 9.32 20.82 46.92 57.72 47.22 34.92 21.92 42.72 12.82
19.85 10.85 8.85 9.85 10.85 27.85 48.85 43.85 19.85 15.85 21.85 15.85
19.85 10.85 8.85 9.85 10.85 27.85 48.85 43.85 19.85 15.85 21.85 15.85
19.85 10.85 8.85 9.85 10.85 27.85 48.85 43.85 19.85 15.85 21.85 15.85
12.45 8.15 8.45 5.85 8.65 36.95 40.35 32.25 24.85 11.85 18.55 14.85
18.45 8.65 10.45 10.25 7.75 17.55 48.85 43.85 19.85 15.85 21.85 15.85
19.85 10.85 8.85 9.85 10.85 27.85 48.85 43.95 19.85 15.85 21.85 15.85
19.85 10.85 8.85 9.85 10.85 27.95 64.15 34.05 13.75 10.55 17.25 15.15
11.75 14.05 8.55 10.45 7.35 27.25 48.85 43.85 14.45 11.05 14.35 12.75
11.95 11.85 5.05 9.05 8.75 31.55 65.45 36.05 16.15 18.35 16.35 13.15
14.25 7.65 5.85 8.55 13.65 23.65 53.25 48.15 19.85 15.95 19.35 14.65
14.75 13.35 9.35 7.25 9.35 29.85 48.85 43.85 19.85 15.85 21.85 15.85
19.85 10.85 8.85 9.85 10.85 27.85 48.85 43.85 19.85 16.65 22.35 14.95
16.85 7.65 8.25 6.75 7.85 25.05 53.55 55.85 28.95 13.15 17.95 12.75
13.65 9.15 7.75 7.15 7.65 28.35 63.95 35.05 21.45 21.05 10.75 16.65
6.15 1.95 1.85 13.85 15.15 21.85 66.15 26.95 26.55 11.35 21.55 8.15
13.94 10.34 7.64 8.74 8.64 23.44 54.44 34.34 23.44 12.14 17.04 12.44
14.24 8.54 7.64 8.24 9.54 41.74 45.54 38.84 15.74 14.74 17.34 14.14
14.94 10.04 11.64 9.04 8.24 20.04 34.64 62.04 20.54 15.74 18.84 13.54
14.94 10.84 8.64 9.34 10.54 18.74 44.54 43.64 39.24 14.04 16.24 13.24
21.14 10.34 8.64 8.24 11.14 27.34 57.44 34.84 20.54 16.24 16.24 13.54
14.24 11.54 10.64 8.04 9.24 24.74 50.44 32.14 15.14 11.84 16.24 14.14
14.94 10.34 8.64 8.54 9.54 28.14 44.14 32.14 17.74 11.34 16.54 14.64
14.94 9.54 8.14 8.04 9.24 22.14 36.14 77.64 22.04 12.54 17.64 12.74
17.44 12.14 9.84 10.14 12.14 22.64 41.34 36.84 19.54 18.04 18.84 15.44
14.94 10.04 7.34 9.04 8.94 21.74 48.84 58.74 17.24 11.34 17.34 13.24
15.24 8.74 7.64 9.34 10.24 30.04 51.04 46.04 22.04 18.04 24.04 18.04
22.04 13.04 11.04 12.04 13.04 30.04 51.04 46.04 22.04 18.04 24.04 18.04
22.04 13.04 11.04 12.04 13.04 30.04 51.04 46.04 22.04 18.04 24.04 12.14
14.94 8.74 10.14 8.04 12.14 30.04 51.04 46.04 22.04 14.74 16.24 14.84
13.34 8.24 7.14 7.74 10.84 28.14 60.24 41.74 26.24 13.84 18.14 16.54
6.41 0.71 2.31 2.91 4.21 39.81 61.51 45.21 27.11 13.31 23.21 8.11
12.71 7.01 6.81 4.31 23.91 21.61 49.31 49.01 8.31 30.11 15.01 6.31
12.91 0.91 5.71 13.71 7.31 25.51 71.61 71.21 28.91 9.01 9.41 7.21
7.01 9.21 24.01 2.51 9.61 28.81 81.71 48.81 5.51 24.41 8.11 15.01
42.81 6.21 3.31 5.51 12.71 32.21 87.51 58.11 25.11 17.91 16.91 8.01
5.51 2.71 12.71 1.71 3.11 28.11 34.61 37.31 11.51 18.91 12.81 16.41
18.51 13.41 4.71 16.31 11.61 15.11 29.21 62.31 19.11 36.91 13.21 4.31
19.91 3.11 3.41 11.41 7.11 11.21 50.81 51.31 29.11 8.81 29.21 2.11
16.71 3.81 11.71 11.31 12.51 23.81 32.21 19.21 15.51 6.21 8.51 9.21
2.81 0.81 12.41 3.01 9.11 49.01 48.51 56.61 30.51 7.51 9.01 14.21
34.91 6.41 8.31 20.81 8.01 24.31 48.71 27.71 36.11 22.01 4.71 17.21
