"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-23.29 -25.89 -24.89 -12.39 -1.49 13.21 16.61 14.01 7.51 -5.29 -17.49 -22.59
-21.99 -22.99 -20.19 -11.99 2.01 13.21 16.61 14.01 7.51 -5.29 -17.49 -27.69
-28.79 -22.99 -14.49 -10.99 1.91 12.11 16.51 14.01 7.51 -5.29 -17.49 -22.59
-21.99 -22.99 -20.19 -11.99 2.01 13.21 16.61 14.01 7.51 -5.29 -17.49 -22.59
-30.19 -26.99 -22.69 -13.39 2.41 12.81 16.01 14.61 7.01 -4.69 -19.09 -26.59
-21.57 -24.67 -26.97 -13.67 4.13 12.23 16.23 11.43 5.53 -5.57 -17.47 -25.87
-19.67 -18.37 -15.97 -8.77 1.03 12.03 15.63 13.03 3.83 -7.37 -16.87 -21.57
-17.87 -21.37 -22.97 -11.57 -1.07 10.73 15.33 10.73 5.93 -8.77 -17.17 -20.87
-32.07 -28.27 -23.67 -14.07 0.13 14.83 15.33 13.03 5.03 -6.47 -18.47 -20.57
-24.97 -27.97 -20.97 -12.77 -0.97 10.93 13.23 11.53 3.03 -9.87 -15.77 -27.37
-23.87 -25.87 -21.07 -15.57 0.23 12.83 15.13 12.63 6.73 -8.87 -12.97 -21.87
-25.37 -25.47 -14.77 -13.17 5.43 13.43 15.73 11.53 7.03 -3.87 -20.87 -20.37
-18.67 -24.37 -18.77 -15.07 1.03 12.23 16.03 14.73 6.93 -7.57 -18.47 -27.07
-14.97 -26.47 -23.77 -11.97 3.13 12.43 16.43 13.53 8.43 -7.37 -24.77 -23.77
-22.97 -22.17 -21.37 -13.67 3.33 14.53 13.73 11.93 8.63 -7.27 -17.97 -22.07
-21.87 -26.87 -22.17 -12.57 -0.07 11.53 16.43 13.33 6.93 -6.67 -18.17 -23.97
-23.77 -19.07 -21.87 -12.87 1.23 10.13 16.43 13.63 7.53 -6.17 -22.07 -20.37
-27.97 -23.77 -25.37 -11.97 -1.37 12.53 15.83 12.13 5.93 -6.07 -15.07 -24.17
-25.27 -26.07 -19.07 -14.17 0.33 12.63 17.03 15.13 8.33 -1.17 -17.67 -29.77
-28.27 -21.37 -20.47 -13.67 -0.07 10.93 15.33 14.43 6.03 -6.77 -17.57 -27.67
-22.56 -29.16 -22.56 -17.86 -0.76 11.84 15.44 13.44 7.44 -9.06 -20.76 -27.26
-20.96 -26.86 -27.56 -11.86 0.44 12.64 16.34 15.24 8.54 -6.66 -20.16 -21.56
-17.76 -27.26 -19.16 -12.46 1.44 11.14 15.54 13.74 6.24 -4.76 -15.46 -27.26
-18.26 -18.46 -20.56 -15.16 0.44 12.04 15.14 12.04 5.64 -6.36 -20.86 -25.66
-21.06 -22.06 -19.86 -14.86 0.64 12.24 14.84 13.24 7.44 -7.56 -24.06 -21.56
-23.46 -23.36 -18.86 -9.96 2.94 13.34 15.14 12.94 6.54 -3.76 -17.56 -25.16
-22.96 -17.56 -18.86 -13.66 -2.66 10.44 14.74 13.04 6.64 -4.66 -21.96 -22.06
-22.96 -24.46 -19.96 -13.56 1.04 11.24 16.24 13.34 6.24 -9.26 -23.16 -15.46
-22.76 -31.36 -20.76 -13.56 1.44 13.24 15.24 12.64 7.74 -1.96 -14.76 -24.76
-21.76 -20.36 -26.56 -16.26 -1.66 10.94 16.74 12.24 5.14 -8.76 -11.96 -19.56
-26.96 -19.76 -22.26 -10.16 2.34 12.74 14.64 11.44 4.84 -7.16 -13.26 -21.16
-23.16 -29.16 -19.36 -14.06 1.44 11.24 16.04 13.84 4.84 -4.86 -21.56 -29.46
-20.16 -23.66 -23.66 -11.76 0.44 12.04 16.64 11.94 6.94 -4.26 -21.06 -24.26
-31.06 -15.06 -18.36 -12.96 0.94 13.64 15.44 13.24 8.54 -4.36 -20.66 -21.76
-25.56 -31.46 -18.56 -7.36 3.84 13.54 15.84 14.34 6.44 -5.96 -16.56 -24.36
-22.82 -29.42 -22.82 -18.12 -1.02 11.58 15.18 13.18 7.18 -9.32 -21.02 -27.52
-21.22 -27.12 -27.82 -12.12 0.18 12.38 16.08 14.98 8.28 -6.92 -20.42 -21.82
-18.02 -27.52 -19.42 -12.72 1.18 10.88 15.28 13.48 5.98 -5.02 -15.72 -27.52
-18.52 -18.72 -20.82 -15.42 0.18 11.78 14.88 11.78 5.38 -6.62 -21.12 -25.92
-21.32 -22.32 -20.12 -15.12 0.38 11.98 14.58 12.98 7.18 -7.82 -24.32 -21.82
-23.72 -23.62 -19.12 -10.22 2.68 13.08 14.88 12.68 6.28 -4.02 -17.82 -25.42
-23.22 -17.82 -19.12 -13.92 -2.92 10.18 14.48 12.78 6.38 -4.92 -22.22 -22.32
-23.22 -24.72 -20.22 -13.82 0.78 10.98 15.98 13.08 5.98 -9.52 -23.42 -15.72
-23.02 -31.62 -21.02 -13.82 1.18 12.98 14.98 12.38 7.48 -2.22 -15.02 -25.02
-22.02 -20.62 -26.82 -16.52 -1.92 10.68 16.48 11.98 4.88 -9.02 -12.22 -19.82
-27.22 -20.02 -22.52 -10.42 2.08 12.48 14.38 11.18 4.58 -7.42 -13.52 -21.42
-23.42 -29.42 -19.62 -14.32 1.18 10.98 15.78 13.58 4.58 -5.12 -21.82 -29.72
-20.42 -23.92 -23.92 -12.02 0.18 11.78 16.38 11.68 6.68 -4.52 -21.32 -24.52
-31.32 -15.32 -18.62 -13.22 0.68 13.38 15.18 12.98 8.28 -4.62 -20.92 -22.02
-25.82 -31.72 -18.82 -7.62 3.58 13.28 15.58 14.08 6.18 -6.22 -16.82 -24.62
-21.57 -22.27 -24.07 -16.27 -4.27 10.33 15.63 12.63 6.13 -5.57 -24.27 -32.27
-31.97 -14.97 -16.57 -9.77 3.93 11.93 14.43 12.13 5.73 -5.97 -19.37 -23.27
-31.87 -21.27 -17.77 -13.97 1.03 12.13 15.13 14.33 5.83 -5.97 -21.77 -27.77
-32.37 -29.47 -18.07 -16.67 -0.47 10.93 15.83 12.13 6.53 -5.87 -18.07 -23.17
-30.47 -29.37 -24.77 -12.57 1.43 12.63 16.03 13.43 6.93 -5.87 -18.07 -23.17
-22.57 -23.57 -20.77 -12.57 1.43 12.63 16.03 13.43 6.93 -5.87 -18.07 -23.17
-22.47 -23.07 -20.77 -12.47 0.73 12.63 16.03 13.43 6.93 -5.87 -18.07 -23.17
-22.57 -23.57 -20.77 -12.57 1.43 12.63 16.03 13.43 6.93 -5.87 -18.37 -23.87
-23.57 -23.47 -21.07 -13.67 1.43 12.43 16.03 13.43 6.93 -5.87 -18.07 -23.17
-22.57 -23.57 -20.77 -12.57 1.43 12.63 16.03 13.43 6.93 -5.87 -18.07 -23.17
-22.57 -23.57 -17.77 -10.37 -0.07 13.63 16.03 13.93 9.73 -3.67 -14.87 -25.87
-24.47 -24.47 -23.97 -13.47 -0.07 13.53 16.93 14.93 7.23 -6.27 -12.17 -18.07
-24.27 -22.27 -22.47 -10.97 0.33 12.23 15.83 13.13 6.63 -5.77 -21.57 -24.77
-20.27 -19.37 -23.17 -12.57 0.63 11.73 15.03 12.93 6.13 -8.27 -21.27 -23.17
-14.27 -26.77 -23.67 -11.37 -0.17 12.53 15.83 13.63 6.43 -4.37 -18.57 -25.47
-21.53 -22.23 -24.03 -16.23 -4.23 10.37 15.67 12.67 6.17 -5.53 -24.23 -32.23
-31.93 -14.93 -16.53 -9.73 3.97 11.97 14.47 12.17 5.77 -5.93 -19.33 -23.23
-31.83 -21.23 -17.73 -13.93 1.07 12.17 15.17 14.37 5.87 -5.93 -21.73 -27.73
-32.33 -29.43 -18.03 -16.63 -0.43 10.97 15.87 12.17 6.57 -5.83 -18.03 -23.13
-30.43 -29.33 -24.73 -12.53 1.47 12.67 16.07 13.47 6.97 -5.83 -18.03 -23.13
-22.53 -23.53 -20.73 -12.53 1.47 12.67 16.07 13.47 6.97 -5.83 -18.03 -23.13
-22.43 -23.03 -20.73 -12.43 0.77 12.67 16.07 13.47 6.97 -5.83 -18.03 -23.13
-22.53 -23.53 -20.73 -12.53 1.47 12.67 16.07 13.47 6.97 -5.83 -18.33 -23.83
-23.53 -23.43 -21.03 -13.63 1.47 12.47 16.07 13.47 6.97 -5.83 -18.03 -23.13
-22.53 -23.53 -20.73 -12.53 1.47 12.67 16.07 13.47 6.97 -5.83 -18.03 -23.13
-22.53 -23.53 -17.73 -10.33 -0.03 13.67 16.07 13.97 9.77 -3.63 -14.83 -25.83
-24.43 -24.43 -23.93 -13.43 -0.03 13.57 16.97 14.97 7.27 -6.23 -12.13 -18.03
-24.23 -22.23 -22.43 -10.93 0.37 12.27 15.87 13.17 6.67 -5.73 -21.53 -24.73
-20.23 -19.33 -23.13 -12.53 0.67 11.77 15.07 12.97 6.17 -8.23 -21.23 -23.13
-14.23 -26.73 -23.63 -11.33 -0.13 12.57 15.87 13.67 6.47 -4.33 -18.53 -25.43
-32.13 -25.63 -26.03 -8.03 0.67 12.97 16.17 12.77 7.17 -3.83 -14.73 -17.33
-27.53 -31.53 -22.93 -12.93 0.57 11.77 17.17 12.37 5.07 -8.93 -16.83 -24.63
-33.83 -28.33 -19.63 -12.83 -0.93 10.27 15.67 12.97 7.87 -2.03 -14.13 -24.93
-29.73 -14.23 -13.83 -13.93 0.47 9.97 16.37 11.97 6.07 -6.23 -16.63 -22.83
-21.93 -23.83 -17.73 -11.13 -3.93 10.77 14.17 12.67 6.67 -5.23 -22.43 -26.53
-29.83 -27.13 -18.63 -10.33 -3.83 10.57 12.77 13.57 8.57 -3.83 -17.73 -15.83
-22.43 -27.53 -21.43 -15.03 1.77 11.47 15.07 12.37 5.87 -4.83 -21.93 -29.73
-29.03 -19.43 -21.23 -20.13 -0.73 12.37 16.67 12.77 6.87 -3.33 -20.83 -20.73
-18.63 -21.23 -26.23 -9.53 -1.43 10.17 15.67 14.17 7.77 -3.63 -14.03 -26.33
-34.33 -21.63 -24.83 -14.23 -1.63 9.87 16.07 13.27 9.47 -5.13 -19.63 -21.53
-23.63 -26.23 -25.23 -12.73 -1.83 12.87 16.27 13.67 7.17 -5.63 -17.83 -22.93
-22.33 -23.33 -20.53 -12.33 1.67 12.87 16.27 13.67 7.17 -5.63 -17.83 -28.03
-29.13 -23.33 -14.83 -11.33 1.57 11.77 16.17 13.67 7.17 -5.63 -17.83 -22.93
-22.33 -23.33 -20.53 -12.33 1.67 12.87 16.27 13.67 7.17 -5.63 -17.83 -22.93
-30.53 -27.33 -23.03 -13.73 2.07 12.47 15.67 14.27 6.67 -5.03 -19.43 -26.93
-21.62 -24.72 -27.02 -13.72 4.08 12.18 16.18 11.38 5.48 -5.62 -17.52 -25.92
-19.72 -18.42 -16.02 -8.82 0.98 11.98 15.58 12.98 3.78 -7.42 -16.92 -21.62
-17.92 -21.42 -23.02 -11.62 -1.12 10.68 15.28 10.68 5.88 -8.82 -17.22 -20.92
-32.12 -28.32 -23.72 -14.12 0.08 14.78 15.28 12.98 4.98 -6.52 -18.52 -20.62
-25.02 -28.02 -21.02 -12.82 -1.02 10.88 13.18 11.48 2.98 -9.92 -15.82 -27.42
-23.92 -25.92 -21.12 -15.62 0.18 12.78 15.08 12.58 6.68 -8.92 -13.02 -21.92
-25.42 -25.52 -14.82 -13.22 5.38 13.38 15.68 11.48 6.98 -3.92 -20.92 -20.42
-18.72 -24.42 -18.82 -15.12 0.98 12.18 15.98 14.68 6.88 -7.62 -18.52 -27.12
-15.02 -26.52 -23.82 -12.02 3.08 12.38 16.38 13.48 8.38 -7.42 -24.82 -23.82
-23.02 -22.22 -21.42 -13.72 3.28 14.48 13.68 11.88 8.58 -7.32 -18.02 -22.12
-21.92 -26.92 -22.22 -12.62 -0.12 11.48 16.38 13.28 6.88 -6.72 -18.22 -24.02
-23.82 -19.12 -21.92 -12.92 1.18 10.08 16.38 13.58 7.48 -6.22 -22.12 -20.42
-28.02 -23.82 -25.42 -12.02 -1.42 12.48 15.78 12.08 5.88 -6.12 -15.12 -24.22
-25.32 -26.12 -19.12 -14.22 0.28 12.58 16.98 15.08 8.28 -1.22 -17.72 -29.82
-28.32 -21.42 -20.52 -13.72 -0.12 10.88 15.28 14.38 5.98 -6.82 -17.62 -27.72
-22.73 -29.33 -22.73 -18.03 -0.93 11.67 15.27 13.27 7.27 -9.23 -20.93 -27.43
-21.13 -27.03 -27.73 -12.03 0.27 12.47 16.17 15.07 8.37 -6.83 -20.33 -21.73
-17.93 -27.43 -19.33 -12.63 1.27 10.97 15.37 13.57 6.07 -4.93 -15.63 -27.43
-18.43 -18.63 -20.73 -15.33 0.27 11.87 14.97 11.87 5.47 -6.53 -21.03 -25.83
-21.23 -22.23 -20.03 -15.03 0.47 12.07 14.67 13.07 7.27 -7.73 -24.23 -21.73
-23.63 -23.53 -19.03 -10.13 2.77 13.17 14.97 12.77 6.37 -3.93 -17.73 -25.33
-23.13 -17.73 -19.03 -13.83 -2.83 10.27 14.57 12.87 6.47 -4.83 -22.13 -22.23
-23.13 -24.63 -20.13 -13.73 0.87 11.07 16.07 13.17 6.07 -9.43 -23.33 -15.63
-22.93 -31.53 -20.93 -13.73 1.27 13.07 15.07 12.47 7.57 -2.13 -14.93 -24.93
-21.93 -20.53 -26.73 -16.43 -1.83 10.77 16.57 12.07 4.97 -8.93 -12.13 -19.73
-27.13 -19.93 -22.43 -10.33 2.17 12.57 14.47 11.27 4.67 -7.33 -13.43 -21.33
-23.33 -29.33 -19.53 -14.23 1.27 11.07 15.87 13.67 4.67 -5.03 -21.73 -29.63
-20.33 -23.83 -23.83 -11.93 0.27 11.87 16.47 11.77 6.77 -4.43 -21.23 -24.43
-31.23 -15.23 -18.53 -13.13 0.77 13.47 15.27 13.07 8.37 -4.53 -20.83 -21.93
-25.73 -31.63 -18.73 -7.53 3.67 13.37 15.67 14.17 6.27 -6.13 -16.73 -24.53
-32.18 -25.68 -26.08 -8.08 0.62 12.92 16.12 12.72 7.12 -3.88 -14.78 -17.38
-27.58 -31.58 -22.98 -12.98 0.52 11.72 17.12 12.32 5.02 -8.98 -16.88 -24.68
