"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.81 -36.41 -29.81 -25.11 -8.01 4.59 8.19 6.19 0.19 -16.31 -28.01 -34.51
-28.21 -34.11 -34.81 -19.11 -6.81 5.39 9.09 7.99 1.29 -13.91 -27.41 -28.81
-25.01 -34.51 -26.41 -19.71 -5.81 3.89 8.29 6.49 -1.01 -12.01 -22.71 -34.51
-25.51 -25.71 -27.81 -22.41 -6.81 4.79 7.89 4.79 -1.61 -13.61 -28.11 -32.91
-28.31 -29.31 -27.11 -22.11 -6.61 4.99 7.59 5.99 0.19 -14.81 -31.31 -28.81
-30.71 -30.61 -26.11 -17.21 -4.31 6.09 7.89 5.69 -0.71 -11.01 -24.81 -32.41
-30.21 -24.81 -26.11 -20.91 -9.91 3.19 7.49 5.79 -0.61 -11.91 -29.21 -29.31
-30.21 -31.71 -27.21 -20.81 -6.21 3.99 8.99 6.09 -1.01 -16.51 -30.41 -22.71
-30.01 -38.61 -28.01 -20.81 -5.81 5.99 7.99 5.39 0.49 -9.21 -22.01 -32.01
-29.01 -27.61 -33.81 -23.51 -8.91 3.69 9.49 4.99 -2.11 -16.01 -19.21 -26.81
-34.21 -27.01 -29.51 -17.41 -4.91 5.49 7.39 4.19 -2.41 -14.41 -20.51 -28.41
-30.41 -36.41 -26.61 -21.31 -5.81 3.99 8.79 6.59 -2.41 -12.11 -28.81 -36.71
-27.41 -30.91 -30.91 -19.01 -6.81 4.79 9.39 4.69 -0.31 -11.51 -28.31 -31.51
-38.31 -22.31 -25.61 -20.21 -6.31 6.39 8.19 5.99 1.29 -11.61 -27.91 -29.01
-32.81 -38.71 -25.81 -14.61 -3.41 6.29 8.59 7.09 -0.81 -13.21 -23.81 -31.61
-35.6 -36.4 -25.8 -20.3 -8.4 3 7.1 4.8 -2.7 -15.9 -28.1 -31.6
-35.2 -31.9 -25.5 -19.1 -9.1 3.7 8.2 4.8 -2.5 -13.8 -26.6 -31.9
-36.7 -31.7 -26.6 -20.3 -7 3.1 7.9 4.6 -2.6 -12.6 -27.5 -26.7
-34.5 -29.3 -29.3 -21.9 -7.3 4.3 7.9 5.3 -0.5 -12.7 -23.2 -27
-32.6 -32.5 -25.4 -20.1 -8.7 4.1 8.2 5.3 -0.2 -13.6 -24.8 -29.1
-34.9 -31.7 -32 -17.5 -8 5.2 8.6 5.9 -2.4 -13.3 -25.5 -34.6
-30.9 -28.4 -27.8 -21.7 -9.4 4.2 8.3 6.5 0.3 -10.4 -21.8 -21.4
-29 -25.1 -29.6 -17 -9.8 4.2 8.6 4.5 -2.2 -14.7 -25.5 -30.6
-39.8 -31.1 -29.2 -20 -6.1 5.7 7.3 5 0.7 -11.5 -23.8 -31.5
-28.1 -31.9 -27.2 -15.7 -3.7 5.7 8.1 5.7 -2 -12.6 -21.8 -30.8
-31.6 -30 -29.2 -20.6 -8 4.7 8.7 6.3 -0.3 -11.1 -26.3 -32
-27 -30.3 -30.9 -20.3 -9 3.6 7.3 4.2 -1 -14.3 -25.9 -30.6
-29.2 -32.5 -25.4 -17.9 -3.5 6.2 8 4.8 -0.8 -12.4 -22.9 -32.1
