"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.63 12.53 10.93 13.03 15.73 33.33 55.33 48.33 23.33 18.33 23.33 18.33
21.33 14.33 12.33 14.33 17.33 33.33 55.33 48.33 23.33 18.33 23.33 18.33
21.33 14.33 12.33 14.33 17.33 33.33 55.33 48.33 23.33 18.33 23.33 15.93
18.43 12.53 11.93 12.43 16.83 33.33 55.33 48.33 23.33 16.93 20.13 17.03
17.83 12.33 10.73 12.33 16.13 32.43 59.83 46.33 25.23 16.53 20.93 17.73
12.11 5.51 8.41 13.11 11.91 18.51 59.71 66.61 16.81 16.71 26.91 8.31
39.21 32.01 19.61 14.31 30.51 44.51 72.01 58.31 27.91 16.91 12.71 20.41
40.61 10.41 10.61 16.21 17.11 38.41 52.21 30.61 10.31 18.61 24.21 19.11
14.71 6.11 6.01 7.91 24.71 21.11 71.71 45.11 16.21 12.31 13.11 16.41
14.91 4.51 12.21 15.01 9.11 31.01 33.31 36.31 34.81 14.11 55.91 10.91
43.01 22.01 16.11 12.91 9.81 39.41 50.51 45.31 17.61 15.71 53.71 11.21
24.91 8.41 25.31 18.71 29.51 45.61 52.31 26.31 13.31 24.71 12.51 29.51
30.61 16.61 12.41 5.31 26.11 32.91 56.51 54.81 11.51 25.71 11.11 24.61
41.31 7.51 6.51 9.71 10.61 25.11 32.51 22.51 27.21 18.51 7.81 19.61
8.21 9.81 8.21 8.81 23.81 24.91 39.91 62.01 12.41 13.21 34.31 15.41
27.31 15.01 13.11 8.91 10.21 16.01 27.51 28.91 21.91 23.61 33.81 25.71
20.71 14.11 6.71 13.31 15.61 28.31 53.31 58.51 20.71 24.91 18.51 28.71
13.11 12.41 5.11 14.31 8.31 16.01 68.71 56.71 27.91 23.51 44.41 12.51
12.11 7.81 8.91 3.71 10.31 24.61 30.41 34.71 27.51 8.41 20.01 4.31
15.11 12.41 16.21 16.71 14.81 41.11 42.31 45.61 28.01 17.31 34.31 9.01
22.23 8.63 11.63 16.73 10.43 40.13 52.63 45.83 19.13 10.23 10.83 9.83
20.23 14.53 6.73 14.33 19.93 35.43 23.03 55.83 49.03 15.53 15.23 23.43
32.53 13.23 6.93 17.33 14.63 47.43 74.13 48.73 12.53 8.93 13.63 14.43
20.53 20.43 11.23 10.33 10.53 27.73 80.93 71.13 26.33 12.23 18.23 22.63
12.03 17.93 11.93 7.53 6.73 48.53 77.93 26.03 8.63 15.63 10.83 9.23
17.43 10.93 13.03 17.43 16.13 44.73 100.33 27.33 16.93 16.93 13.33 18.73
23.73 20.53 15.43 24.43 14.63 12.63 17.33 22.83 15.33 22.63 27.03 21.63
10.33 6.03 5.73 15.63 12.43 16.13 52.23 49.53 20.63 12.73 11.23 30.23
12.93 3.93 5.83 8.53 28.33 43.33 86.13 60.43 35.83 15.03 19.43 14.33
13.43 12.63 8.83 6.33 15.03 25.33 41.73 68.83 13.43 15.63 35.63 13.43
7.33 13.23 11.43 8.33 15.43 28.03 82.33 34.93 35.53 13.23 17.63 17.53
17.33 5.23 12.03 14.13 13.03 35.13 30.43 56.63 16.13 14.13 9.93 17.13
23.53 13.23 4.03 11.73 8.03 20.03 51.53 49.73 15.03 13.03 4.93 11.13
15.33 33.43 19.33 26.23 22.63 30.23 49.33 66.73 21.03 21.33 17.43 9.33
