"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-27.81 -30.61 -29.51 -16.91 -5.91 8.79 12.29 9.59 3.19 -9.71 -21.91 -27.11
-26.51 -27.71 -24.91 -16.51 -2.41 8.79 12.29 9.59 3.19 -9.71 -21.91 -32.01
-33.11 -27.71 -19.41 -15.51 -2.51 7.69 12.19 9.59 3.19 -9.71 -21.91 -27.11
-26.51 -27.71 -24.91 -16.51 -2.41 8.79 12.29 9.59 3.19 -9.71 -21.91 -27.11
-34.61 -31.61 -27.31 -17.81 -2.01 8.39 11.69 10.19 2.69 -9.11 -23.41 -31.01
-26.15 -29.45 -31.45 -18.15 -0.25 7.95 11.95 7.05 1.35 -9.85 -21.75 -30.05
-24.25 -23.25 -20.75 -13.25 -3.45 7.65 11.25 8.65 -0.45 -11.75 -21.25 -26.05
-22.55 -26.15 -27.65 -16.05 -5.35 6.35 11.05 6.35 1.65 -13.25 -21.55 -25.35
-36.45 -32.75 -28.45 -18.55 -4.25 10.35 10.95 8.75 0.75 -10.85 -22.95 -25.15
-29.25 -32.55 -25.65 -17.35 -5.45 6.55 9.05 7.15 -1.05 -14.15 -20.25 -31.95
-28.55 -30.75 -25.85 -19.95 -4.05 8.45 10.85 8.25 2.45 -13.15 -17.45 -26.35
-29.85 -30.35 -19.65 -17.55 1.05 8.95 11.35 7.15 2.75 -8.25 -25.15 -25.05
-23.35 -29.05 -23.35 -19.35 -3.25 7.85 11.85 10.45 2.75 -11.65 -22.85 -31.45
-19.65 -31.15 -28.45 -16.35 -1.25 8.05 12.05 9.05 4.15 -11.75 -29.05 -28.05
-27.35 -26.95 -26.15 -18.15 -1.15 10.05 9.55 7.55 4.25 -11.75 -22.45 -26.55
-26.55 -31.35 -26.75 -16.95 -4.45 7.25 12.15 8.95 2.65 -11.05 -22.45 -28.35
-28.55 -23.75 -26.35 -17.35 -3.05 5.85 12.15 9.25 3.25 -10.55 -26.45 -24.85
-32.45 -28.45 -29.95 -16.55 -5.65 8.25 11.55 7.75 1.65 -10.45 -19.55 -28.45
-29.55 -30.75 -23.75 -18.55 -4.05 8.25 12.75 10.85 4.05 -5.55 -22.05 -34.05
-32.55 -26.05 -25.05 -18.15 -4.45 6.55 11.05 9.95 1.65 -11.25 -21.95 -31.95
-26.94 -33.54 -27.14 -22.14 -5.14 7.46 11.16 9.06 3.16 -13.44 -25.14 -31.74
-25.34 -31.54 -32.14 -16.44 -4.04 8.26 12.26 10.96 4.26 -10.94 -24.54 -26.14
-22.54 -32.04 -23.74 -17.04 -2.94 6.76 11.36 9.36 1.86 -9.14 -19.94 -31.74
-22.84 -23.44 -25.24 -19.64 -3.84 7.66 10.86 7.66 1.26 -10.74 -25.14 -30.14
-25.54 -26.74 -24.74 -19.24 -3.84 7.76 10.56 8.86 3.16 -11.94 -28.34 -26.04
-27.84 -27.94 -23.74 -14.44 -1.34 8.86 10.76 8.56 2.16 -8.24 -21.94 -29.64
-27.54 -22.34 -23.64 -18.14 -7.04 6.16 10.46 8.76 2.36 -9.24 -26.24 -26.64
-27.34 -29.24 -24.74 -18.04 -3.34 6.86 11.86 8.86 1.96 -13.74 -27.44 -20.34
-27.14 -35.84 -25.54 -18.14 -3.14 8.76 10.96 8.26 3.36 -6.44 -19.14 -29.44
-26.24 -24.94 -31.04 -20.74 -6.04 6.56 12.46 7.76 0.86 -13.14 -16.64 -24.24
-31.34 -24.54 -26.94 -14.74 -2.04 8.36 10.36 7.06 0.56 -11.64 -17.74 -25.64
-27.54 -33.74 -24.04 -18.54 -2.94 6.86 11.86 9.36 0.56 -9.24 -25.94 -33.94
-24.64 -28.34 -28.24 -16.24 -4.04 7.56 12.36 7.56 2.66 -8.64 -25.24 -28.54
-35.24 -19.84 -23.04 -17.34 -3.44 9.16 11.16 8.86 4.26 -8.74 -24.84 -26.04
-29.94 -35.84 -23.14 -11.64 -0.44 8.96 11.56 10.06 2.26 -10.14 -21.04 -29.04
-27.16 -33.76 -27.36 -22.36 -5.36 7.24 10.94 8.84 2.94 -13.66 -25.36 -31.96
-25.56 -31.76 -32.36 -16.66 -4.26 8.04 12.04 10.74 4.04 -11.16 -24.76 -26.36
-22.76 -32.26 -23.96 -17.26 -3.16 6.54 11.14 9.14 1.64 -9.36 -20.16 -31.96
-23.06 -23.66 -25.46 -19.86 -4.06 7.44 10.64 7.44 1.04 -10.96 -25.36 -30.36
-25.76 -26.96 -24.96 -19.46 -4.06 7.54 10.34 8.64 2.94 -12.16 -28.56 -26.26
-28.06 -28.16 -23.96 -14.66 -1.56 8.64 10.54 8.34 1.94 -8.46 -22.16 -29.86
-27.76 -22.56 -23.86 -18.36 -7.26 5.94 10.24 8.54 2.14 -9.46 -26.46 -26.86
-27.56 -29.46 -24.96 -18.26 -3.56 6.64 11.64 8.64 1.74 -13.96 -27.66 -20.56
-27.36 -36.06 -25.76 -18.36 -3.36 8.54 10.74 8.04 3.14 -6.66 -19.36 -29.66
-26.46 -25.16 -31.26 -20.96 -6.26 6.34 12.24 7.54 0.64 -13.36 -16.86 -24.46
-31.56 -24.76 -27.16 -14.96 -2.26 8.14 10.14 6.84 0.34 -11.86 -17.96 -25.86
-27.76 -33.96 -24.26 -18.76 -3.16 6.64 11.64 9.14 0.34 -9.46 -26.16 -34.16
-24.86 -28.56 -28.46 -16.46 -4.26 7.34 12.14 7.34 2.44 -8.86 -25.46 -28.76
-35.46 -20.06 -23.26 -17.56 -3.66 8.94 10.94 8.64 4.04 -8.96 -25.06 -26.26
-30.16 -36.06 -23.36 -11.86 -0.66 8.74 11.34 9.84 2.04 -10.36 -21.26 -29.26
-26.06 -26.96 -28.66 -20.66 -8.56 5.94 11.34 8.24 1.84 -9.96 -28.56 -36.66
-36.36 -19.76 -21.36 -14.26 -0.46 7.54 10.14 7.74 1.44 -10.36 -23.76 -27.76
-36.16 -25.96 -22.46 -18.46 -3.36 7.74 10.94 9.94 1.54 -10.36 -25.96 -32.06
-36.56 -33.96 -22.86 -20.96 -4.86 6.64 11.54 7.74 2.24 -10.26 -22.46 -27.66
-34.86 -33.96 -29.36 -17.06 -2.96 8.24 11.74 9.04 2.64 -10.26 -22.46 -27.66
-27.06 -28.26 -25.46 -17.06 -2.96 8.24 11.74 9.04 2.64 -10.26 -22.46 -27.66
