"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.08 -31.88 -30.78 -18.18 -7.18 7.52 11.02 8.32 1.92 -10.98 -23.18 -28.38
-27.78 -28.98 -26.18 -17.78 -3.68 7.52 11.02 8.32 1.92 -10.98 -23.18 -33.28
-34.38 -28.98 -20.68 -16.78 -3.78 6.42 10.92 8.32 1.92 -10.98 -23.18 -28.38
-27.78 -28.98 -26.18 -17.78 -3.68 7.52 11.02 8.32 1.92 -10.98 -23.18 -28.38
-35.88 -32.88 -28.58 -19.08 -3.28 7.12 10.42 8.92 1.42 -10.38 -24.68 -32.28
-27.38 -30.68 -32.68 -19.38 -1.48 6.72 10.72 5.82 0.12 -11.08 -22.98 -31.28
-25.48 -24.48 -21.98 -14.48 -4.68 6.42 10.02 7.42 -1.68 -12.98 -22.48 -27.28
-23.78 -27.38 -28.88 -17.28 -6.58 5.12 9.82 5.12 0.42 -14.48 -22.78 -26.58
-37.68 -33.98 -29.68 -19.78 -5.48 9.12 9.72 7.52 -0.48 -12.08 -24.18 -26.38
-30.48 -33.78 -26.88 -18.58 -6.68 5.32 7.82 5.92 -2.28 -15.38 -21.48 -33.18
-29.78 -31.98 -27.08 -21.18 -5.28 7.22 9.62 7.02 1.22 -14.38 -18.68 -27.58
-31.08 -31.58 -20.88 -18.78 -0.18 7.72 10.12 5.92 1.52 -9.48 -26.38 -26.28
-24.58 -30.28 -24.58 -20.58 -4.48 6.62 10.62 9.22 1.52 -12.88 -24.08 -32.68
-20.88 -32.38 -29.68 -17.58 -2.48 6.82 10.82 7.82 2.92 -12.98 -30.28 -29.28
-28.58 -28.18 -27.38 -19.38 -2.38 8.82 8.32 6.32 3.02 -12.98 -23.68 -27.78
-27.78 -32.58 -27.98 -18.18 -5.68 6.02 10.92 7.72 1.42 -12.28 -23.68 -29.58
-29.78 -24.98 -27.58 -18.58 -4.28 4.62 10.92 8.02 2.02 -11.78 -27.68 -26.08
-33.68 -29.68 -31.18 -17.78 -6.88 7.02 10.32 6.52 0.42 -11.68 -20.78 -29.68
-30.78 -31.98 -24.98 -19.78 -5.28 7.02 11.52 9.62 2.82 -6.78 -23.28 -35.28
-33.78 -27.28 -26.28 -19.38 -5.68 5.32 9.82 8.72 0.42 -12.48 -23.18 -33.18
-28.21 -34.81 -28.41 -23.41 -6.41 6.19 9.89 7.79 1.89 -14.71 -26.41 -33.01
-26.61 -32.81 -33.41 -17.71 -5.31 6.99 10.99 9.69 2.99 -12.21 -25.81 -27.41
-23.81 -33.31 -25.01 -18.31 -4.21 5.49 10.09 8.09 0.59 -10.41 -21.21 -33.01
-24.11 -24.71 -26.51 -20.91 -5.11 6.39 9.59 6.39 -0.01 -12.01 -26.41 -31.41
-26.81 -28.01 -26.01 -20.51 -5.11 6.49 9.29 7.59 1.89 -13.21 -29.61 -27.31
-29.11 -29.21 -25.01 -15.71 -2.61 7.59 9.49 7.29 0.89 -9.51 -23.21 -30.91
-28.81 -23.61 -24.91 -19.41 -8.31 4.89 9.19 7.49 1.09 -10.51 -27.51 -27.91
-28.61 -30.51 -26.01 -19.31 -4.61 5.59 10.59 7.59 0.69 -15.01 -28.71 -21.61
