"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-32.1 -34.9 -33.8 -21.2 -10.2 4.5 8 5.3 -1.1 -14 -26.2 -31.4
-30.8 -32 -29.2 -20.8 -6.7 4.5 8 5.3 -1.1 -14 -26.2 -36.3
-37.4 -32 -23.7 -19.8 -6.8 3.4 7.9 5.3 -1.1 -14 -26.2 -31.4
-30.8 -32 -29.2 -20.8 -6.7 4.5 8 5.3 -1.1 -14 -26.2 -31.4
-38.9 -35.9 -31.6 -22.1 -6.3 4.1 7.4 5.9 -1.6 -13.4 -27.7 -35.3
-40.51 -34.41 -34.71 -16.71 -7.71 4.49 7.79 4.29 -1.21 -12.31 -23.31 -26.01
-36.01 -40.11 -31.71 -21.51 -7.81 3.39 8.69 3.99 -3.21 -17.41 -25.41 -33.21
-42.21 -37.01 -28.51 -21.41 -9.31 1.89 7.29 4.49 -0.51 -10.61 -22.61 -33.51
-38.21 -23.21 -22.71 -22.51 -8.01 1.49 7.99 3.59 -2.31 -14.71 -25.21 -31.41
-30.51 -32.61 -26.51 -19.71 -12.31 2.39 5.79 4.19 -1.71 -13.71 -30.81 -35.01
-38.31 -35.81 -27.51 -18.91 -12.21 2.09 4.39 5.09 0.19 -12.31 -26.21 -24.51
-31.01 -36.31 -30.21 -23.51 -6.71 2.99 6.69 3.89 -2.51 -13.31 -30.31 -38.21
-37.51 -28.31 -30.01 -28.51 -9.11 3.89 8.29 4.29 -1.51 -11.91 -29.21 -29.31
-27.31 -30.11 -34.91 -18.21 -9.81 1.69 7.29 5.69 -0.61 -12.21 -22.61 -34.91
-42.71 -30.41 -33.51 -22.81 -10.11 1.39 7.69 4.79 1.09 -13.61 -28.01 -30.21
-32.21 -35.01 -33.91 -21.31 -10.31 4.39 7.89 5.19 -1.21 -14.11 -26.31 -31.51
-30.91 -32.11 -29.31 -20.91 -6.81 4.39 7.89 5.19 -1.21 -14.11 -26.31 -36.41
-37.51 -32.11 -23.81 -19.91 -6.91 3.29 7.79 5.19 -1.21 -14.11 -26.31 -31.51
-30.91 -32.11 -29.31 -20.91 -6.81 4.39 7.89 5.19 -1.21 -14.11 -26.31 -31.51
-39.01 -36.01 -31.71 -22.21 -6.41 3.99 7.29 5.79 -1.71 -13.51 -27.81 -35.41
-30.29 -31.19 -32.89 -24.89 -12.79 1.71 7.11 4.01 -2.39 -14.19 -32.79 -40.89
-40.59 -23.99 -25.59 -18.49 -4.69 3.31 5.91 3.51 -2.79 -14.59 -27.99 -31.99
-40.39 -30.19 -26.69 -22.69 -7.59 3.51 6.71 5.71 -2.69 -14.59 -30.19 -36.29
-40.79 -38.19 -27.09 -25.19 -9.09 2.41 7.31 3.51 -1.99 -14.49 -26.69 -31.89
