"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-31.3 -37.9 -31.5 -26.5 -9.5 3.1 6.8 4.7 -1.2 -17.8 -29.5 -36.1
-29.7 -35.9 -36.5 -20.8 -8.4 3.9 7.9 6.6 -0.1 -15.3 -28.9 -30.5
-26.9 -36.4 -28.1 -21.4 -7.3 2.4 7 5 -2.5 -13.5 -24.3 -36.1
-27.2 -27.8 -29.6 -24 -8.2 3.3 6.5 3.3 -3.1 -15.1 -29.5 -34.5
-29.9 -31.1 -29.1 -23.6 -8.2 3.4 6.2 4.5 -1.2 -16.3 -32.7 -30.4
-32.2 -32.3 -28.1 -18.8 -5.7 4.5 6.4 4.2 -2.2 -12.6 -26.3 -34
-31.9 -26.7 -28 -22.5 -11.4 1.8 6.1 4.4 -2 -13.6 -30.6 -31
-31.7 -33.6 -29.1 -22.4 -7.7 2.5 7.5 4.5 -2.4 -18.1 -31.8 -24.7
-31.5 -40.2 -29.9 -22.5 -7.5 4.4 6.6 3.9 -1 -10.8 -23.5 -33.8
-30.6 -29.3 -35.4 -25.1 -10.4 2.2 8.1 3.4 -3.5 -17.5 -21 -28.6
-35.7 -28.9 -31.3 -19.1 -6.4 4 6 2.7 -3.8 -16 -22.1 -30
-31.9 -38.1 -28.4 -22.9 -7.3 2.5 7.5 5 -3.8 -13.6 -30.3 -38.3
-29 -32.7 -32.6 -20.6 -8.4 3.2 8 3.2 -1.7 -13 -29.6 -32.9
-39.6 -24.2 -27.4 -21.7 -7.8 4.8 6.8 4.5 -0.1 -13.1 -29.2 -30.4
-34.3 -40.2 -27.5 -16 -4.8 4.6 7.2 5.7 -2.1 -14.5 -25.4 -33.4
-37.08 -37.98 -27.68 -21.88 -9.78 1.62 5.62 3.32 -4.08 -17.18 -29.58 -33.08
-36.68 -33.78 -27.48 -20.78 -10.58 2.22 6.72 3.32 -3.78 -15.38 -28.18 -33.48
-37.98 -33.48 -28.48 -21.88 -8.48 1.62 6.52 3.12 -3.98 -14.08 -29.18 -28.18
-36.08 -30.98 -31.18 -23.58 -8.68 2.82 6.52 3.72 -1.88 -14.08 -24.58 -28.58
-34.38 -34.28 -27.18 -21.68 -10.28 2.62 6.82 3.82 -1.68 -15.08 -26.28 -30.58
-36.78 -33.68 -33.78 -18.98 -9.58 3.82 7.22 4.42 -3.78 -14.78 -27.08 -36.18
-32.58 -30.08 -29.58 -23.28 -10.88 2.82 7.02 5.12 -0.98 -11.88 -23.08 -23.18
-30.68 -27.08 -31.28 -18.68 -11.28 2.72 7.22 3.02 -3.58 -16.08 -26.98 -32.18
-41.28 -32.98 -31.08 -21.68 -7.68 4.22 5.92 3.52 -0.68 -12.98 -25.38 -33.08
-29.78 -33.68 -28.98 -17.38 -5.28 4.22 6.82 4.22 -3.48 -13.98 -23.08 -32.38
-33.28 -31.68 -30.98 -22.18 -9.58 3.22 7.32 4.92 -1.68 -12.28 -27.78 -33.48
-28.48 -31.98 -32.68 -21.78 -10.58 2.12 5.92 2.62 -2.38 -15.88 -27.58 -32.28
-30.88 -34.28 -27.38 -19.48 -5.08 4.62 6.52 3.32 -2.18 -13.88 -24.38 -33.58
-34.78 -35.28 -30.18 -25.28 -6.78 3.22 6.52 5.22 -0.78 -12.18 -24.28 -31.08
-35.08 -35.48 -33.88 -16.18 -7.18 2.12 6.62 4.02 -2.38 -15.88 -24.78 -32.18
-40.64 -34.54 -34.84 -16.84 -7.84 4.36 7.66 4.16 -1.34 -12.44 -23.44 -26.14
-36.14 -40.24 -31.84 -21.64 -7.94 3.26 8.56 3.86 -3.34 -17.54 -25.54 -33.34
-42.34 -37.14 -28.64 -21.54 -9.44 1.76 7.16 4.36 -0.64 -10.74 -22.74 -33.64
-38.34 -23.34 -22.84 -22.64 -8.14 1.36 7.86 3.46 -2.44 -14.84 -25.34 -31.54
-30.64 -32.74 -26.64 -19.84 -12.44 2.26 5.66 4.06 -1.84 -13.84 -30.94 -35.14
-38.44 -35.94 -27.64 -19.04 -12.34 1.96 4.26 4.96 0.06 -12.44 -26.34 -24.64
-31.14 -36.44 -30.34 -23.64 -6.84 2.86 6.56 3.76 -2.64 -13.44 -30.44 -38.34
