"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
15.39 10.49 9.89 12.89 14.29 37.19 59.19 52.19 27.19 21.19 28.19 23.19
26.19 18.19 16.19 18.19 20.19 37.19 59.19 52.19 27.19 21.19 28.19 23.19
26.19 18.19 16.19 18.19 20.19 37.19 59.19 52.19 27.19 21.19 28.19 13.09
14.79 10.49 14.49 10.19 18.29 37.19 59.19 52.19 27.19 16.19 15.69 17.79
12.29 9.59 8.89 9.59 15.69 33.89 74.69 45.19 34.19 14.69 18.89 20.59
13 3.2 6.5 14.4 9.9 24.6 49.4 71.8 16.7 19 25.5 5.5
38.2 34.5 20.9 15.1 33.2 44.7 86.2 36.6 30.8 15.4 12.8 23.9
40.7 10.2 11 19.7 15.7 30.7 60.9 36 5.7 14.6 27.3 19.8
13.6 3.5 5.8 7.7 30.2 18.6 55.7 45.1 13.9 10.2 11.1 22.5
12.1 3.4 11.5 14.5 12.8 30.2 50.7 42 38.4 11.5 52.2 11.3
50.9 24.1 17.1 9.5 2.1 31.1 45.2 49.7 16.8 14.2 63.8 7.5
23.1 7.3 32.9 15.4 28.8 51.4 50.9 28.3 13 23.8 12.6 32.7
35.1 13.7 15 2.8 22.7 32.1 63.8 52.5 9.8 23.7 9.2 26.6
45.5 7 5.7 10.2 13.1 23.7 31.1 24 31.3 16.7 7.9 18.7
8.1 13.8 9.5 8.3 20.8 20.5 40.2 66.7 11.5 15.3 41.4 15.9
36.9 8 11.2 9.7 7 14.6 22.6 23.7 22 21.5 35.3 31.3
24.2 17.4 5.3 14.8 17.5 28.4 59.8 56.7 25.8 26.7 17.7 32.3
13.4 14.2 1.7 17.3 6.6 13.7 49.7 53.2 32.4 23.8 53 13.3
11 6.5 8.8 2 8.6 22.8 31.7 41.1 31.7 7.8 19.1 1.3
15.7 12.3 17.1 16.1 14.5 46.8 39 39.2 30.5 13.6 36.7 7.4
21.3 7.2 11.2 15.1 8.8 33.3 53 51.9 17.9 8.5 10.5 8.6
19.5 13.6 4.4 13.9 18.9 46.6 30.1 55.6 51.8 13.1 13.4 25.5
34.9 14.2 5.9 18.7 14.7 52.8 76.5 44.7 14 6.6 13.6 15.8
20.6 24.4 10.9 10.3 6.5 25.8 63.6 68.1 24.5 11.2 18.1 23.2
9.6 19.5 11.1 4 5.7 51.6 78.3 21.8 4.9 14.1 8.2 6.9
17.6 8.9 13.6 22.6 15.9 45.3 94.3 24.2 16.1 18.2 13.9 20.1
25.4 26.7 16.8 23.4 13.4 10.5 19 31.3 11.5 23.5 25.2 28.9
10.4 4.5 4.2 16.4 9.5 12.2 61.5 50 16.1 11.4 8.6 34
13.8 1.5 5.7 4.7 23.4 53.2 84.3 56.8 40.7 13.1 23.1 20.1
13.3 12.2 6.7 6.3 15.2 19.3 41.4 76.3 9 15.8 40.8 17
6.8 13.8 11.9 10.5 13.1 29.8 79.5 43 35.8 14.1 19 14.4
14 3.3 12.1 18.3 14.2 36 37.3 53.7 13.8 11.3 10.8 17.4
28.2 8.9 2 10.8 5.2 24 47.5 48.9 12.5 11.2 3.2 10.3
15.2 43.6 24.7 27.7 22 28 57.2 57.7 21 24.6 18.2 7.5
5.1 4.2 9.5 12.4 30.9 53.6 71.1 53.1 39.2 21.9 43.9 16.5
21.32 7.22 11.22 15.12 8.82 33.32 53.02 51.92 17.92 8.52 10.52 8.62
19.52 13.62 4.42 13.92 18.92 46.62 30.12 55.62 51.82 13.12 13.42 25.52
34.92 14.22 5.92 18.72 14.72 52.82 76.52 44.72 14.02 6.62 13.62 15.82
20.62 24.42 10.92 10.32 6.52 25.82 63.62 68.12 24.52 11.22 18.12 23.22
9.62 19.52 11.12 4.02 5.72 51.62 78.32 21.82 4.92 14.12 8.22 6.92
17.62 8.92 13.62 22.62 15.92 45.32 94.32 24.22 16.12 18.22 13.92 20.12
25.42 26.72 16.82 23.42 13.42 10.52 19.02 31.32 11.52 23.52 25.22 28.92
10.42 4.52 4.22 16.42 9.52 12.22 61.52 50.02 16.12 11.42 8.62 34.02
13.82 1.52 5.72 4.72 23.42 53.22 84.32 56.82 40.72 13.12 23.12 20.12
13.32 12.22 6.72 6.32 15.22 19.32 41.42 76.32 9.02 15.82 40.82 17.02
6.82 13.82 11.92 10.52 13.12 29.82 79.52 43.02 35.82 14.12 19.02 14.42
14.02 3.32 12.12 18.32 14.22 36.02 37.32 53.72 13.82 11.32 10.82 17.42
28.22 8.92 2.02 10.82 5.22 24.02 47.52 48.92 12.52 11.22 3.22 10.32
15.22 43.62 24.72 27.72 22.02 28.02 57.22 57.72 21.02 24.62 18.22 7.52
5.12 4.22 9.52 12.42 30.92 53.62 71.12 53.12 39.22 21.92 43.92 16.52
29.43 9.03 5.53 8.43 12.93 24.63 56.13 31.63 15.43 16.53 23.23 8.43
12.03 14.03 10.23 7.33 17.63 31.23 59.53 47.23 20.03 14.33 12.83 15.43
10.93 14.03 15.73 13.23 13.63 13.53 58.83 33.93 18.03 13.93 14.73 10.73
11.43 7.13 14.43 8.43 16.33 43.93 38.13 55.13 23.23 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
10.43 7.13 6.53 7.33 6.93 33.83 55.83 48.83 31.73 16.93 24.63 12.63
10.93 6.73 7.03 6.83 10.33 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
22.83 14.83 12.83 14.83 16.83 33.83 55.83 48.83 23.83 17.83 24.83 19.83
29.41 9.01 5.51 8.41 12.91 24.61 56.11 31.61 15.41 16.51 23.21 8.41
12.01 14.01 10.21 7.31 17.61 31.21 59.51 47.21 20.01 14.31 12.81 15.41
10.91 14.01 15.71 13.21 13.61 13.51 58.81 33.91 18.01 13.91 14.71 10.71
11.41 7.11 14.41 8.41 16.31 43.91 38.11 55.11 23.21 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
10.41 7.11 6.51 7.31 6.91 33.81 55.81 48.81 31.71 16.91 24.61 12.61
10.91 6.71 7.01 6.81 10.31 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
22.81 14.81 12.81 14.81 16.81 33.81 55.81 48.81 23.81 17.81 24.81 19.81
13.42 13.42 10.02 11.92 11.12 25.82 65.02 33.22 29.72 12.22 17.22 13.72
13.92 10.22 10.02 10.82 13.12 57.72 50.12 40.52 16.72 16.32 17.72 16.52
14.92 13.02 17.42 12.42 10.42 19.92 31.82 78.42 24.82 17.82 19.92 15.62
14.92 14.32 11.82 13.02 15.02 17.72 48.42 48.42 56.12 15.22 15.82 15.12
24.92 13.42 11.82 10.82 16.42 32.52 70.12 34.02 24.82 18.52 15.82 15.62
13.92 15.72 15.52 10.32 12.42 28.12 58.22 29.72 15.82 11.92 15.82 16.52
14.92 13.42 11.82 11.32 13.12 34.02 47.72 29.72 20.22 11.12 16.32 17.42
14.92 12.02 10.92 10.32 12.42 23.52 34.22 103.82 27.32 12.92 18.22 14.22
18.92 16.62 14.12 14.62 18.42 24.42 43.02 37.42 23.22 21.32 19.92 18.82
14.92 12.92 9.52 12.42 11.72 22.92 55.52 73.02 19.32 11.12 17.72 15.12
15.52 10.62 10.02 13.02 14.42 37.32 59.32 52.32 27.32 21.32 28.32 23.32
26.32 18.32 16.32 18.32 20.32 37.32 59.32 52.32 27.32 21.32 28.32 23.32
26.32 18.32 16.32 18.32 20.32 37.32 59.32 52.32 27.32 21.32 28.32 13.22
14.92 10.62 14.62 10.32 18.42 37.32 59.32 52.32 27.32 16.32 15.82 17.92
12.42 9.72 9.02 9.72 15.82 34.02 74.82 45.32 34.32 14.82 19.02 20.72
13.16 3.36 6.66 14.56 10.06 24.76 49.56 71.96 16.86 19.16 25.66 5.66
38.36 34.66 21.06 15.26 33.36 44.86 86.36 36.76 30.96 15.56 12.96 24.06
40.86 10.36 11.16 19.86 15.86 30.86 61.06 36.16 5.86 14.76 27.46 19.96
13.76 3.66 5.96 7.86 30.36 18.76 55.86 45.26 14.06 10.36 11.26 22.66
12.26 3.56 11.66 14.66 12.96 30.36 50.86 42.16 38.56 11.66 52.36 11.46
51.06 24.26 17.26 9.66 2.26 31.26 45.36 49.86 16.96 14.36 63.96 7.66
23.26 7.46 33.06 15.56 28.96 51.56 51.06 28.46 13.16 23.96 12.76 32.86
35.26 13.86 15.16 2.96 22.86 32.26 63.96 52.66 9.96 23.86 9.36 26.76
45.66 7.16 5.86 10.36 13.26 23.86 31.26 24.16 31.46 16.86 8.06 18.86
8.26 13.96 9.66 8.46 20.96 20.66 40.36 66.86 11.66 15.46 41.56 16.06
37.06 8.16 11.36 9.86 7.16 14.76 22.76 23.86 22.16 21.66 35.46 31.46
24.36 17.56 5.46 14.96 17.66 28.56 59.96 56.86 25.96 26.86 17.86 32.46
13.56 14.36 1.86 17.46 6.76 13.86 49.86 53.36 32.56 23.96 53.16 13.46
11.16 6.66 8.96 2.16 8.76 22.96 31.86 41.26 31.86 7.96 19.26 1.46
15.86 12.46 17.26 16.26 14.66 46.96 39.16 39.36 30.66 13.76 36.86 7.56
21.25 7.15 11.15 15.05 8.75 33.25 52.95 51.85 17.85 8.45 10.45 8.55
19.45 13.55 4.35 13.85 18.85 46.55 30.05 55.55 51.75 13.05 13.35 25.45
34.85 14.15 5.85 18.65 14.65 52.75 76.45 44.65 13.95 6.55 13.55 15.75
20.55 24.35 10.85 10.25 6.45 25.75 63.55 68.05 24.45 11.15 18.05 23.15
9.55 19.45 11.05 3.95 5.65 51.55 78.25 21.75 4.85 14.05 8.15 6.85
17.55 8.85 13.55 22.55 15.85 45.25 94.25 24.15 16.05 18.15 13.85 20.05
25.35 26.65 16.75 23.35 13.35 10.45 18.95 31.25 11.45 23.45 25.15 28.85
10.35 4.45 4.15 16.35 9.45 12.15 61.45 49.95 16.05 11.35 8.55 33.95
13.75 1.45 5.65 4.65 23.35 53.15 84.25 56.75 40.65 13.05 23.05 20.05
13.25 12.15 6.65 6.25 15.15 19.25 41.35 76.25 8.95 15.75 40.75 16.95
6.75 13.75 11.85 10.45 13.05 29.75 79.45 42.95 35.75 14.05 18.95 14.35
13.95 3.25 12.05 18.25 14.15 35.95 37.25 53.65 13.75 11.25 10.75 17.35
28.15 8.85 1.95 10.75 5.15 23.95 47.45 48.85 12.45 11.15 3.15 10.25
15.15 43.55 24.65 27.65 21.95 27.95 57.15 57.65 20.95 24.55 18.15 7.45
5.05 4.15 9.45 12.35 30.85 53.55 71.05 53.05 39.15 21.85 43.85 16.45
13.28 13.28 9.88 11.78 10.98 25.68 64.88 33.08 29.58 12.08 17.08 13.58
13.78 10.08 9.88 10.68 12.98 57.58 49.98 40.38 16.58 16.18 17.58 16.38
14.78 12.88 17.28 12.28 10.28 19.78 31.68 78.28 24.68 17.68 19.78 15.48
14.78 14.18 11.68 12.88 14.88 17.58 48.28 48.28 55.98 15.08 15.68 14.98
24.78 13.28 11.68 10.68 16.28 32.38 69.98 33.88 24.68 18.38 15.68 15.48
13.78 15.58 15.38 10.18 12.28 27.98 58.08 29.58 15.68 11.78 15.68 16.38
14.78 13.28 11.68 11.18 12.98 33.88 47.58 29.58 20.08 10.98 16.18 17.28
14.78 11.88 10.78 10.18 12.28 23.38 34.08 103.68 27.18 12.78 18.08 14.08
18.78 16.48 13.98 14.48 18.28 24.28 42.88 37.28 23.08 21.18 19.78 18.68
14.78 12.78 9.38 12.28 11.58 22.78 55.38 72.88 19.18 10.98 17.58 14.98
15.38 10.48 9.88 12.88 14.28 37.18 59.18 52.18 27.18 21.18 28.18 23.18
