"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.7 8.8 8.2 11.2 12.6 35.5 57.5 50.5 25.5 19.5 26.5 21.5
24.5 16.5 14.5 16.5 18.5 35.5 57.5 50.5 25.5 19.5 26.5 21.5
24.5 16.5 14.5 16.5 18.5 35.5 57.5 50.5 25.5 19.5 26.5 11.4
13.1 8.8 12.8 8.5 16.6 35.5 57.5 50.5 25.5 14.5 14 16.1
10.6 7.9 7.2 7.9 14 32.2 73 43.5 32.5 13 17.2 18.9
11.61 11.61 8.21 10.11 9.31 24.01 63.21 31.41 27.91 10.41 15.41 11.91
12.11 8.41 8.21 9.01 11.31 55.91 48.31 38.71 14.91 14.51 15.91 14.71
13.11 11.21 15.61 10.61 8.61 18.11 30.01 76.61 23.01 16.01 18.11 13.81
13.11 12.51 10.01 11.21 13.21 15.91 46.61 46.61 54.31 13.41 14.01 13.31
23.11 11.61 10.01 9.01 14.61 30.71 68.31 32.21 23.01 16.71 14.01 13.81
12.11 13.91 13.71 8.51 10.61 26.31 56.41 27.91 14.01 10.11 14.01 14.71
13.11 11.61 10.01 9.51 11.31 32.21 45.91 27.91 18.41 9.31 14.51 15.61
13.11 10.21 9.11 8.51 10.61 21.71 32.41 102.01 25.51 11.11 16.41 12.41
17.11 14.81 12.31 12.81 16.61 22.61 41.21 35.61 21.41 19.51 18.11 17.01
13.11 11.11 7.71 10.61 9.91 21.11 53.71 71.21 17.51 9.31 15.91 13.31
13.71 8.81 8.21 11.21 12.61 35.51 57.51 50.51 25.51 19.51 26.51 21.51
24.51 16.51 14.51 16.51 18.51 35.51 57.51 50.51 25.51 19.51 26.51 21.51
24.51 16.51 14.51 16.51 18.51 35.51 57.51 50.51 25.51 19.51 26.51 11.41
13.11 8.81 12.81 8.51 16.61 35.51 57.51 50.51 25.51 14.51 14.01 16.11
10.61 7.91 7.21 7.91 14.01 32.21 73.01 43.51 32.51 13.01 17.21 18.91
27.6 7.2 3.7 6.6 11.1 22.8 54.3 29.8 13.6 14.7 21.4 6.6
10.2 12.2 8.4 5.5 15.8 29.4 57.7 45.4 18.2 12.5 11 13.6
9.1 12.2 13.9 11.4 11.8 11.7 57 32.1 16.2 12.1 12.9 8.9
9.6 5.3 12.6 6.6 14.5 42.1 36.3 53.3 21.4 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
8.6 5.3 4.7 5.5 5.1 32 54 47 29.9 15.1 22.8 10.8
9.1 4.9 5.2 5 8.5 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
21 13 11 13 15 32 54 47 22 16 23 18
7.58 0.68 2.58 4.18 4.48 47.18 70.18 47.78 32.18 11.88 27.28 8.68
11.68 9.38 8.18 4.88 29.48 21.78 54.28 51.28 7.78 26.98 14.18 6.68
13.58 1.48 8.48 19.68 9.88 26.58 80.38 73.68 30.48 8.08 8.98 8.28
9.38 11.78 26.28 4.98 15.88 32.38 81.28 54.28 6.48 21.78 8.48 17.48
43.28 7.88 4.28 7.98 15.78 36.28 98.08 63.18 26.58 16.68 20.88 9.48
5.48 3.08 15.78 1.78 3.58 31.18 36.48 37.28 13.08 19.38 12.68 18.18
21.38 14.18 5.38 18.98 18.38 17.48 31.88 58.78 20.48 36.08 12.68 4.78
19.78 3.98 4.28 13.68 8.38 12.98 58.38 53.68 29.68 9.38 28.38 2.08
16.48 4.58 13.18 15.38 16.98 24.48 32.28 19.48 18.88 6.28 8.28 10.38
3.08 1.28 15.68 3.98 11.58 55.98 54.28 54.38 32.28 7.28 9.68 17.58
38.58 7.48 9.78 26.68 10.98 25.78 45.98 33.48 35.28 21.88 5.68 18.28
38.08 27.28 6.98 20.38 24.08 14.28 80.28 46.08 8.68 17.58 4.98 8.48
6.88 5.88 33.78 16.98 15.18 26.78 30.18 42.08 11.48 19.08 27.08 24.58
25.18 20.08 1.38 14.58 11.48 57.18 39.98 45.88 33.08 14.58 7.48 4.58
12.48 18.08 11.58 0.18 8.18 19.28 41.88 80.88 27.18 29.48 3.98 18.38
7.66 0.76 2.66 4.26 4.56 47.26 70.26 47.86 32.26 11.96 27.36 8.76
11.76 9.46 8.26 4.96 29.56 21.86 54.36 51.36 7.86 27.06 14.26 6.76
13.66 1.56 8.56 19.76 9.96 26.66 80.46 73.76 30.56 8.16 9.06 8.36
9.46 11.86 26.36 5.06 15.96 32.46 81.36 54.36 6.56 21.86 8.56 17.56
43.36 7.96 4.36 8.06 15.86 36.36 98.16 63.26 26.66 16.76 20.96 9.56
5.56 3.16 15.86 1.86 3.66 31.26 36.56 37.36 13.16 19.46 12.76 18.26
21.46 14.26 5.46 19.06 18.46 17.56 31.96 58.86 20.56 36.16 12.76 4.86
19.86 4.06 4.36 13.76 8.46 13.06 58.46 53.76 29.76 9.46 28.46 2.16
16.56 4.66 13.26 15.46 17.06 24.56 32.36 19.56 18.96 6.36 8.36 10.46
3.16 1.36 15.76 4.06 11.66 56.06 54.36 54.46 32.36 7.36 9.76 17.66
38.66 7.56 9.86 26.76 11.06 25.86 46.06 33.56 35.36 21.96 5.76 18.36
38.16 27.36 7.06 20.46 24.16 14.36 80.36 46.16 8.76 17.66 5.06 8.56
6.96 5.96 33.86 17.06 15.26 26.86 30.26 42.16 11.56 19.16 27.16 24.66
25.26 20.16 1.46 14.66 11.56 57.26 40.06 45.96 33.16 14.66 7.56 4.66
12.56 18.16 11.66 0.26 8.26 19.36 41.96 80.96 27.26 29.56 4.06 18.46
20.71 12.71 10.71 12.71 14.71 31.71 53.71 46.71 21.71 15.71 22.71 17.71
20.71 12.71 10.71 12.71 14.71 31.71 53.71 46.71 21.71 15.71 22.71 17.71
20.71 12.71 10.71 12.71 14.71 31.71 53.71 46.71 21.71 15.71 22.71 17.71
8.81 7.81 9.91 4.71 10.21 47.61 39.41 27.81 30.01 9.61 17.51 16.01
18.41 8.71 13.61 13.51 8.31 13.51 53.71 46.71 21.71 15.71 22.71 17.71
20.71 12.71 10.71 12.71 14.71 31.71 53.71 46.71 21.71 15.71 22.71 17.71
20.71 12.71 10.71 12.71 14.71 31.71 79.21 30.71 11.51 7.71 15.41 16.51
7.71 18.51 10.11 13.91 7.51 30.51 53.71 46.71 12.61 8.41 10.71 12.31
8.11 14.41 3.51 11.11 10.31 38.21 81.71 33.91 15.51 19.61 13.91 13.11
11.71 7.01 5.01 10.11 20.61 24.41 61.11 53.61 21.71 15.91 18.81 15.71
12.61 17.21 11.71 7.51 11.51 35.11 53.71 46.71 21.71 15.71 22.71 17.71
20.71 12.71 10.71 12.71 14.71 31.71 53.71 46.71 21.71 16.71 23.31 16.51
15.91 6.71 9.61 6.41 8.51 26.81 61.71 67.61 36.91 11.21 16.31 12.21
10.41 9.51 8.41 7.01 8.51 32.41 78.61 31.81 25.51 22.21 12.41 18.31
6.41 2.41 2.21 18.81 19.71 24.81 71.81 34.31 29.81 10.91 24.61 11.11
11.4 1.6 4.9 12.8 8.3 23 47.8 70.2 15.1 17.4 23.9 3.9
36.6 32.9 19.3 13.5 31.6 43.1 84.6 35 29.2 13.8 11.2 22.3
39.1 8.6 9.4 18.1 14.1 29.1 59.3 34.4 4.1 13 25.7 18.2
12 1.9 4.2 6.1 28.6 17 54.1 43.5 12.3 8.6 9.5 20.9
10.5 1.8 9.9 12.9 11.2 28.6 49.1 40.4 36.8 9.9 50.6 9.7
49.3 22.5 15.5 7.9 0.5 29.5 43.6 48.1 15.2 12.6 62.2 5.9
21.5 5.7 31.3 13.8 27.2 49.8 49.3 26.7 11.4 22.2 11 31.1
33.5 12.1 13.4 1.2 21.1 30.5 62.2 50.9 8.2 22.1 7.6 25
43.9 5.4 4.1 8.6 11.5 22.1 29.5 22.4 29.7 15.1 6.3 17.1
6.5 12.2 7.9 6.7 19.2 18.9 38.6 65.1 9.9 13.7 39.8 14.3
35.3 6.4 9.6 8.1 5.4 13 21 22.1 20.4 19.9 33.7 29.7
22.6 15.8 3.7 13.2 15.9 26.8 58.2 55.1 24.2 25.1 16.1 30.7
11.8 12.6 0.1 15.7 5 12.1 48.1 51.6 30.8 22.2 51.4 11.7
9.4 4.9 7.2 0.4 7 21.2 30.1 39.5 30.1 6.2 17.5 0
14.1 10.7 15.5 14.5 12.9 45.2 37.4 37.6 28.9 12 35.1 5.8
7.67 0.77 2.67 4.27 4.57 47.27 70.27 47.87 32.27 11.97 27.37 8.77
11.77 9.47 8.27 4.97 29.57 21.87 54.37 51.37 7.87 27.07 14.27 6.77
13.67 1.57 8.57 19.77 9.97 26.67 80.47 73.77 30.57 8.17 9.07 8.37
9.47 11.87 26.37 5.07 15.97 32.47 81.37 54.37 6.57 21.87 8.57 17.57
