"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.68 -29.58 -28.68 -15.98 -5.48 9.22 12.72 10.12 3.72 -8.98 -21.08 -26.08
-25.38 -26.58 -23.88 -15.58 -1.88 9.22 12.72 10.12 3.72 -8.98 -21.08 -31.28
-32.38 -26.58 -18.08 -14.48 -1.98 8.12 12.62 10.12 3.72 -8.98 -21.08 -26.08
-25.38 -26.58 -23.88 -15.58 -1.88 9.22 12.72 10.12 3.72 -8.98 -21.08 -26.08
-33.68 -30.68 -26.38 -16.98 -1.48 8.82 12.12 10.72 3.22 -8.38 -22.68 -30.08
-24.95 -28.15 -30.75 -17.15 0.15 8.25 12.35 7.55 1.75 -9.25 -21.15 -29.55
-23.15 -21.85 -19.45 -12.25 -2.75 7.95 11.75 9.15 0.05 -11.05 -20.45 -25.05
-21.05 -24.85 -26.65 -15.15 -5.05 6.75 11.45 6.85 2.15 -12.45 -20.65 -24.35
-35.55 -31.95 -27.35 -17.55 -3.65 10.95 11.45 9.15 1.15 -10.25 -22.15 -23.85
-28.45 -31.55 -24.55 -16.35 -4.65 6.95 9.35 7.65 -0.75 -13.55 -19.45 -30.75
-27.25 -29.45 -24.65 -19.15 -3.65 8.75 11.25 8.85 2.95 -12.65 -16.45 -25.35
-28.85 -28.95 -18.35 -16.85 1.65 9.55 11.85 7.55 3.25 -7.65 -24.45 -23.75
-21.85 -27.85 -22.45 -18.65 -2.95 8.25 12.15 10.75 3.05 -11.45 -22.15 -30.65
-18.25 -30.05 -27.35 -15.55 -0.75 8.45 12.55 9.75 4.65 -11.05 -28.35 -27.25
-26.45 -25.75 -24.85 -17.15 -0.55 10.55 9.85 8.05 4.95 -10.75 -21.55 -25.65
-25.05 -30.65 -26.05 -16.15 -3.95 7.45 12.55 9.55 3.05 -10.35 -21.85 -27.55
-27.05 -22.55 -25.55 -16.55 -2.75 6.15 12.55 9.85 3.75 -9.85 -25.65 -23.75
-31.45 -27.35 -29.25 -15.45 -5.25 8.55 12.05 8.25 2.15 -9.75 -18.45 -27.65
-28.75 -29.55 -22.65 -17.85 -3.55 8.75 13.05 11.25 4.45 -4.85 -21.15 -33.35
-31.75 -25.05 -24.25 -17.25 -3.95 6.95 11.45 10.65 2.35 -10.25 -21.05 -31.15
-25.95 -32.95 -26.35 -21.55 -4.65 7.75 11.65 9.55 3.65 -12.75 -24.25 -30.75
-24.35 -30.55 -31.35 -15.35 -3.45 8.65 12.35 11.25 4.75 -10.55 -23.85 -24.95
-21.05 -30.75 -22.75 -16.05 -2.35 7.15 11.65 9.85 2.35 -8.55 -18.95 -30.85
-21.65 -21.75 -24.25 -18.75 -3.45 8.05 11.25 8.15 1.85 -10.05 -24.45 -29.15
-24.25 -25.65 -23.45 -18.45 -3.15 8.15 10.85 9.45 3.65 -11.35 -27.75 -25.15
-26.95 -27.05 -22.45 -13.45 -0.95 9.35 11.25 9.05 2.75 -7.35 -21.15 -28.75
-26.35 -21.15 -22.45 -17.25 -6.55 6.35 10.75 9.15 2.85 -8.25 -25.65 -25.55
-26.25 -27.95 -23.55 -17.25 -2.75 7.35 12.45 9.45 2.55 -12.95 -26.85 -18.75
-26.15 -35.15 -24.35 -16.95 -2.25 9.25 11.25 8.85 3.95 -5.55 -18.35 -28.15
-25.15 -23.95 -30.45 -19.85 -5.65 6.85 12.85 8.35 1.35 -12.45 -15.35 -22.85
-30.35 -23.25 -25.95 -13.65 -1.55 8.75 10.65 7.55 1.05 -10.75 -16.65 -24.55
-26.65 -32.75 -22.95 -17.55 -2.55 7.15 12.25 9.95 1.05 -8.45 -25.15 -32.95
-23.55 -27.35 -27.45 -15.45 -3.45 8.15 12.75 8.05 3.15 -7.95 -24.75 -27.95
-34.75 -18.75 -22.15 -16.65 -2.95 9.65 11.55 9.35 4.75 -8.15 -24.45 -25.25
-28.85 -35.25 -22.25 -10.95 -0.05 9.65 11.85 10.45 2.55 -9.75 -20.15 -27.75
-26.17 -33.17 -26.57 -21.77 -4.87 7.53 11.43 9.33 3.43 -12.97 -24.47 -30.97
-24.57 -30.77 -31.57 -15.57 -3.67 8.43 12.13 11.03 4.53 -10.77 -24.07 -25.17
-21.27 -30.97 -22.97 -16.27 -2.57 6.93 11.43 9.63 2.13 -8.77 -19.17 -31.07
-21.87 -21.97 -24.47 -18.97 -3.67 7.83 11.03 7.93 1.63 -10.27 -24.67 -29.37
-24.47 -25.87 -23.67 -18.67 -3.37 7.93 10.63 9.23 3.43 -11.57 -27.97 -25.37
-27.17 -27.27 -22.67 -13.67 -1.17 9.13 11.03 8.83 2.53 -7.57 -21.37 -28.97
-26.57 -21.37 -22.67 -17.47 -6.77 6.13 10.53 8.93 2.63 -8.47 -25.87 -25.77
-26.47 -28.17 -23.77 -17.47 -2.97 7.13 12.23 9.23 2.33 -13.17 -27.07 -18.97
-26.37 -35.37 -24.57 -17.17 -2.47 9.03 11.03 8.63 3.73 -5.77 -18.57 -28.37
-25.37 -24.17 -30.67 -20.07 -5.87 6.63 12.63 8.13 1.13 -12.67 -15.57 -23.07
-30.57 -23.47 -26.17 -13.87 -1.77 8.53 10.43 7.33 0.83 -10.97 -16.87 -24.77
-26.87 -32.97 -23.17 -17.77 -2.77 6.93 12.03 9.73 0.83 -8.67 -25.37 -33.17
-23.77 -27.57 -27.67 -15.67 -3.67 7.93 12.53 7.83 2.93 -8.17 -24.97 -28.17
-34.97 -18.97 -22.37 -16.87 -3.17 9.43 11.33 9.13 4.53 -8.37 -24.67 -25.47
-29.07 -35.47 -22.47 -11.17 -0.27 9.43 11.63 10.23 2.33 -9.97 -20.37 -27.97
-24.95 -25.85 -27.75 -19.85 -8.25 6.25 11.75 8.75 2.35 -9.25 -27.85 -35.85
-35.55 -18.45 -20.25 -13.35 0.15 7.95 10.55 8.25 1.85 -9.65 -22.95 -26.65
-35.35 -24.75 -21.35 -17.55 -2.85 8.15 11.25 10.55 1.95 -9.65 -25.35 -31.35
-36.05 -33.15 -21.75 -20.35 -4.35 6.95 11.95 8.25 2.75 -9.55 -21.65 -26.65
-33.95 -32.95 -28.55 -16.15 -2.45 8.65 12.15 9.55 3.15 -9.55 -21.65 -26.65
-25.95 -27.15 -24.45 -16.15 -2.45 8.65 12.15 9.55 3.15 -9.55 -21.65 -26.65
-25.85 -26.65 -24.45 -16.05 -3.15 8.65 12.15 9.55 3.15 -9.55 -21.65 -26.65
-25.95 -27.15 -24.45 -16.15 -2.45 8.65 12.15 9.55 3.15 -9.55 -21.95 -27.35
-26.85 -27.05 -24.75 -17.25 -2.45 8.55 12.15 9.55 3.15 -9.55 -21.65 -26.65
-25.95 -27.15 -24.45 -16.15 -2.45 8.65 12.15 9.55 3.15 -9.55 -21.65 -26.65
-25.95 -27.15 -21.35 -13.95 -3.95 9.65 12.15 10.05 5.95 -7.25 -18.45 -29.35
-27.95 -28.05 -27.75 -17.05 -3.95 9.45 13.15 11.15 3.45 -9.95 -15.55 -21.45
-27.75 -25.85 -26.15 -14.65 -3.55 8.25 11.85 9.25 2.85 -9.35 -25.35 -28.25
-23.55 -22.75 -26.95 -16.15 -3.25 7.75 11.15 9.05 2.35 -12.05 -24.85 -26.55
-17.35 -30.55 -27.45 -14.85 -4.05 8.55 11.95 9.75 2.65 -8.15 -22.05 -29.15
-24.92 -25.82 -27.72 -19.82 -8.22 6.28 11.78 8.78 2.38 -9.22 -27.82 -35.82
-35.52 -18.42 -20.22 -13.32 0.18 7.98 10.58 8.28 1.88 -9.62 -22.92 -26.62
