"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-27.95 -30.85 -29.95 -17.25 -6.75 7.95 11.45 8.85 2.45 -10.25 -22.35 -27.35
-26.65 -27.85 -25.15 -16.85 -3.15 7.95 11.45 8.85 2.45 -10.25 -22.35 -32.55
-33.65 -27.85 -19.35 -15.75 -3.25 6.85 11.35 8.85 2.45 -10.25 -22.35 -27.35
-26.65 -27.85 -25.15 -16.85 -3.15 7.95 11.45 8.85 2.45 -10.25 -22.35 -27.35
-34.95 -31.95 -27.65 -18.25 -2.75 7.55 10.85 9.45 1.95 -9.65 -23.95 -31.35
-26.19 -29.39 -31.99 -18.39 -1.09 7.01 11.11 6.31 0.51 -10.49 -22.39 -30.79
-24.39 -23.09 -20.69 -13.49 -3.99 6.71 10.51 7.91 -1.19 -12.29 -21.69 -26.29
-22.29 -26.09 -27.89 -16.39 -6.29 5.51 10.21 5.61 0.91 -13.69 -21.89 -25.59
-36.79 -33.19 -28.59 -18.79 -4.89 9.71 10.21 7.91 -0.09 -11.49 -23.39 -25.09
-29.69 -32.79 -25.79 -17.59 -5.89 5.71 8.11 6.41 -1.99 -14.79 -20.69 -31.99
-28.49 -30.69 -25.89 -20.39 -4.89 7.51 10.01 7.61 1.71 -13.89 -17.69 -26.59
-30.09 -30.19 -19.59 -18.09 0.41 8.31 10.61 6.31 2.01 -8.89 -25.69 -24.99
-23.09 -29.09 -23.69 -19.89 -4.19 7.01 10.91 9.51 1.81 -12.69 -23.39 -31.89
-19.49 -31.29 -28.59 -16.79 -1.99 7.21 11.31 8.51 3.41 -12.29 -29.59 -28.49
-27.69 -26.99 -26.09 -18.39 -1.79 9.31 8.61 6.81 3.71 -11.99 -22.79 -26.89
-26.29 -31.89 -27.29 -17.39 -5.19 6.21 11.31 8.31 1.81 -11.59 -23.09 -28.79
-28.29 -23.79 -26.79 -17.79 -3.99 4.91 11.31 8.61 2.51 -11.09 -26.89 -24.99
-32.69 -28.59 -30.49 -16.69 -6.49 7.31 10.81 7.01 0.91 -10.99 -19.69 -28.89
