"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.31 -37.31 -30.71 -25.91 -9.01 3.39 7.29 5.19 -0.71 -17.11 -28.61 -35.11
-28.71 -34.91 -35.71 -19.71 -7.81 4.29 7.99 6.89 0.39 -14.91 -28.21 -29.31
-25.41 -35.11 -27.11 -20.41 -6.71 2.79 7.29 5.49 -2.01 -12.91 -23.31 -35.21
-26.01 -26.11 -28.61 -23.11 -7.81 3.69 6.89 3.79 -2.51 -14.41 -28.81 -33.51
-28.61 -30.01 -27.81 -22.81 -7.51 3.79 6.49 5.09 -0.71 -15.71 -32.11 -29.51
-31.31 -31.41 -26.81 -17.81 -5.31 4.99 6.89 4.69 -1.61 -11.71 -25.51 -33.11
-30.71 -25.51 -26.81 -21.61 -10.91 1.99 6.39 4.79 -1.51 -12.61 -30.01 -29.91
-30.61 -32.31 -27.91 -21.61 -7.11 2.99 8.09 5.09 -1.81 -17.31 -31.21 -23.11
-30.51 -39.51 -28.71 -21.31 -6.61 4.89 6.89 4.49 -0.41 -9.91 -22.71 -32.51
-29.51 -28.31 -34.81 -24.21 -10.01 2.49 8.49 3.99 -3.01 -16.81 -19.71 -27.21
-34.71 -27.61 -30.31 -18.01 -5.91 4.39 6.29 3.19 -3.31 -15.11 -21.01 -28.91
-31.01 -37.11 -27.31 -21.91 -6.91 2.79 7.89 5.59 -3.31 -12.81 -29.51 -37.31
-27.91 -31.71 -31.81 -19.81 -7.81 3.79 8.39 3.69 -1.21 -12.31 -29.11 -32.31
-39.11 -23.11 -26.51 -21.01 -7.31 5.29 7.19 4.99 0.39 -12.51 -28.81 -29.61
-33.21 -39.61 -26.61 -15.31 -4.41 5.29 7.49 6.09 -1.81 -14.11 -24.51 -32.11
-36.3 -37.2 -26.4 -21.1 -9.4 1.8 6.2 3.9 -3.5 -16.7 -28.7 -32.3
-35.8 -32.5 -26 -19.8 -10.1 2.5 7.2 3.8 -3.5 -14.6 -27.3 -32.5
-37.5 -32.4 -27.4 -21 -7.9 1.9 6.9 3.6 -3.4 -13.4 -28 -27.3
-35 -30.1 -30 -22.6 -8.3 3.2 6.9 4.3 -1.4 -13.6 -24 -27.6
-33 -33.2 -26.3 -20.8 -9.7 3 7.1 4.3 -1.1 -14.4 -25.5 -29.8
-35.3 -32.3 -32.7 -18.3 -8.9 4 7.6 4.9 -3.3 -14.1 -26.1 -35.3
-31.3 -29.2 -28.5 -22.3 -10.4 3.1 7.3 5.5 -0.7 -11.2 -22.6 -21.8
-29.5 -25.7 -30.5 -17.7 -10.8 3.1 7.6 3.6 -3.1 -15.6 -26.3 -31.2
-40.2 -31.7 -30 -20.7 -7.1 4.6 6.3 4.1 -0.2 -12.4 -24.7 -32.4
-28.8 -32.8 -28.2 -16.3 -4.7 4.7 7.1 4.7 -2.9 -13.5 -22.8 -31.4
-32 -30.7 -29.9 -21.2 -8.9 3.6 7.7 5.3 -1.3 -12 -27 -32.7
-27.6 -31.1 -31.6 -21 -9.9 2.5 6.4 3.3 -1.9 -15.1 -26.5 -31.1
-29.5 -33.3 -26 -18.6 -4.5 5.1 7 3.8 -1.7 -13.4 -23.6 -32.8
-33.9 -34.3 -29.2 -24.6 -6.2 3.5 6.8 5.7 -0.2 -11.4 -23.3 -30.2
-34 -34.6 -33 -15.3 -6.6 2.6 7 4.6 -1.9 -15.1 -23.8 -30.9
-39.82 -33.42 -34.02 -15.82 -7.42 4.78 8.08 4.68 -0.82 -11.72 -22.52 -24.92
-35.22 -39.42 -30.92 -20.72 -7.52 3.58 9.08 4.28 -2.92 -16.82 -24.62 -32.32
-41.52 -36.22 -27.52 -20.62 -9.02 2.08 7.58 4.88 -0.12 -9.92 -21.82 -32.72
-37.42 -21.92 -21.62 -21.82 -7.62 1.68 8.28 3.88 -1.92 -14.12 -24.42 -30.52
-29.52 -31.62 -25.62 -18.82 -12.12 2.58 6.08 4.58 -1.32 -13.12 -30.22 -34.22
-37.52 -35.02 -26.52 -18.12 -11.92 2.28 4.58 5.48 0.58 -11.72 -25.52 -23.42
-30.02 -35.42 -29.32 -22.82 -6.32 3.28 6.88 4.28 -2.22 -12.72 -29.72 -37.52
-36.72 -27.22 -29.12 -28.02 -8.82 4.18 8.58 4.68 -1.12 -11.22 -28.62 -28.42
