"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.34 13.34 8.34 10.34 14.34 29.34 47.34 40.34 22.34 19.34 20.34 16.34
18.34 13.34 8.34 10.34 14.34 29.34 47.34 40.34 22.34 19.34 20.34 16.34
18.34 13.34 8.34 10.34 14.34 29.34 47.34 40.34 22.34 19.34 20.34 16.34
18.34 13.34 8.34 10.34 14.34 29.34 47.34 40.34 22.34 19.34 20.34 16.34
18.34 13.34 8.34 10.34 14.34 29.34 47.34 40.34 22.34 19.34 20.34 16.34
15.23 5.53 6.33 13.43 11.73 23.33 42.13 62.03 12.23 21.93 33.43 7.83
28.83 25.43 11.33 12.33 24.03 51.13 48.73 38.13 26.23 21.63 25.63 16.23
32.73 13.23 9.33 21.43 7.73 21.43 64.93 37.23 12.53 20.53 15.13 24.93
14.93 11.23 2.63 7.93 25.13 16.63 66.03 38.93 12.33 23.13 18.23 22.83
14.33 4.33 7.63 14.43 13.23 17.43 25.13 29.03 12.93 16.73 40.43 13.43
33.83 24.53 12.93 6.83 6.83 40.83 46.13 31.63 23.13 16.73 44.03 12.73
19.53 8.83 16.53 18.93 30.43 28.03 54.33 24.73 15.13 24.43 9.83 29.73
27.93 16.03 11.13 5.93 18.63 38.23 70.63 45.03 12.43 22.83 8.43 15.63
36.93 9.33 3.63 7.93 8.63 14.73 22.93 18.23 23.93 18.23 9.73 16.43
7.83 10.33 7.63 6.13 20.73 21.23 30.53 49.03 11.53 17.53 26.83 10.23
22.83 7.83 6.43 3.13 9.23 21.33 21.63 19.93 21.33 19.43 24.63 20.03
18.03 14.83 2.93 7.53 17.13 24.23 34.93 53.63 25.13 19.73 14.03 23.93
14.53 11.03 2.43 7.83 3.43 6.13 51.83 46.33 19.23 30.23 38.63 14.33
6.73 9.73 6.23 3.03 6.53 27.33 41.13 21.43 28.43 10.93 19.63 3.33
14.73 13.13 9.63 9.53 8.43 31.43 41.93 46.53 23.13 19.73 28.63 9.43
20.6 10.6 7.1 8.9 7.4 37.9 43.4 26.6 19.5 11.5 11.3 9.3
18 11 3.8 10.4 14.6 39.2 31.1 57 59.4 17.8 12.6 17.9
19.1 8.3 3.6 9.8 13.2 31.6 71.6 42.9 10.5 10.7 12 15.3
17.9 20.3 7.8 6.5 12 28.4 57.8 35.5 28 13.1 22.6 16.7
11.8 19.2 8.3 3.7 6.1 46.6 64.3 22.9 7 22.4 11.5 7.6
15.4 9 8.5 12.2 13.2 34 65 25.5 17.8 13.6 15 16.9
23.3 18.2 11.6 16.8 14.2 7.6 11.3 26.8 12.3 20.4 16.3 22.3
10.6 6.1 4.2 9.6 11.7 8.9 37.4 34.3 20.2 12.5 10.8 32.1
13.8 3 5.3 5.1 16 27.8 79.5 49.1 47.2 23.5 20.2 16.3
14.2 14.9 6.5 9.2 10.1 27.2 44 48.4 18.9 13.4 29 18.1
7 13.5 11.1 5.7 19.6 32.8 56.6 35.5 25.2 21.7 14.6 12.8
12.8 4.2 10 8.3 18.1 56 17 39.2 16.2 23.1 11.9 15.1
18.7 12.9 2.7 7.4 4.1 19 47.2 56.5 19.7 13 6.9 7.9
10.8 30.8 11.3 19.3 15.2 22.3 45.9 69.5 20.2 17.1 10.8 7.2
