"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-32.73 -33.33 -30.33 -17.33 -6.13 7.67 10.77 8.07 1.47 -11.53 -25.43 -31.13
-31.53 -30.73 -26.33 -17.03 -3.13 7.67 10.77 8.07 1.47 -11.53 -25.43 -33.63
-34.93 -30.73 -23.53 -16.53 -3.23 7.07 10.77 8.07 1.47 -11.53 -25.43 -31.13
-31.53 -30.73 -26.33 -17.03 -3.13 7.67 10.77 8.07 1.47 -11.53 -25.43 -31.13
-38.63 -34.23 -28.43 -18.23 -2.83 7.37 10.27 8.37 0.97 -11.13 -26.83 -34.63
-31.67 -31.27 -31.87 -19.37 -2.27 7.23 10.53 5.73 -0.27 -11.77 -24.77 -32.97
-30.67 -28.57 -22.57 -13.27 -3.57 5.73 9.33 7.03 -2.47 -13.67 -24.67 -31.07
-27.07 -29.17 -28.57 -17.77 -6.67 4.43 9.23 5.43 0.33 -14.77 -24.37 -29.27
-41.27 -32.77 -29.17 -19.27 -4.57 9.83 8.73 6.83 -2.07 -13.37 -26.97 -29.27
-34.97 -34.57 -26.97 -18.57 -5.67 6.73 8.23 5.73 -2.47 -14.37 -24.67 -36.47
-35.27 -34.97 -26.87 -20.17 -3.97 7.33 9.23 7.33 1.03 -14.37 -22.47 -29.57
-36.77 -33.97 -23.27 -19.37 0.13 7.73 9.03 5.53 1.33 -10.07 -28.07 -31.37
-28.47 -29.37 -24.67 -18.27 -4.07 6.73 9.73 8.93 1.43 -13.87 -27.77 -36.47
-24.37 -33.77 -30.37 -17.47 -2.97 7.73 11.03 8.83 2.23 -13.67 -30.87 -31.57
-31.07 -30.37 -27.17 -18.67 -2.07 9.73 8.63 5.83 3.03 -13.47 -27.47 -30.97
-32.57 -32.97 -28.17 -17.07 -4.07 6.13 11.53 8.23 1.03 -12.47 -26.77 -32.67
-34.77 -27.47 -26.97 -17.17 -3.17 4.33 10.73 7.13 0.93 -10.87 -30.17 -29.47
-38.97 -31.67 -30.87 -16.67 -4.77 8.33 11.13 6.43 0.43 -12.47 -23.87 -31.27
-34.17 -34.07 -25.27 -18.47 -4.47 7.93 11.53 8.93 1.73 -8.07 -25.77 -37.57
