"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.2 -35.5 -28.7 -20.3 -5.5 6.8 10.8 8.5 2.5 -14.7 -27.3 -34.2
-28 -33.8 -32.2 -15 -3.6 8.6 12.1 9.2 2.2 -13.6 -28.4 -30.8
-28.6 -34.1 -25.4 -17.6 -3.6 6.2 10.2 8.3 0.2 -11.2 -22.8 -34.9
-28.6 -27.2 -27.2 -20.8 -2.7 6.3 9.2 6.5 -0.5 -13.4 -27.5 -33.2
-28.1 -29.1 -26 -20 -3.9 7.6 9.6 9 2.8 -12.6 -30.7 -27.1
-30.5 -30.7 -25 -14.6 -1.5 8.9 10.4 8.5 1.8 -8.8 -23.7 -33.1
-34.2 -27.2 -26 -17.3 -6.7 5.5 10.8 8.2 2.1 -10 -30.3 -31.3
-31 -30.5 -25.5 -19.1 -2.9 7 11.8 9 2.2 -14.9 -29.8 -25.9
-30.5 -38.4 -26.1 -16.6 -2 7.6 9.5 7.4 1.1 -8.3 -21.6 -34.1
-30 -26.1 -29.8 -19.2 -6.7 6.2 11.8 6.5 0.5 -13.2 -19.4 -26.5
-34.8 -27.8 -27.7 -14.4 -2.8 8.4 9.1 6.5 -0.2 -12.1 -21 -29.7
-31.5 -35.8 -25.3 -19.2 -4.1 6.6 12.3 8.6 0 -11.3 -28.6 -37.3
-30.3 -30.2 -27.8 -15.7 -4 7.8 12.7 6.9 2.4 -9.3 -26.3 -31.3
-38.4 -24.2 -23.8 -18.5 -3.2 9.7 10.5 8.2 3.5 -11.1 -27.9 -28.8
-33.3 -37.4 -22.1 -11.7 -0.1 8.6 10.9 9.1 0.6 -11.3 -24 -33.6
-34.84 -34.04 -25.44 -18.24 -4.64 6.76 10.36 7.56 0.46 -12.24 -26.74 -32.34
-34.54 -31.44 -25.74 -17.34 -4.94 6.76 10.26 7.46 0.56 -12.04 -26.24 -32.94
-34.74 -32.04 -26.34 -17.94 -3.84 6.66 10.36 7.36 0.26 -10.54 -26.94 -28.14
-34.44 -29.74 -28.04 -19.24 -3.84 7.26 10.66 7.46 1.36 -10.94 -23.14 -29.44
-35.14 -33.84 -25.64 -17.24 -4.94 6.76 11.06 7.66 1.76 -11.64 -24.24 -29.04
-36.94 -31.44 -30.64 -16.14 -5.24 7.96 11.16 8.26 -0.14 -11.84 -25.34 -35.64
-33.84 -28.24 -26.24 -19.04 -6.34 6.76 10.46 8.86 2.36 -9.14 -21.54 -23.64
-31.44 -26.64 -28.44 -14.84 -6.84 6.96 11.26 6.76 0.36 -12.84 -24.04 -30.64
-41.14 -31.14 -27.14 -18.24 -3.04 8.36 9.26 7.36 2.76 -9.84 -23.94 -32.34
-28.74 -31.64 -24.94 -13.54 -1.44 8.26 10.86 7.66 -0.54 -11.34 -22.94 -31.84
-32.64 -30.84 -27.94 -17.74 -5.34 6.66 11.46 8.26 1.46 -9.84 -28.04 -32.34
-28.44 -30.24 -30.44 -18.24 -6.14 6.26 10.06 6.46 0.96 -12.64 -24.84 -29.84
-30.54 -32.04 -23.44 -14.84 -0.94 8.46 9.86 6.66 1.06 -10.84 -23.44 -33.04
-34.54 -33.84 -26.44 -20.84 -1.64 7.36 9.76 9.26 3.16 -9.74 -22.74 -29.94
-35.94 -33.14 -29.74 -13.14 -2.14 5.86 10.36 8.56 0.26 -11.44 -22.64 -29.64
-39.79 -32.69 -30.29 -12.89 -3.29 8.51 11.31 7.81 1.81 -9.69 -22.79 -25.79
-35.59 -37.29 -27.69 -17.19 -3.59 7.61 12.11 7.51 0.11 -14.29 -24.49 -32.59
-41.19 -34.69 -25.49 -17.29 -4.69 6.01 11.01 8.11 2.41 -8.29 -21.99 -32.79
-37.49 -23.19 -20.59 -18.19 -3.79 6.01 11.61 7.31 1.11 -11.89 -24.19 -30.89
-31.29 -30.89 -23.69 -15.49 -7.59 6.71 9.41 7.81 1.61 -10.99 -29.09 -33.99
-37.59 -33.59 -24.39 -14.79 -7.19 6.51 8.61 8.61 3.11 -9.69 -25.19 -25.19
-31.59 -33.79 -26.89 -18.89 -2.69 7.31 10.41 7.41 0.81 -10.39 -28.39 -36.69
-36.89 -27.49 -26.69 -22.79 -4.49 8.01 11.81 7.81 1.91 -9.09 -27.69 -28.99
-28.19 -28.79 -30.59 -14.09 -5.19 6.11 11.11 9.01 2.41 -10.09 -22.09 -33.79
-41.39 -28.79 -29.29 -18.19 -5.29 5.91 11.11 8.41 3.91 -10.69 -26.49 -29.79
-32.49 -32.79 -29.69 -16.89 -5.49 8.41 11.51 8.71 2.01 -11.09 -25.09 -30.89
-31.29 -30.39 -25.99 -16.59 -2.59 8.41 11.51 8.71 2.01 -11.09 -25.09 -33.29
-34.49 -30.39 -23.29 -16.09 -2.69 7.91 11.51 8.71 2.01 -11.09 -25.09 -30.89
-31.29 -30.39 -25.89 -16.59 -2.59 8.41 11.51 8.71 2.01 -11.09 -25.09 -30.89
-38.09 -33.69 -27.89 -17.69 -2.29 8.11 11.01 9.01 1.51 -10.69 -26.49 -34.29
