"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
20 14 9 10 13 28 48 42 25 21 21 18
20 14 9 10 13 28 48 42 25 21 21 18
20 14 9 10 13 28 48 42 25 21 21 18
20 14 9 10 13 28 48 42 25 21 21 18
20 14 9 10 13 28 48 42 25 21 21 18
16.88 6.28 6.78 13.18 10.68 24.78 42.78 63.58 14.58 23.88 32.48 8.58
31.28 25.38 11.58 11.68 23.38 46.58 51.58 31.98 29.28 23.18 26.88 17.68
34.38 13.88 10.58 20.68 7.68 18.68 70.98 40.18 13.08 21.18 15.28 28.68
15.98 11.78 3.48 8.28 24.38 16.08 61.58 41.58 12.28 24.88 18.58 26.08
14.78 5.28 8.48 13.78 12.48 17.28 28.48 29.08 13.98 17.78 37.18 16.18
36.98 23.98 13.28 6.98 4.68 36.68 48.28 31.38 27.28 18.78 45.78 13.48
21.48 9.18 17.58 14.58 27.08 26.98 55.68 28.48 17.58 26.28 10.48 27.48
30.98 15.18 12.08 6.38 14.88 36.28 77.58 43.98 14.68 24.08 9.28 14.88
39.58 10.88 4.38 8.08 8.98 14.98 25.58 20.18 28.68 19.28 12.18 16.48
9.98 12.28 9.18 6.58 15.28 19.88 34.28 50.78 13.78 21.78 29.28 12.18
26.58 8.08 7.08 4.08 9.48 20.78 21.28 21.78 24.08 20.48 25.58 23.38
20.68 15.78 3.68 7.68 17.08 25.08 34.38 59.58 31.38 21.68 14.18 29.78
16.58 14.38 3.28 8.98 2.98 5.98 37.18 44.48 19.58 32.38 41.08 16.98
7.58 11.08 8.18 3.88 6.48 25.28 38.18 23.88 33.78 12.88 19.88 4.38
16.98 13.68 10.08 8.78 8.38 32.68 45.98 46.48 26.48 21.08 27.88 10.48
22 11.5 7.5 8 7.2 33.8 42.8 28.6 22.4 12.7 12.4 10.2
19.1 11 4.3 10.4 12.6 39.8 33 55.6 64.6 18.5 13.2 19.2
19.9 8.6 4.2 9.8 12.5 31.4 75.7 45.2 13.7 12.9 12.9 19.3
18.9 20.7 8.2 6.4 10.6 27.4 55.1 34.2 30.6 14.7 22.9 19.1
13.2 20.5 9 4.3 7.3 44.3 69.1 24.9 7.8 24.4 12 9.1
16.7 10.4 9.5 12 12.3 32.3 64.4 25.9 20.5 15.2 17.6 18.6
