"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
19.73 9.23 5.23 5.73 4.93 31.53 40.53 26.33 20.13 10.43 10.13 7.93
16.83 8.73 2.03 8.13 10.33 37.53 30.73 53.33 62.33 16.23 10.93 16.93
17.63 6.33 1.93 7.53 10.23 29.13 73.43 42.93 11.43 10.63 10.63 17.03
16.63 18.43 5.93 4.13 8.33 25.13 52.83 31.93 28.33 12.43 20.63 16.83
10.93 18.23 6.73 2.03 5.03 42.03 66.83 22.63 5.53 22.13 9.73 6.83
14.43 8.13 7.23 9.73 10.03 30.03 62.13 23.63 18.23 12.93 15.33 16.33
23.33 16.63 10.73 12.33 9.73 5.63 11.53 31.03 11.33 19.63 13.13 24.43
9.73 4.73 2.73 6.53 8.73 6.83 36.93 35.93 18.83 12.23 8.93 32.63
12.33 1.43 4.53 2.63 11.23 24.13 70.33 46.93 53.53 24.43 18.83 16.63
13.63 11.83 4.13 7.13 7.23 21.93 42.63 53.13 17.43 12.33 27.23 19.43
5.73 12.63 9.93 3.83 12.73 29.63 56.83 40.43 24.83 22.93 14.13 11.03
11.63 2.83 7.73 6.63 16.23 48.13 16.63 37.13 16.23 21.93 10.73 13.43
19.03 10.03 1.13 4.73 2.63 18.03 43.53 56.63 18.53 11.63 5.53 7.23
9.43 30.03 10.13 15.23 10.13 17.83 47.63 58.13 21.03 17.63 8.93 6.73
8.23 4.93 4.13 9.23 16.53 43.93 61.13 60.33 35.63 18.43 29.93 8.23
12.75 7.45 5.85 5.25 6.55 27.25 45.15 36.35 26.75 15.55 17.25 12.45
12.05 8.65 6.25 5.15 7.15 23.15 34.85 28.05 24.25 17.85 18.45 15.35
13.35 11.95 8.65 5.75 8.65 29.05 48.75 34.15 18.45 16.05 15.55 16.55
13.15 12.15 7.35 5.15 13.45 38.45 30.85 49.65 32.75 17.75 19.85 15.15
15.75 10.15 8.75 5.75 7.65 34.95 32.85 42.65 16.25 15.55 19.05 16.55
12.55 8.55 4.55 8.45 7.65 22.05 37.85 34.05 20.85 14.45 16.55 12.55
17.65 14.45 5.45 7.25 6.15 36.45 64.55 45.35 19.75 13.15 16.75 23.75
14.65 14.35 6.85 5.55 10.45 22.25 39.65 34.15 19.15 14.85 19.25 14.75
11.65 10.35 6.45 5.85 7.15 29.65 46.55 32.05 21.15 15.85 16.15 15.55
16.35 7.75 6.15 9.65 9.55 22.35 45.45 50.05 19.75 13.05 20.65 18.05
14.65 8.25 5.85 4.65 7.95 29.05 41.25 34.25 22.65 20.45 12.65 16.55
17.45 12.15 8.25 5.25 7.25 30.75 41.75 32.45 20.35 26.65 22.05 4.85
9.95 8.85 4.65 3.65 11.45 23.95 44.75 20.55 39.65 24.95 15.75 13.85
16.35 10.55 6.45 3.55 6.45 45.05 46.95 40.65 26.95 24.25 21.95 19.75
5.85 3.05 3.75 16.25 7.65 37.85 62.25 33.45 33.95 19.15 28.35 17.95
13.97 8.97 4.87 7.07 16.47 21.07 36.97 35.97 22.27 15.07 15.67 19.77
14.57 10.57 5.87 6.27 14.67 25.57 44.27 33.87 19.87 16.37 21.67 13.57
14.47 9.07 6.47 8.47 7.07 41.07 42.27 31.67 24.27 18.97 17.17 13.57
12.67 14.07 5.77 7.87 10.77 19.57 35.77 27.37 20.77 18.37 17.87 12.47
16.27 14.47 6.87 6.27 7.77 20.87 46.27 37.87 31.17 18.77 15.57 12.07
13.37 12.47 6.77 6.97 7.97 26.97 32.37 40.07 21.67 18.77 15.97 18.77
