"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-27.42 -27.92 -24.92 -11.92 -1.02 12.68 15.78 13.08 6.58 -6.22 -20.02 -25.82
-26.22 -25.22 -20.82 -11.62 2.08 12.68 15.78 13.08 6.58 -6.22 -20.02 -28.42
-29.72 -25.22 -17.92 -11.12 1.98 12.08 15.78 13.08 6.58 -6.22 -20.02 -25.82
-26.22 -25.22 -20.82 -11.62 2.08 12.68 15.78 13.08 6.58 -6.22 -20.02 -25.82
-33.52 -28.82 -23.02 -12.82 2.38 12.38 15.28 13.48 6.08 -5.82 -21.42 -29.42
-26.28 -25.68 -26.58 -13.98 3.02 12.12 15.52 10.72 4.82 -6.48 -19.48 -27.78
-25.38 -22.88 -16.98 -7.88 1.72 10.82 14.42 12.02 2.62 -8.38 -19.28 -25.78
-21.68 -23.68 -23.18 -12.38 -1.58 9.42 14.22 10.42 5.42 -9.38 -18.88 -23.88
-36.08 -27.58 -23.68 -13.88 0.72 14.82 13.82 11.82 3.02 -8.08 -21.48 -23.88
-29.88 -29.08 -21.48 -13.08 -0.48 11.72 13.22 10.72 2.62 -9.08 -19.28 -31.08
-29.88 -29.38 -21.28 -14.78 1.12 12.32 14.22 12.32 6.22 -9.08 -17.08 -24.28
-31.48 -28.38 -17.68 -14.08 5.42 12.72 14.12 10.52 6.42 -4.88 -22.78 -26.08
-23.08 -23.88 -19.18 -12.88 1.02 11.72 14.62 13.82 6.52 -8.68 -22.38 -31.18
-18.98 -28.28 -24.78 -12.18 2.12 12.62 16.02 13.82 7.42 -8.38 -25.48 -26.38
-25.98 -24.78 -21.68 -13.18 3.22 14.72 13.62 10.82 8.22 -8.08 -22.08 -25.68
-27.08 -27.68 -22.78 -11.68 1.02 11.02 16.52 13.22 6.02 -7.18 -21.38 -27.48
-29.28 -21.98 -21.58 -11.88 1.92 9.32 15.72 12.22 6.02 -5.68 -24.68 -24.08
-33.88 -26.18 -25.48 -11.28 0.42 13.22 16.12 11.42 5.52 -7.18 -18.38 -26.08
-28.98 -28.48 -19.78 -13.18 0.72 12.82 16.52 14.02 6.82 -2.78 -20.38 -32.38
-31.48 -23.58 -20.98 -12.78 0.62 10.52 14.72 13.82 5.62 -5.78 -19.08 -28.28
-25.25 -30.85 -23.95 -15.85 -1.05 10.85 14.95 12.65 6.85 -10.05 -22.45 -29.35
-23.25 -28.75 -27.55 -10.25 0.85 12.65 15.85 13.25 6.55 -9.05 -23.55 -25.75
-23.55 -29.15 -20.35 -12.75 0.95 10.25 14.25 12.45 4.55 -6.55 -17.95 -30.25
-23.55 -21.75 -22.25 -15.95 1.55 10.45 13.25 10.65 3.95 -8.55 -22.55 -28.45
-23.05 -24.05 -20.85 -15.25 0.65 11.65 13.55 13.15 7.05 -8.05 -25.85 -22.35
-25.85 -25.85 -20.05 -9.75 2.85 13.05 14.45 12.55 6.15 -4.05 -18.85 -28.55
-29.35 -22.15 -20.95 -12.65 -2.15 9.55 14.75 12.25 6.35 -5.25 -25.45 -26.45
-26.05 -25.55 -20.55 -14.45 1.45 11.15 15.95 13.15 6.55 -10.25 -25.15 -20.55
-25.75 -33.65 -21.15 -11.65 2.65 11.85 13.55 11.65 5.45 -3.45 -16.85 -29.15
-25.15 -21.25 -25.25 -14.45 -2.35 10.15 15.85 10.65 4.85 -8.55 -14.25 -21.45
-29.95 -22.65 -22.85 -9.55 1.75 12.45 13.15 10.65 4.15 -7.45 -15.95 -24.65
-26.85 -30.95 -20.25 -14.45 0.35 10.55 16.35 12.75 4.25 -6.55 -23.65 -32.55
-25.25 -25.35 -23.15 -11.05 0.55 11.95 16.75 11.15 6.65 -4.55 -21.75 -26.75
-34.05 -19.05 -19.05 -13.85 1.25 13.85 14.55 12.35 7.75 -6.45 -23.35 -24.05
-28.55 -32.95 -17.55 -7.05 3.75 12.85 14.85 13.15 4.85 -6.75 -18.95 -28.65
-25.46 -31.06 -24.16 -16.06 -1.26 10.64 14.74 12.44 6.64 -10.26 -22.66 -29.56
-23.46 -28.96 -27.76 -10.46 0.64 12.44 15.64 13.04 6.34 -9.26 -23.76 -25.96
-23.76 -29.36 -20.56 -12.96 0.74 10.04 14.04 12.24 4.34 -6.76 -18.16 -30.46
-23.76 -21.96 -22.46 -16.16 1.34 10.24 13.04 10.44 3.74 -8.76 -22.76 -28.66
-23.26 -24.26 -21.06 -15.46 0.44 11.44 13.34 12.94 6.84 -8.26 -26.06 -22.56
-26.06 -26.06 -20.26 -9.96 2.64 12.84 14.24 12.34 5.94 -4.26 -19.06 -28.76
-29.56 -22.36 -21.16 -12.86 -2.36 9.34 14.54 12.04 6.14 -5.46 -25.66 -26.66
-26.26 -25.76 -20.76 -14.66 1.24 10.94 15.74 12.94 6.34 -10.46 -25.36 -20.76
-25.96 -33.86 -21.36 -11.86 2.44 11.64 13.34 11.44 5.24 -3.66 -17.06 -29.36
-25.36 -21.46 -25.46 -14.66 -2.56 9.94 15.64 10.44 4.64 -8.76 -14.46 -21.66
-30.16 -22.86 -23.06 -9.76 1.54 12.24 12.94 10.44 3.94 -7.66 -16.16 -24.86
-27.06 -31.16 -20.46 -14.66 0.14 10.34 16.14 12.54 4.04 -6.76 -23.86 -32.76
-25.46 -25.56 -23.36 -11.26 0.34 11.74 16.54 10.94 6.44 -4.76 -21.96 -26.96
-34.26 -19.26 -19.26 -14.06 1.04 13.64 14.34 12.14 7.54 -6.66 -23.56 -24.26
-28.76 -33.16 -17.76 -7.26 3.54 12.64 14.64 12.94 4.64 -6.96 -19.16 -28.86
-26.14 -24.74 -24.34 -15.54 -3.74 10.06 14.86 11.86 5.16 -6.84 -26.44 -34.84
-35.14 -18.34 -17.84 -9.64 3.86 11.46 13.76 11.36 4.76 -7.14 -22.14 -26.64
-35.24 -23.84 -18.94 -13.54 1.26 11.76 14.66 12.96 5.36 -6.74 -22.24 -28.84
-31.94 -28.94 -20.14 -14.34 -0.14 10.76 14.96 11.06 5.76 -6.84 -20.64 -26.44
-33.74 -30.94 -24.94 -12.24 1.46 12.06 15.16 12.46 5.96 -6.84 -20.64 -26.44
-26.84 -25.84 -21.44 -12.24 1.46 12.06 15.16 12.46 5.96 -6.84 -20.64 -26.44
-26.84 -25.84 -21.44 -12.24 1.46 12.06 15.16 12.46 5.96 -6.84 -20.64 -26.44
-26.84 -25.84 -21.44 -12.24 1.46 12.06 15.16 12.46 5.96 -6.84 -20.64 -26.44
-26.84 -25.84 -21.44 -12.24 1.46 12.06 15.16 12.46 5.96 -6.84 -20.64 -26.44
-26.84 -25.84 -21.44 -12.24 1.46 12.06 15.16 12.46 5.96 -6.84 -20.64 -26.44
-26.84 -25.84 -19.84 -11.14 0.66 12.56 15.16 12.76 7.36 -5.04 -18.34 -27.84
