"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.62 -35.22 -28.32 -20.22 -5.42 6.48 10.58 8.28 2.48 -14.42 -26.82 -33.72
-27.62 -33.12 -31.92 -14.62 -3.52 8.28 11.48 8.88 2.18 -13.42 -27.92 -30.12
-27.92 -33.52 -24.72 -17.12 -3.42 5.88 9.88 8.08 0.18 -10.92 -22.32 -34.62
-27.92 -26.12 -26.62 -20.32 -2.82 6.08 8.88 6.28 -0.42 -12.92 -26.92 -32.82
-27.42 -28.42 -25.22 -19.62 -3.72 7.28 9.18 8.78 2.68 -12.42 -30.22 -26.72
-30.22 -30.22 -24.42 -14.12 -1.52 8.68 10.08 8.18 1.78 -8.42 -23.22 -32.92
-33.72 -26.52 -25.32 -17.02 -6.52 5.18 10.38 7.88 1.98 -9.62 -29.82 -30.82
-30.42 -29.92 -24.92 -18.82 -2.92 6.78 11.58 8.78 2.18 -14.62 -29.52 -24.92
-30.12 -38.02 -25.52 -16.02 -1.72 7.48 9.18 7.28 1.08 -7.82 -21.22 -33.52
-29.52 -25.62 -29.62 -18.82 -6.72 5.78 11.48 6.28 0.48 -12.92 -18.62 -25.82
-34.32 -27.02 -27.22 -13.92 -2.62 8.08 8.78 6.28 -0.22 -11.82 -20.32 -29.02
-31.22 -35.32 -24.62 -18.82 -4.02 6.18 11.98 8.38 -0.12 -10.92 -28.02 -36.92
-29.62 -29.72 -27.52 -15.42 -3.82 7.58 12.38 6.78 2.28 -8.92 -26.12 -31.12
-38.42 -23.42 -23.42 -18.22 -3.12 9.48 10.18 7.98 3.38 -10.82 -27.72 -28.42
-32.92 -37.32 -21.92 -11.42 -0.62 8.48 10.48 8.78 0.48 -11.12 -23.32 -33.02
-34.75 -33.85 -24.65 -18.05 -4.65 6.45 10.05 7.35 0.55 -12.05 -26.15 -32.15
-34.25 -30.95 -25.05 -16.95 -4.85 6.45 9.95 7.15 0.45 -11.85 -25.45 -32.45
-34.75 -31.65 -25.85 -17.55 -3.75 6.35 10.05 7.05 0.45 -10.25 -25.95 -27.35
-33.55 -29.35 -27.25 -18.75 -3.85 6.95 10.35 7.35 1.25 -10.95 -22.85 -28.95
-34.45 -33.65 -25.65 -16.65 -4.75 6.55 10.85 7.45 1.85 -11.15 -23.65 -28.65
-36.05 -30.45 -29.95 -15.75 -4.95 7.35 10.95 8.15 -0.15 -11.55 -24.65 -35.45
-33.05 -27.95 -25.65 -18.45 -6.15 6.35 10.15 8.55 2.15 -9.15 -21.55 -22.75
-30.95 -26.15 -28.25 -14.65 -6.45 6.65 10.95 6.45 0.35 -13.05 -23.95 -30.75
-39.95 -30.35 -26.15 -17.65 -2.45 8.05 8.95 7.35 2.55 -9.65 -23.55 -31.85
-28.55 -31.05 -24.65 -13.45 -1.55 8.05 10.55 7.35 -0.65 -11.15 -23.05 -31.45
-31.85 -30.45 -27.25 -17.15 -4.95 6.45 11.05 7.95 1.35 -9.95 -27.25 -32.65
-28.25 -29.95 -30.05 -18.05 -5.95 5.85 9.95 6.35 0.95 -12.15 -24.05 -28.95
-29.45 -31.45 -22.35 -14.55 -0.95 8.05 9.65 6.35 0.85 -10.85 -23.05 -32.75
-34.25 -33.35 -25.85 -20.65 -1.65 6.75 9.45 8.75 3.15 -9.35 -21.95 -29.55
-35.45 -32.85 -29.55 -12.65 -2.05 5.75 10.05 8.45 0.35 -11.15 -21.65 -28.85
-39.86 -32.26 -30.16 -12.16 -3.26 8.24 11.04 7.64 1.84 -9.26 -21.96 -24.96
-35.46 -37.16 -27.36 -16.76 -3.46 7.24 11.94 7.24 0.04 -14.16 -23.86 -32.16
-41.46 -34.36 -24.96 -16.86 -4.76 5.54 10.64 7.84 2.54 -7.66 -21.26 -32.26
-37.46 -21.96 -19.66 -17.86 -3.76 5.54 11.34 7.04 1.04 -11.56 -23.56 -30.36
-30.66 -30.26 -22.96 -14.96 -7.86 6.34 9.04 7.54 1.64 -10.56 -28.76 -33.66
-37.46 -33.16 -23.76 -14.26 -7.36 6.04 8.14 8.44 3.14 -9.26 -24.66 -24.26
-31.06 -33.46 -26.36 -18.66 -2.56 6.94 10.04 7.24 0.74 -10.06 -28.16 -36.46
-36.76 -26.56 -26.16 -22.96 -4.56 7.74 11.54 7.64 1.94 -8.66 -27.26 -28.26
-27.36 -28.06 -30.36 -13.46 -5.26 5.64 10.74 8.84 2.54 -9.76 -21.26 -33.46
-41.76 -27.96 -29.06 -17.96 -5.36 5.54 10.84 8.24 4.14 -10.36 -26.16 -29.16
-31.96 -32.46 -29.46 -16.46 -5.56 8.14 11.24 8.54 2.04 -10.76 -24.56 -30.36
-30.76 -29.76 -25.36 -16.16 -2.46 8.14 11.24 8.54 2.04 -10.76 -24.56 -32.96
-34.26 -29.76 -22.46 -15.66 -2.56 7.54 11.24 8.54 2.04 -10.76 -24.56 -30.36
-30.76 -29.76 -25.36 -16.16 -2.46 8.14 11.24 8.54 2.04 -10.76 -24.56 -30.36
