"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
20.92 8.12 5.02 5.92 4.92 35.82 41.12 22.02 20.12 9.62 9.12 7.72
18.02 8.52 1.82 7.32 12.42 37.62 33.42 58.42 62.02 17.72 9.82 15.12
18.32 5.72 1.52 6.72 10.62 26.22 68.12 39.92 8.72 9.22 9.92 13.92
19.22 16.12 5.92 4.12 9.62 26.62 55.52 31.22 27.52 11.72 20.42 14.82
11.42 16.02 6.42 1.52 4.02 41.92 61.62 21.02 5.12 21.32 9.02 5.82
15.62 6.52 6.72 9.02 10.72 31.12 61.72 23.42 16.52 12.32 12.52 14.52
24.02 14.32 9.52 13.12 11.32 5.32 9.62 24.22 11.22 18.52 13.22 20.22
10.02 3.92 2.22 6.72 9.32 6.42 36.92 29.12 19.62 10.82 8.32 29.62
13.62 0.92 3.82 2.62 12.32 24.12 79.22 43.22 47.32 23.52 18.42 14.52
14.32 12.02 4.62 6.52 7.52 23.82 42.82 43.92 18.62 12.22 25.22 17.12
6.02 10.22 9.22 2.92 17.02 31.22 51.52 33.12 22.72 21.42 11.52 10.62
12.42 2.12 8.42 5.52 15.42 54.62 13.22 36.02 15.22 24.72 9.32 13.22
19.42 10.52 0.72 4.92 2.12 16.12 44.22 54.22 19.02 11.22 5.02 5.92
9.62 25.52 8.62 14.32 12.02 20.42 42.12 70.42 18.82 16.02 8.02 5.52
8.22 3.62 4.12 9.22 16.92 45.62 60.42 53.72 35.42 17.02 29.12 7.62
10.69 4.79 5.99 4.29 4.89 30.09 45.49 32.89 28.79 14.09 16.09 10.19
9.49 6.59 6.59 4.19 5.99 23.09 28.29 19.79 24.69 17.89 17.89 14.69
11.79 11.59 10.69 5.09 8.69 33.29 51.49 29.59 15.49 14.69 12.89 16.29
11.19 12.29 8.29 4.19 16.19 46.49 21.99 50.49 35.59 16.69 19.69 14.19
15.19 8.79 10.29 4.89 7.39 45.99 26.69 39.19 13.19 13.39 17.59 15.29
10.39 6.59 4.09 9.59 7.09 22.49 31.99 33.59 18.39 12.59 14.19 10.89
18.79 14.99 5.19 7.29 4.29 48.09 79.39 44.99 18.29 10.69 13.89 25.29
13.59 14.49 7.49 4.39 11.09 24.79 38.59 28.79 16.39 13.79 18.39 14.69
8.69 11.29 7.59 5.19 6.49 33.19 47.49 27.69 19.49 14.19 13.89 14.29
16.29 5.29 6.29 10.89 11.59 20.89 44.69 55.69 17.89 10.19 20.29 18.09
13.49 5.49 5.69 3.29 8.29 31.99 37.49 32.89 21.29 21.69 8.49 15.49
17.89 11.89 9.19 4.09 5.49 32.49 40.99 26.59 18.59 23.89 19.49 4.79
10.69 7.89 4.29 3.49 13.09 25.49 43.49 21.39 33.79 23.89 14.39 12.59
16.39 8.89 5.99 4.99 7.99 45.39 51.09 43.29 23.89 25.79 21.79 17.99
6.09 3.59 4.39 15.79 7.39 41.69 62.79 27.19 30.99 19.09 25.29 18.29
12.09 6.69 3.59 6.79 22.39 18.79 31.09 31.79 21.09 12.59 12.99 21.19
13.19 9.09 5.39 5.49 18.99 26.59 43.39 28.59 17.29 14.89 22.49 11.49
12.99 6.79 6.29 8.99 5.19 53.39 39.99 24.99 24.29 19.19 15.39 11.49
9.99 14.39 5.19 7.99 11.89 16.19 29.19 18.29 18.69 18.19 16.49 9.69
16.29 15.09 7.09 5.39 6.49 18.39 46.79 34.99 35.19 18.89 12.89 9.19
11.09 11.89 6.89 6.49 6.79 28.99 23.59 38.29 20.09 18.89 13.49 19.49
14.39 6.79 7.39 3.89 11.89 35.69 49.19 21.29 21.89 18.89 17.89 14.89
