"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-28.56 -28.36 -24.96 -12.16 -0.76 12.94 16.04 13.24 6.44 -6.56 -20.76 -26.86
-27.36 -26.26 -21.46 -11.86 2.14 12.94 16.04 13.24 6.54 -6.66 -20.86 -28.96
-29.96 -26.26 -19.16 -11.56 2.14 12.44 16.04 13.24 6.54 -6.56 -20.96 -26.86
-27.36 -26.06 -21.46 -11.86 2.14 13.04 16.14 13.24 6.64 -6.56 -20.96 -26.86
-33.96 -29.46 -23.26 -12.96 2.54 12.64 15.54 13.44 5.94 -6.36 -22.26 -30.36
-27.46 -26.66 -26.66 -14.26 2.94 12.54 15.84 10.94 4.94 -6.76 -20.06 -28.56
-26.46 -24.06 -17.66 -8.06 1.74 10.94 14.64 12.24 2.64 -8.66 -20.16 -26.86
-22.86 -24.66 -23.56 -12.66 -1.36 9.74 14.44 10.64 5.44 -9.76 -19.76 -24.96
-36.86 -27.96 -24.16 -14.06 0.74 15.04 14.04 12.04 2.94 -8.36 -22.36 -25.16
-30.66 -29.86 -22.06 -13.46 -0.46 12.04 13.64 10.94 2.64 -9.26 -20.06 -32.16
-31.16 -30.46 -21.86 -14.96 1.34 12.74 14.44 12.64 6.14 -9.26 -17.96 -25.16
-32.56 -29.46 -18.56 -14.16 5.34 12.94 14.34 10.84 6.44 -5.06 -23.36 -27.36
-24.26 -24.66 -19.66 -12.86 1.24 12.04 14.94 14.14 6.64 -8.86 -23.16 -32.06
-20.16 -29.16 -25.36 -12.36 2.24 13.14 16.34 14.14 7.34 -8.66 -26.16 -27.16
-26.66 -25.76 -22.26 -13.46 3.24 14.94 14.04 11.04 8.14 -8.46 -22.96 -26.56
-28.46 -28.26 -23.16 -11.86 1.44 11.44 16.84 13.54 6.14 -7.46 -22.16 -28.36
-30.66 -22.96 -21.96 -11.86 2.24 9.64 16.04 12.34 5.94 -5.76 -25.46 -25.26
-34.56 -27.06 -25.76 -11.46 0.64 13.74 16.54 11.64 5.54 -7.46 -19.36 -26.86
-29.76 -29.46 -20.36 -13.26 0.84 13.24 16.94 14.14 6.84 -3.16 -21.26 -33.06
-32.16 -24.46 -21.36 -12.96 0.74 10.74 14.94 13.94 5.64 -6.16 -19.86 -28.86
-26.24 -31.44 -24.34 -15.74 -0.94 11.16 15.16 12.86 6.86 -10.34 -23.24 -30.34
-24.04 -29.64 -27.84 -10.44 1.06 12.96 16.36 13.46 6.46 -9.24 -24.34 -26.94
-24.84 -30.04 -21.04 -13.04 0.96 10.46 14.46 12.66 4.56 -6.84 -18.84 -31.04
-24.74 -23.14 -22.84 -16.24 1.86 10.56 13.46 10.86 3.86 -8.94 -23.34 -29.34
-24.14 -24.94 -21.54 -15.44 0.66 11.96 13.96 13.46 7.16 -8.24 -26.54 -23.24
-26.54 -26.64 -20.64 -10.04 3.06 13.26 14.76 12.86 6.16 -4.34 -19.54 -29.34
-30.44 -23.24 -21.64 -12.74 -2.04 9.86 15.16 12.46 6.46 -5.64 -26.14 -27.54
-27.04 -26.34 -21.14 -14.64 1.66 11.36 16.16 13.46 6.56 -10.54 -25.74 -22.04
-26.64 -34.34 -21.74 -11.94 2.66 11.96 13.86 11.76 5.36 -3.94 -17.54 -30.34
-26.14 -21.94 -25.34 -14.54 -2.24 10.56 16.06 10.86 4.86 -8.74 -15.34 -22.54
