"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.83 -29.63 -26.23 -13.43 -2.03 11.67 14.77 11.97 5.17 -7.83 -22.03 -28.13
-28.63 -27.53 -22.73 -13.13 0.87 11.67 14.77 11.97 5.27 -7.93 -22.13 -30.23
-31.23 -27.53 -20.43 -12.83 0.87 11.17 14.77 11.97 5.27 -7.83 -22.23 -28.13
-28.63 -27.33 -22.73 -13.13 0.87 11.77 14.87 11.97 5.37 -7.83 -22.23 -28.13
-35.23 -30.73 -24.53 -14.23 1.27 11.37 14.27 12.17 4.67 -7.63 -23.53 -31.63
-28.7 -27.9 -27.9 -15.5 1.7 11.3 14.6 9.7 3.7 -8 -21.3 -29.8
-27.7 -25.3 -18.9 -9.3 0.5 9.7 13.4 11 1.4 -9.9 -21.4 -28.1
-24.1 -25.9 -24.8 -13.9 -2.6 8.5 13.2 9.4 4.2 -11 -21 -26.2
-38.1 -29.2 -25.4 -15.3 -0.5 13.8 12.8 10.8 1.7 -9.6 -23.6 -26.4
-31.9 -31.1 -23.3 -14.7 -1.7 10.8 12.4 9.7 1.4 -10.5 -21.3 -33.4
-32.4 -31.7 -23.1 -16.2 0.1 11.5 13.2 11.4 4.9 -10.5 -19.2 -26.4
-33.8 -30.7 -19.8 -15.4 4.1 11.7 13.1 9.6 5.2 -6.3 -24.6 -28.6
-25.5 -25.9 -20.9 -14.1 0 10.8 13.7 12.9 5.4 -10.1 -24.4 -33.3
-21.4 -30.4 -26.6 -13.6 1 11.9 15.1 12.9 6.1 -9.9 -27.4 -28.4
-27.9 -27 -23.5 -14.7 2 13.7 12.8 9.8 6.9 -9.7 -24.2 -27.8
-29.7 -29.5 -24.4 -13.1 0.2 10.2 15.6 12.3 4.9 -8.7 -23.4 -29.6
-31.9 -24.2 -23.2 -13.1 1 8.4 14.8 11.1 4.7 -7 -26.7 -26.5
-35.8 -28.3 -27 -12.7 -0.6 12.5 15.3 10.4 4.3 -8.7 -20.6 -28.1
-31 -30.7 -21.6 -14.5 -0.4 12 15.7 12.9 5.6 -4.4 -22.5 -34.3
-33.4 -25.7 -22.6 -14.2 -0.5 9.5 13.7 12.7 4.4 -7.4 -21.1 -30.1
-27.5 -32.7 -25.6 -17 -2.2 9.9 13.9 11.6 5.6 -11.6 -24.5 -31.6
-25.3 -30.9 -29.1 -11.7 -0.2 11.7 15.1 12.2 5.2 -10.5 -25.6 -28.2
-26.1 -31.3 -22.3 -14.3 -0.3 9.2 13.2 11.4 3.3 -8.1 -20.1 -32.3
-26 -24.4 -24.1 -17.5 0.6 9.3 12.2 9.6 2.6 -10.2 -24.6 -30.6
-25.4 -26.2 -22.8 -16.7 -0.6 10.7 12.7 12.2 5.9 -9.5 -27.8 -24.5
-27.8 -27.9 -21.9 -11.3 1.8 12 13.5 11.6 4.9 -5.6 -20.8 -30.6
-31.7 -24.5 -22.9 -14 -3.3 8.6 13.9 11.2 5.2 -6.9 -27.4 -28.8
-28.3 -27.6 -22.4 -15.9 0.4 10.1 14.9 12.2 5.3 -11.8 -27 -23.3
-27.9 -35.6 -23 -13.2 1.4 10.7 12.6 10.5 4.1 -5.2 -18.8 -31.6
-27.4 -23.2 -26.6 -15.8 -3.5 9.3 14.8 9.6 3.6 -10 -16.6 -23.8
-32.1 -25 -24.5 -11.1 0.5 11.5 12.2 9.6 2.9 -8.9 -18.3 -27.1
-28.9 -33 -22.2 -15.9 -0.9 9.7 15.4 11.6 3.1 -8.3 -25.8 -34.7
-27.7 -27.4 -24.7 -12.4 -0.7 10.9 15.9 10 5.5 -6.1 -23.5 -28.7
-35.7 -21.5 -20.7 -15.3 0.1 12.9 13.6 11.3 6.6 -8.1 -25.2 -26.1
-30.7 -34.6 -19 -8.5 3 11.8 13.9 12.2 3.6 -8.2 -21.2 -31.1
-27.64 -32.84 -25.74 -17.14 -2.34 9.76 13.76 11.46 5.46 -11.74 -24.64 -31.74
-25.44 -31.04 -29.24 -11.84 -0.34 11.56 14.96 12.06 5.06 -10.64 -25.74 -28.34
-26.24 -31.44 -22.44 -14.44 -0.44 9.06 13.06 11.26 3.16 -8.24 -20.24 -32.44
-26.14 -24.54 -24.24 -17.64 0.46 9.16 12.06 9.46 2.46 -10.34 -24.74 -30.74
-25.54 -26.34 -22.94 -16.84 -0.74 10.56 12.56 12.06 5.76 -9.64 -27.94 -24.64
-27.94 -28.04 -22.04 -11.44 1.66 11.86 13.36 11.46 4.76 -5.74 -20.94 -30.74
-31.84 -24.64 -23.04 -14.14 -3.44 8.46 13.76 11.06 5.06 -7.04 -27.54 -28.94
-28.44 -27.74 -22.54 -16.04 0.26 9.96 14.76 12.06 5.16 -11.94 -27.14 -23.44
-28.04 -35.74 -23.14 -13.34 1.26 10.56 12.46 10.36 3.96 -5.34 -18.94 -31.74
-27.54 -23.34 -26.74 -15.94 -3.64 9.16 14.66 9.46 3.46 -10.14 -16.74 -23.94
-32.24 -25.14 -24.64 -11.24 0.36 11.36 12.06 9.46 2.76 -9.04 -18.44 -27.24
-29.04 -33.14 -22.34 -16.04 -1.04 9.56 15.26 11.46 2.96 -8.44 -25.94 -34.84
-27.84 -27.54 -24.84 -12.54 -0.84 10.76 15.76 9.86 5.36 -6.24 -23.64 -28.84
-35.84 -21.64 -20.84 -15.44 -0.04 12.76 13.46 11.16 6.46 -8.24 -25.34 -26.24
-30.84 -34.74 -19.14 -8.64 2.86 11.66 13.76 12.06 3.46 -8.34 -21.34 -31.24
-28.51 -27.21 -25.81 -16.81 -4.51 9.29 13.99 10.89 3.89 -8.21 -27.81 -36.41
-36.41 -21.31 -20.01 -11.31 2.59 10.69 13.09 10.49 3.59 -8.81 -24.11 -29.01
-36.81 -26.41 -20.91 -14.81 0.09 10.89 13.79 11.79 4.29 -8.31 -23.91 -30.61
-33.01 -30.51 -22.21 -15.21 -1.11 9.99 13.99 10.19 4.59 -8.31 -22.71 -28.61
-35.31 -32.61 -26.31 -13.51 0.29 11.09 14.19 11.39 4.69 -8.41 -22.81 -28.71
-29.11 -27.91 -23.31 -13.71 0.29 11.09 14.19 11.39 4.69 -8.41 -22.51 -28.81
-29.21 -28.11 -23.21 -13.81 0.29 11.09 14.19 11.39 4.69 -8.51 -22.81 -28.61
-29.21 -28.01 -23.11 -13.71 0.29 11.09 14.19 11.39 4.69 -8.41 -22.71 -28.71
-29.21 -28.11 -23.21 -13.81 0.29 11.09 14.19 11.39 4.69 -8.41 -22.61 -28.61
-29.01 -28.11 -23.11 -13.81 0.29 11.09 14.19 11.39 4.69 -8.41 -22.71 -28.71
-29.11 -28.01 -22.01 -12.91 -0.31 11.39 14.19 11.59 5.79 -6.91 -20.71 -29.91
-31.11 -29.21 -24.61 -14.51 -0.71 11.49 14.59 11.99 4.99 -8.51 -17.51 -24.41
-30.61 -27.21 -24.61 -12.61 -0.61 10.99 14.09 11.39 4.59 -8.31 -23.71 -29.21
-28.21 -26.51 -24.21 -14.01 -0.01 10.79 13.79 11.19 4.19 -9.11 -24.01 -28.51
-27.61 -29.31 -23.41 -13.51 -0.41 11.29 14.19 11.59 4.69 -8.41 -22.31 -29.51
-28.49 -27.19 -25.79 -16.79 -4.49 9.31 14.01 10.91 3.91 -8.19 -27.79 -36.39
-36.39 -21.29 -19.99 -11.29 2.61 10.71 13.11 10.51 3.61 -8.79 -24.09 -28.99
-36.79 -26.39 -20.89 -14.79 0.11 10.91 13.81 11.81 4.31 -8.29 -23.89 -30.59
-32.99 -30.49 -22.19 -15.19 -1.09 10.01 14.01 10.21 4.61 -8.29 -22.69 -28.59
-35.29 -32.59 -26.29 -13.49 0.31 11.11 14.21 11.41 4.71 -8.39 -22.79 -28.69
-29.09 -27.89 -23.29 -13.69 0.31 11.11 14.21 11.41 4.71 -8.39 -22.49 -28.79
-29.19 -28.09 -23.19 -13.79 0.31 11.11 14.21 11.41 4.71 -8.49 -22.79 -28.59
-29.19 -27.99 -23.09 -13.69 0.31 11.11 14.21 11.41 4.71 -8.39 -22.69 -28.69
-29.19 -28.09 -23.19 -13.79 0.31 11.11 14.21 11.41 4.71 -8.39 -22.59 -28.59
-28.99 -28.09 -23.09 -13.79 0.31 11.11 14.21 11.41 4.71 -8.39 -22.69 -28.69
-29.09 -27.99 -21.99 -12.89 -0.29 11.41 14.21 11.61 5.81 -6.89 -20.69 -29.89
-31.09 -29.19 -24.59 -14.49 -0.69 11.51 14.61 12.01 5.01 -8.49 -17.49 -24.39
-30.59 -27.19 -24.59 -12.59 -0.59 11.01 14.11 11.41 4.61 -8.29 -23.69 -29.19
-28.19 -26.49 -24.19 -13.99 0.01 10.81 13.81 11.21 4.21 -9.09 -23.99 -28.49
-27.59 -29.29 -23.39 -13.49 -0.39 11.31 14.21 11.61 4.71 -8.39 -22.29 -29.49
-37.01 -29.81 -26.91 -9.71 -0.01 11.59 14.39 10.89 4.89 -6.81 -20.11 -23.21
-32.91 -34.21 -24.61 -14.01 -0.41 10.79 15.19 10.59 3.19 -11.21 -21.81 -30.11
-38.21 -31.61 -22.51 -14.11 -1.31 9.19 14.19 11.19 5.39 -5.41 -19.31 -30.31
-34.71 -20.81 -17.71 -14.91 -0.61 9.09 14.69 10.49 4.19 -9.01 -21.31 -28.31
-28.81 -28.21 -20.81 -12.31 -4.21 9.79 12.49 10.89 4.69 -8.01 -26.31 -31.41
-34.91 -30.71 -21.31 -11.51 -3.81 9.59 11.69 11.69 6.09 -6.71 -22.51 -22.91
-29.01 -30.81 -23.81 -15.51 0.59 10.39 13.59 10.49 3.99 -7.21 -25.41 -34.01
-34.21 -24.81 -23.71 -19.31 -1.11 11.19 14.89 10.89 5.09 -5.91 -24.81 -26.51
