"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.6 -35.8 -28.7 -20.1 -5.3 6.8 10.8 8.5 2.5 -14.7 -27.6 -34.7
-28.4 -34 -32.2 -14.8 -3.3 8.6 12 9.1 2.1 -13.6 -28.7 -31.3
-29.2 -34.4 -25.4 -17.4 -3.4 6.1 10.1 8.3 0.2 -11.2 -23.2 -35.4
-29.1 -27.5 -27.2 -20.6 -2.5 6.2 9.1 6.5 -0.5 -13.3 -27.7 -33.7
-28.5 -29.3 -25.9 -19.8 -3.7 7.6 9.6 9.1 2.8 -12.6 -30.9 -27.6
-30.9 -31 -25 -14.4 -1.3 8.9 10.4 8.5 1.8 -8.7 -23.9 -33.7
-34.8 -27.6 -26 -17.1 -6.4 5.5 10.8 8.1 2.1 -10 -30.5 -31.9
-31.4 -30.7 -25.5 -19 -2.7 7 11.8 9.1 2.2 -14.9 -30.1 -26.4
-31 -38.7 -26.1 -16.3 -1.7 7.6 9.5 7.4 1 -8.3 -21.9 -34.7
-30.5 -26.3 -29.7 -18.9 -6.6 6.2 11.7 6.5 0.5 -13.1 -19.7 -26.9
-35.2 -28.1 -27.6 -14.2 -2.6 8.4 9.1 6.5 -0.2 -12 -21.4 -30.2
-32 -36.1 -25.3 -19 -4 6.6 12.3 8.5 0 -11.4 -28.9 -37.8
-30.8 -30.5 -27.8 -15.5 -3.8 7.8 12.8 6.9 2.4 -9.2 -26.6 -31.8
-38.8 -24.6 -23.8 -18.4 -3 9.8 10.5 8.2 3.5 -11.2 -28.3 -29.2
-33.8 -37.7 -22.1 -11.6 -0.1 8.7 10.8 9.1 0.5 -11.3 -24.3 -34.2
-34.94 -33.94 -25.64 -18.24 -4.24 6.96 10.46 7.66 0.66 -12.14 -26.84 -32.94
-34.64 -31.84 -26.04 -17.24 -4.54 6.86 10.26 7.46 0.66 -12.14 -26.44 -33.34
-34.74 -32.44 -26.64 -17.74 -3.64 6.86 10.36 7.36 0.46 -10.44 -26.84 -28.74
-34.34 -30.24 -27.94 -19.04 -3.54 7.26 10.76 7.56 1.26 -11.14 -23.54 -30.34
-35.64 -34.54 -26.24 -16.94 -4.44 6.86 11.16 7.76 1.86 -11.54 -24.34 -29.54
-37.14 -31.44 -30.54 -16.14 -4.94 7.76 11.26 8.46 -0.14 -11.84 -25.54 -36.44
-34.34 -28.74 -26.34 -18.74 -6.04 6.66 10.36 8.86 2.26 -9.34 -22.24 -23.74
-32.04 -27.24 -28.84 -14.84 -6.44 6.96 11.26 6.76 0.36 -13.34 -24.44 -31.74
-41.34 -31.34 -26.64 -17.94 -2.34 8.36 9.16 7.56 2.66 -9.84 -24.34 -32.84
-29.24 -31.84 -24.94 -13.54 -1.34 8.26 10.96 7.56 -0.64 -11.44 -23.74 -32.34
-32.94 -31.34 -27.84 -17.44 -4.94 6.66 11.46 8.16 1.36 -10.14 -28.44 -33.04
-29.04 -30.74 -30.54 -18.34 -5.94 6.16 10.26 6.46 0.86 -12.44 -24.74 -29.74
-30.54 -32.24 -23.04 -14.64 -0.94 8.26 9.86 6.56 0.96 -11.04 -23.84 -33.64
-34.94 -34.24 -26.34 -20.64 -1.44 7.16 9.76 9.06 3.26 -9.74 -22.84 -30.44
-36.54 -33.44 -29.74 -13.04 -1.84 5.86 10.36 8.66 0.26 -11.34 -22.74 -29.84
-40.09 -32.89 -29.99 -12.79 -3.09 8.51 11.31 7.81 1.81 -9.89 -23.19 -26.29
-35.99 -37.29 -27.69 -17.09 -3.49 7.71 12.11 7.51 0.11 -14.29 -24.89 -33.19
-41.29 -34.69 -25.59 -17.19 -4.39 6.11 11.11 8.11 2.31 -8.49 -22.39 -33.39
-37.79 -23.89 -20.79 -17.99 -3.69 6.01 11.61 7.41 1.11 -12.09 -24.39 -31.39
-31.89 -31.29 -23.89 -15.39 -7.29 6.71 9.41 7.81 1.61 -11.09 -29.39 -34.49
-37.99 -33.79 -24.39 -14.59 -6.89 6.51 8.61 8.61 3.01 -9.79 -25.59 -25.99
-32.09 -33.89 -26.89 -18.59 -2.49 7.31 10.51 7.41 0.91 -10.29 -28.49 -37.09
-37.29 -27.89 -26.79 -22.39 -4.19 8.11 11.81 7.81 2.01 -8.99 -27.89 -29.59
-28.89 -29.29 -30.49 -13.89 -4.89 6.11 11.11 9.01 2.41 -10.19 -22.59 -34.19
-41.59 -29.09 -29.19 -17.89 -4.99 6.01 11.11 8.51 3.91 -10.59 -26.79 -30.49
-33.09 -32.89 -29.49 -16.69 -5.29 8.41 11.51 8.71 1.91 -11.09 -25.29 -31.39
-31.89 -30.79 -25.99 -16.39 -2.39 8.41 11.51 8.71 2.01 -11.19 -25.39 -33.49
-34.49 -30.79 -23.69 -16.09 -2.39 7.91 11.51 8.71 2.01 -11.09 -25.49 -31.39
-31.89 -30.59 -25.99 -16.39 -2.39 8.51 11.61 8.71 2.11 -11.09 -25.49 -31.39
-38.49 -33.99 -27.79 -17.49 -1.99 8.11 11.01 8.91 1.41 -10.89 -26.79 -34.89
-35.35 -35.85 -30.35 -18.05 -3.45 6.65 9.95 7.55 1.05 -13.05 -24.75 -33.55
-34.55 -25.15 -26.45 -15.55 -5.05 6.35 8.55 7.65 2.85 -9.15 -23.05 -34.15
-34.35 -27.95 -24.95 -13.75 0.15 8.25 8.65 8.45 0.05 -12.85 -27.25 -33.85
-34.35 -32.05 -24.75 -16.25 -4.05 6.25 9.55 6.35 0.35 -11.95 -27.45 -28.75
-24.15 -28.45 -29.05 -20.75 -8.55 5.35 8.55 6.25 -1.35 -11.35 -23.85 -34.15
-34.65 -32.35 -23.95 -18.25 -3.15 8.15 10.85 8.25 2.25 -8.75 -26.85 -28.55
-34.65 -35.85 -23.95 -16.65 -6.35 5.95 13.05 10.15 2.25 -10.65 -25.85 -30.95
-30.65 -33.25 -27.35 -17.15 -2.35 9.15 11.65 9.05 2.95 -9.75 -21.45 -35.65
-32.35 -31.75 -27.65 -10.15 -2.55 7.25 11.05 6.55 0.95 -10.75 -23.75 -35.95
-33.75 -31.45 -27.55 -18.05 -4.25 7.05 9.65 8.95 0.65 -15.15 -26.05 -24.95
-28.05 -30.85 -27.15 -18.95 -4.05 8.85 11.45 6.65 0.85 -13.05 -27.15 -31.25
-30.45 -32.45 -27.75 -16.65 -2.35 8.75 10.65 6.85 2.75 -11.35 -22.65 -36.05
