"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.89 -29.49 -26.19 -13.29 -1.79 11.91 15.21 12.31 5.41 -7.79 -22.09 -27.99
-28.59 -27.59 -22.99 -13.09 1.01 11.91 15.01 12.21 5.41 -7.89 -22.19 -29.99
-30.99 -27.69 -20.69 -12.79 0.91 11.51 15.11 12.31 5.51 -7.79 -22.29 -27.99
-28.59 -27.39 -22.89 -13.09 0.91 12.01 15.21 12.21 5.61 -7.79 -22.29 -27.99
-34.89 -30.69 -24.59 -14.09 1.41 11.61 14.61 12.31 4.91 -7.59 -23.59 -31.39
-28.65 -28.05 -27.95 -15.55 1.85 11.65 14.95 9.95 3.95 -7.95 -21.35 -29.55
-27.65 -25.45 -19.15 -9.35 0.65 9.95 13.65 11.15 1.65 -9.85 -21.45 -27.95
-24.15 -25.95 -24.95 -13.85 -2.45 8.75 13.65 9.65 4.45 -11.05 -21.05 -26.05
-37.95 -29.15 -25.45 -15.35 -0.35 14.05 13.05 11.05 1.95 -9.55 -23.75 -26.35
-31.65 -31.15 -23.45 -14.65 -1.55 11.05 12.85 9.85 1.75 -10.45 -21.35 -33.35
-32.35 -31.75 -23.35 -16.15 0.35 11.75 13.55 11.65 5.15 -10.45 -19.25 -26.25
-33.75 -30.85 -19.95 -15.35 4.25 11.95 13.35 9.85 5.45 -6.25 -24.55 -28.45
-25.45 -25.95 -20.95 -14.05 0.15 11.05 14.15 13.15 5.65 -9.95 -24.45 -33.15
-21.45 -30.45 -26.85 -13.45 1.15 12.15 15.45 13.05 6.35 -9.85 -27.45 -28.25
-27.85 -27.15 -23.75 -14.65 2.05 13.95 13.15 10.05 7.15 -9.65 -24.25 -27.65
-29.75 -29.45 -24.45 -13.05 0.35 10.55 15.95 12.55 5.25 -8.65 -23.45 -29.35
-31.85 -24.35 -23.25 -13.05 1.25 8.65 15.05 11.35 4.95 -6.95 -26.75 -26.35
-35.65 -28.35 -27.15 -12.65 -0.45 12.75 15.55 10.65 4.55 -8.65 -20.75 -28.05
-30.95 -30.85 -21.75 -14.35 -0.25 12.25 16.05 13.15 5.85 -4.35 -22.55 -34.15
-33.25 -25.65 -22.65 -14.05 -0.35 9.75 13.95 12.85 4.65 -7.35 -21.15 -29.85
-27.43 -32.63 -25.73 -16.83 -2.13 10.27 14.27 11.87 5.87 -11.53 -24.53 -31.43
-25.23 -30.93 -29.23 -11.63 -0.03 11.97 15.57 12.57 5.47 -10.43 -25.73 -28.03
