"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.15 -28.75 -25.45 -12.55 -1.05 12.65 15.95 13.05 6.15 -7.05 -21.35 -27.25
-27.85 -26.85 -22.25 -12.35 1.75 12.65 15.75 12.95 6.15 -7.15 -21.45 -29.25
-30.25 -26.95 -19.95 -12.05 1.65 12.25 15.85 13.05 6.25 -7.05 -21.55 -27.25
-27.85 -26.65 -22.15 -12.35 1.65 12.75 15.95 12.95 6.35 -7.05 -21.55 -27.25
-34.15 -29.95 -23.85 -13.35 2.15 12.35 15.35 13.05 5.65 -6.85 -22.85 -30.65
-27.89 -27.29 -27.19 -14.79 2.61 12.41 15.71 10.71 4.71 -7.19 -20.59 -28.79
-26.89 -24.69 -18.39 -8.59 1.41 10.71 14.41 11.91 2.41 -9.09 -20.69 -27.19
-23.39 -25.19 -24.19 -13.09 -1.69 9.51 14.41 10.41 5.21 -10.29 -20.29 -25.29
-37.19 -28.39 -24.69 -14.59 0.41 14.81 13.81 11.81 2.71 -8.79 -22.99 -25.59
-30.89 -30.39 -22.69 -13.89 -0.79 11.81 13.61 10.61 2.51 -9.69 -20.59 -32.59
-31.59 -30.99 -22.59 -15.39 1.11 12.51 14.31 12.41 5.91 -9.69 -18.49 -25.49
-32.99 -30.09 -19.19 -14.59 5.01 12.71 14.11 10.61 6.21 -5.49 -23.79 -27.69
-24.69 -25.19 -20.19 -13.29 0.91 11.81 14.91 13.91 6.41 -9.19 -23.69 -32.39
-20.69 -29.69 -26.09 -12.69 1.91 12.91 16.21 13.81 7.11 -9.09 -26.69 -27.49
-27.09 -26.39 -22.99 -13.89 2.81 14.71 13.91 10.81 7.91 -8.89 -23.49 -26.89
-28.99 -28.69 -23.69 -12.29 1.11 11.31 16.71 13.31 6.01 -7.89 -22.69 -28.59
-31.09 -23.59 -22.49 -12.29 2.01 9.41 15.81 12.11 5.71 -6.19 -25.99 -25.59
-34.89 -27.59 -26.39 -11.89 0.31 13.51 16.31 11.41 5.31 -7.89 -19.99 -27.29
-30.19 -30.09 -20.99 -13.59 0.51 13.01 16.81 13.91 6.61 -3.59 -21.79 -33.39
-32.49 -24.89 -21.89 -13.29 0.41 10.51 14.71 13.61 5.41 -6.59 -20.39 -29.09
-26.69 -31.89 -24.99 -16.09 -1.39 11.01 15.01 12.61 6.61 -10.79 -23.79 -30.69
-24.49 -30.19 -28.49 -10.89 0.71 12.71 16.31 13.31 6.21 -9.69 -24.99 -27.29
-25.39 -30.59 -21.79 -13.49 0.51 10.21 14.31 12.41 4.31 -7.29 -19.29 -31.29
-25.29 -23.89 -23.49 -16.79 1.51 10.31 13.31 10.51 3.61 -9.49 -23.89 -29.59
-24.59 -25.59 -22.29 -15.89 0.31 11.71 13.81 13.21 6.91 -8.59 -27.09 -23.59
-26.99 -27.19 -21.39 -10.49 2.71 13.01 14.61 12.61 5.91 -4.89 -20.09 -29.59
-30.89 -23.79 -22.39 -13.19 -2.39 9.61 15.01 12.31 6.21 -6.09 -26.69 -27.89
-27.49 -26.99 -21.89 -15.09 1.31 11.11 16.01 13.21 6.31 -10.89 -26.29 -22.59
-26.99 -34.79 -22.39 -12.49 2.21 11.61 13.61 11.51 5.11 -4.49 -18.09 -30.69
-26.59 -22.49 -25.89 -15.09 -2.49 10.31 15.91 10.61 4.61 -9.19 -15.99 -22.99
-31.29 -24.29 -23.89 -10.29 1.41 12.51 13.31 10.61 3.91 -8.09 -17.59 -26.29
-28.09 -32.19 -21.69 -15.09 0.01 10.71 16.61 12.61 4.11 -7.49 -25.09 -33.69
-26.89 -26.69 -23.99 -11.59 0.11 11.91 17.01 11.01 6.61 -5.29 -22.69 -27.69
-34.79 -20.79 -20.09 -14.49 1.01 13.81 14.71 12.31 7.61 -7.29 -24.39 -25.19
-29.89 -33.79 -18.29 -7.59 4.11 12.71 15.01 13.21 4.71 -7.39 -20.59 -30.19
-26.83 -32.03 -25.13 -16.23 -1.53 10.87 14.87 12.47 6.47 -10.93 -23.93 -30.83
-24.63 -30.33 -28.63 -11.03 0.57 12.57 16.17 13.17 6.07 -9.83 -25.13 -27.43
-25.53 -30.73 -21.93 -13.63 0.37 10.07 14.17 12.27 4.17 -7.43 -19.43 -31.43
-25.43 -24.03 -23.63 -16.93 1.37 10.17 13.17 10.37 3.47 -9.63 -24.03 -29.73
-24.73 -25.73 -22.43 -16.03 0.17 11.57 13.67 13.07 6.77 -8.73 -27.23 -23.73
-27.13 -27.33 -21.53 -10.63 2.57 12.87 14.47 12.47 5.77 -5.03 -20.23 -29.73
-31.03 -23.93 -22.53 -13.33 -2.53 9.47 14.87 12.17 6.07 -6.23 -26.83 -28.03
-27.63 -27.13 -22.03 -15.23 1.17 10.97 15.87 13.07 6.17 -11.03 -26.43 -22.73
