"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
21.7 13.7 8.7 10.7 14.7 29.7 50.7 41.7 24.7 21.7 21.7 17.7
21.7 13.7 8.7 10.7 14.7 29.7 50.7 41.7 24.7 21.7 21.7 17.7
21.7 13.7 8.7 10.7 14.7 29.7 50.7 41.7 24.7 21.7 21.7 17.7
21.7 13.7 8.7 10.7 14.7 29.7 50.7 41.7 24.7 21.7 21.7 17.7
21.7 13.7 8.7 10.7 14.7 29.7 50.7 41.7 24.7 21.7 21.7 17.7
18.63 5.73 6.03 14.03 11.33 25.73 44.13 61.93 13.53 25.33 33.83 7.63
31.63 23.73 10.93 12.63 25.73 51.33 52.03 30.33 28.73 23.83 30.23 17.13
37.63 12.83 9.73 22.03 7.13 19.03 81.03 39.33 12.53 22.43 13.93 28.13
16.33 11.33 2.63 9.23 26.13 16.53 65.13 39.83 11.83 27.13 19.63 25.73
16.63 4.93 7.53 16.23 15.53 15.43 27.73 29.33 10.53 17.53 38.73 15.33
38.33 24.73 13.53 6.93 6.53 41.93 49.83 33.13 27.03 18.13 47.33 14.63
22.83 9.03 16.33 17.43 29.33 25.33 57.23 28.13 17.23 26.13 9.93 29.33
33.93 15.13 11.73 6.93 17.03 40.13 81.33 45.13 13.63 22.13 8.93 15.03
43.43 10.93 3.33 9.03 9.53 13.13 24.93 19.63 27.13 19.53 12.03 16.13
11.13 10.73 8.63 6.03 18.53 20.93 34.73 49.13 12.63 21.73 29.13 10.83
27.33 7.53 6.13 3.13 9.63 22.73 21.63 18.93 23.43 19.23 25.33 20.93
21.53 15.23 2.73 7.23 19.53 24.13 36.23 55.23 30.53 20.63 14.43 27.13
17.23 11.23 2.43 7.23 2.93 4.13 46.33 44.23 19.33 34.53 40.63 16.53
7.53 10.83 7.03 3.43 5.73 27.93 46.43 22.83 32.33 13.53 19.93 3.63
17.73 13.23 8.83 8.93 7.73 29.83 49.33 47.33 24.63 21.63 27.03 9.73
23.58 11.48 6.58 7.78 7.48 36.78 42.98 24.38 23.58 11.88 12.88 9.88
19.68 10.48 3.58 10.88 14.88 44.28 39.48 60.48 65.98 19.68 12.78 17.18
19.38 7.68 3.58 9.38 13.58 29.58 76.68 44.78 13.18 13.18 13.48 17.88
21.68 19.18 7.58 6.38 12.18 30.48 59.38 31.78 30.28 14.58 24.98 18.18
14.18 19.48 8.28 3.78 7.58 44.88 70.68 24.28 6.98 24.88 11.98 8.48
18.18 9.08 8.48 12.08 14.48 34.48 63.28 26.78 19.98 15.08 18.18 17.38
28.08 17.68 11.68 16.78 13.48 7.78 13.48 30.68 14.18 21.28 14.68 23.48
13.08 6.68 4.28 9.08 11.98 8.68 41.78 32.58 20.38 14.38 10.88 33.08
15.78 3.08 6.38 4.68 14.28 27.48 80.78 45.08 54.98 28.58 22.98 18.48
17.68 14.28 5.98 10.58 10.18 24.78 46.38 50.38 19.88 14.58 29.88 20.98
8.48 13.98 11.78 5.88 19.58 35.18 56.68 41.08 24.18 26.68 16.38 12.98
14.98 4.48 9.98 8.38 21.08 56.78 15.78 38.18 18.28 27.88 12.78 15.18
23.98 13.18 2.78 7.18 4.78 21.28 47.28 60.88 19.88 13.08 8.08 8.28
11.58 29.18 10.98 17.98 13.28 21.28 50.68 69.08 22.38 20.08 10.08 8.38
11.68 6.48 5.98 12.88 19.78 48.78 66.98 63.78 36.88 19.28 32.68 10.08
23.61 11.51 6.61 7.81 7.51 36.81 43.01 24.41 23.61 11.91 12.91 9.91
19.71 10.51 3.61 10.91 14.91 44.31 39.51 60.51 66.01 19.71 12.81 17.21
19.41 7.71 3.61 9.41 13.61 29.61 76.71 44.81 13.21 13.21 13.51 17.91
21.71 19.21 7.61 6.41 12.21 30.51 59.41 31.81 30.31 14.61 25.01 18.21
14.21 19.51 8.31 3.81 7.61 44.91 70.71 24.31 7.01 24.91 12.01 8.51
18.21 9.11 8.51 12.11 14.51 34.51 63.31 26.81 20.01 15.11 18.21 17.41
28.11 17.71 11.71 16.81 13.51 7.81 13.51 30.71 14.21 21.31 14.71 23.51
13.11 6.71 4.31 9.11 12.01 8.71 41.81 32.61 20.41 14.41 10.91 33.11
15.81 3.11 6.41 4.71 14.31 27.51 80.81 45.11 55.01 28.61 23.01 18.51
17.71 14.31 6.01 10.61 10.21 24.81 46.41 50.41 19.91 14.61 29.91 21.01
8.51 14.01 11.81 5.91 19.61 35.21 56.71 41.11 24.21 26.71 16.41 13.01
15.01 4.51 10.01 8.41 21.11 56.81 15.81 38.21 18.31 27.91 12.81 15.21
24.01 13.21 2.81 7.21 4.81 21.31 47.31 60.91 19.91 13.11 8.11 8.31
11.61 29.21 11.01 18.01 13.31 21.31 50.71 69.11 22.41 20.11 10.11 8.41
11.71 6.51 6.01 12.91 19.81 48.81 67.01 63.81 36.91 19.31 32.71 10.11
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 15.84 14.14 9.64
15.54 12.74 11.14 7.24 10.74 32.74 50.44 41.44 24.44 22.14 16.54 17.44
21.44 9.84 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 21.44 17.44
21.44 13.44 8.44 10.44 14.44 29.44 50.44 41.44 24.44 21.44 24.44 12.94
25.74 10.84 6.54 7.94 10.24 44.24 57.34 63.34 19.24 13.94 17.04 21.04
