"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.41 -29.31 -26.01 -13.01 -1.91 11.69 14.79 12.09 5.49 -7.51 -21.61 -27.61
-28.11 -26.91 -22.31 -12.71 1.09 11.69 14.79 12.09 5.49 -7.51 -21.71 -29.81
-31.01 -27.01 -19.81 -12.31 0.99 11.19 14.79 12.09 5.49 -7.51 -21.71 -27.61
-28.21 -26.91 -22.31 -12.71 1.09 11.69 14.89 12.09 5.49 -7.51 -21.71 -27.61
-35.01 -30.31 -24.21 -13.81 1.49 11.29 14.29 12.29 4.89 -7.21 -23.11 -31.11
-28.21 -27.31 -27.71 -15.01 1.99 11.29 14.59 9.79 3.89 -7.71 -21.01 -29.31
-27.31 -24.71 -18.41 -8.91 0.79 9.79 13.39 11.09 1.59 -9.61 -20.91 -27.61
-23.61 -25.41 -24.41 -13.51 -2.41 8.49 13.19 9.49 4.39 -10.61 -20.51 -25.61
-37.81 -28.91 -25.01 -14.91 -0.21 13.89 12.79 10.89 1.99 -9.41 -23.21 -25.71
-31.71 -30.61 -22.81 -14.21 -1.41 10.79 12.39 9.79 1.59 -10.21 -20.91 -32.91
-31.91 -31.11 -22.61 -15.81 0.29 11.49 13.29 11.49 5.19 -10.21 -18.81 -25.91
-33.41 -30.11 -19.21 -15.11 4.39 11.69 13.09 9.59 5.39 -6.11 -24.31 -28.01
-25.01 -25.41 -20.51 -13.81 0.19 10.79 13.69 12.89 5.49 -9.91 -24.01 -32.91
-20.91 -29.91 -26.21 -13.21 1.19 11.79 15.09 12.99 6.29 -9.61 -27.01 -28.01
-27.71 -26.51 -23.01 -14.31 2.19 13.79 12.79 9.89 7.19 -9.41 -23.81 -27.41
-29.11 -29.21 -24.01 -12.71 0.29 10.09 15.59 12.29 4.99 -8.41 -23.01 -29.11
-31.31 -23.71 -22.81 -12.81 1.09 8.39 14.79 11.19 4.89 -6.81 -26.31 -25.91
-35.61 -27.81 -26.71 -12.31 -0.41 12.39 15.29 10.49 4.59 -8.41 -20.11 -27.71
-30.71 -30.11 -21.11 -14.11 -0.11 11.99 15.59 12.99 5.69 -4.11 -22.11 -33.91
-33.21 -25.21 -22.21 -13.81 -0.31 9.59 13.69 12.89 4.59 -7.01 -20.61 -29.71
-27.11 -32.41 -25.21 -16.71 -2.01 9.89 13.99 11.69 5.79 -11.41 -24.11 -31.11
-25.01 -30.41 -28.81 -11.31 -0.11 11.69 14.99 12.29 5.39 -10.31 -25.21 -27.61
-25.51 -30.81 -21.71 -13.81 -0.11 9.19 13.29 11.49 3.49 -7.81 -19.71 -31.91
-25.51 -23.71 -23.71 -17.11 0.69 9.39 12.29 9.69 2.89 -9.91 -24.21 -30.21
-24.91 -25.71 -22.31 -16.31 -0.31 10.69 12.59 12.29 5.99 -9.21 -27.41 -24.01
-27.51 -27.51 -21.51 -10.81 1.89 11.99 13.49 11.69 5.09 -5.31 -20.41 -30.21
-31.31 -23.91 -22.41 -13.61 -3.11 8.59 13.89 11.29 5.39 -6.51 -27.11 -28.21
-27.91 -27.11 -22.01 -15.51 0.49 10.09 14.99 12.29 5.49 -11.51 -26.71 -22.61
-27.51 -35.21 -22.51 -12.71 1.69 10.79 12.59 10.59 4.29 -4.81 -18.51 -31.01
-27.01 -22.81 -26.41 -15.41 -3.31 9.19 14.89 9.69 3.79 -9.71 -16.11 -23.21
-31.71 -24.41 -24.11 -10.61 0.69 11.49 12.09 9.69 3.09 -8.61 -17.71 -26.51
-28.61 -32.51 -21.71 -15.51 -0.71 9.59 15.39 11.69 3.19 -7.91 -25.31 -34.21
-27.21 -27.01 -24.41 -12.01 -0.41 10.89 15.79 10.19 5.69 -5.81 -23.21 -28.31
-35.61 -20.91 -20.41 -15.01 0.29 12.89 13.59 11.39 6.69 -7.81 -24.91 -25.71
-30.31 -34.41 -18.71 -8.11 2.89 11.79 13.89 12.19 3.79 -7.91 -20.71 -30.51
-27.25 -32.55 -25.35 -16.85 -2.15 9.75 13.85 11.55 5.65 -11.55 -24.25 -31.25
-25.15 -30.55 -28.95 -11.45 -0.25 11.55 14.85 12.15 5.25 -10.45 -25.35 -27.75
-25.65 -30.95 -21.85 -13.95 -0.25 9.05 13.15 11.35 3.35 -7.95 -19.85 -32.05
-25.65 -23.85 -23.85 -17.25 0.55 9.25 12.15 9.55 2.75 -10.05 -24.35 -30.35
