"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-25.24 -25.14 -21.84 -8.84 2.26 15.86 18.96 16.26 9.66 -3.34 -17.44 -23.44
-23.94 -22.74 -18.14 -8.54 5.26 15.86 18.96 16.26 9.66 -3.34 -17.54 -25.64
-26.84 -22.84 -15.64 -8.14 5.16 15.36 18.96 16.26 9.66 -3.34 -17.54 -23.44
-24.04 -22.74 -18.14 -8.54 5.26 15.86 19.06 16.26 9.66 -3.34 -17.54 -23.44
-30.84 -26.14 -20.04 -9.64 5.66 15.46 18.46 16.46 9.06 -3.04 -18.94 -26.94
-24.09 -23.19 -23.59 -10.89 6.11 15.41 18.71 13.91 8.01 -3.59 -16.89 -25.19
-23.19 -20.59 -14.29 -4.79 4.91 13.91 17.51 15.21 5.71 -5.49 -16.79 -23.49
-19.49 -21.29 -20.29 -9.39 1.71 12.61 17.31 13.61 8.51 -6.49 -16.39 -21.49
-33.69 -24.79 -20.89 -10.79 3.91 18.01 16.91 15.01 6.11 -5.29 -19.09 -21.59
-27.59 -26.49 -18.69 -10.09 2.71 14.91 16.51 13.91 5.71 -6.09 -16.79 -28.79
-27.79 -26.99 -18.49 -11.69 4.41 15.61 17.41 15.61 9.31 -6.09 -14.69 -21.79
-29.29 -25.99 -15.09 -10.99 8.51 15.81 17.21 13.71 9.51 -1.99 -20.19 -23.89
-20.89 -21.29 -16.39 -9.69 4.31 14.91 17.81 17.01 9.61 -5.79 -19.89 -28.79
-16.79 -25.79 -22.09 -9.09 5.31 15.91 19.21 17.11 10.41 -5.49 -22.89 -23.89
-23.59 -22.39 -18.89 -10.19 6.31 17.91 16.91 14.01 11.31 -5.29 -19.69 -23.29
-24.99 -25.09 -19.89 -8.59 4.41 14.21 19.71 16.41 9.11 -4.29 -18.89 -24.99
-27.19 -19.59 -18.69 -8.69 5.21 12.51 18.91 15.31 9.01 -2.69 -22.19 -21.79
-31.49 -23.69 -22.59 -8.19 3.71 16.51 19.41 14.61 8.71 -4.29 -15.99 -23.59
-26.59 -25.99 -16.99 -9.99 4.01 16.11 19.71 17.11 9.81 0.01 -17.99 -29.79
-29.09 -21.09 -18.09 -9.69 3.81 13.71 17.81 17.01 8.71 -2.89 -16.49 -25.59
-22.95 -28.25 -21.05 -12.55 2.15 14.05 18.15 15.85 9.95 -7.25 -19.95 -26.95
-20.85 -26.25 -24.65 -7.15 4.05 15.85 19.15 16.45 9.55 -6.15 -21.05 -23.45
-21.35 -26.65 -17.55 -9.65 4.05 13.35 17.45 15.65 7.65 -3.65 -15.55 -27.75
-21.35 -19.55 -19.55 -12.95 4.85 13.55 16.45 13.85 7.05 -5.75 -20.05 -26.05
-20.75 -21.55 -18.15 -12.15 3.85 14.85 16.75 16.45 10.15 -5.05 -23.25 -19.85
-23.35 -23.35 -17.35 -6.65 6.05 16.15 17.65 15.85 9.25 -1.15 -16.25 -26.05
-27.15 -19.75 -18.25 -9.45 1.05 12.75 18.05 15.45 9.55 -2.35 -22.95 -24.05
