"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-39.7 -33.2 -33.6 -15.6 -6.9 5.4 8.6 5.2 -0.4 -11.4 -22.3 -24.9
-35.1 -39.1 -30.5 -20.5 -7 4.2 9.6 4.8 -2.5 -16.5 -24.4 -32.2
-41.4 -35.9 -27.2 -20.4 -8.5 2.7 8.1 5.4 0.3 -9.6 -21.7 -32.5
-37.3 -21.8 -21.4 -21.5 -7.1 2.4 8.8 4.4 -1.5 -13.8 -24.2 -30.4
-29.5 -31.4 -25.3 -18.7 -11.5 3.2 6.6 5.1 -0.9 -12.8 -30 -34.1
-37.4 -34.7 -26.2 -17.9 -11.4 3 5.2 6 1 -11.4 -25.3 -23.4
-30 -35.1 -29 -22.6 -5.8 3.9 7.5 4.8 -1.7 -12.4 -29.5 -37.3
-36.6 -27 -28.8 -27.7 -8.3 4.8 9.1 5.2 -0.7 -10.9 -28.4 -28.3
-26.2 -28.8 -33.8 -17.1 -9 2.6 8.1 6.6 0.2 -11.2 -21.6 -33.9
-41.9 -29.2 -32.4 -21.8 -9.2 2.3 8.5 5.7 1.9 -12.7 -27.2 -29.1
-31.2 -33.8 -32.8 -20.3 -9.4 5.3 8.7 6.1 -0.4 -13.2 -25.4 -30.5
-29.9 -30.9 -28.1 -19.9 -5.9 5.3 8.7 6.1 -0.4 -13.2 -25.4 -35.6
-36.7 -30.9 -22.4 -18.9 -6 4.2 8.6 6.1 -0.4 -13.2 -25.4 -30.5
-29.9 -30.9 -28.1 -19.9 -5.9 5.3 8.7 6.1 -0.4 -13.2 -25.4 -30.5
-38.1 -34.9 -30.6 -21.3 -5.5 4.9 8.1 6.7 -0.9 -12.6 -27 -34.5
-28.9 -29.6 -31.4 -23.6 -11.6 3 8.3 5.3 -1.2 -12.9 -31.6 -39.6
-39.3 -22.3 -23.9 -17.1 -3.4 4.6 7.1 4.8 -1.6 -13.3 -26.7 -30.6
-39.2 -28.6 -25.1 -21.3 -6.3 4.8 7.8 7 -1.5 -13.3 -29.1 -35.1
-39.7 -36.8 -25.4 -24 -7.8 3.6 8.5 4.8 -0.8 -13.2 -25.4 -30.5
-37.8 -36.7 -32.1 -19.9 -5.9 5.3 8.7 6.1 -0.4 -13.2 -25.4 -30.5
