"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13 7.9 3.7 4.6 11.8 16.1 30.1 29.4 18.6 13.2 14.6 15.9
13.5 9.1 4.4 4.1 10.6 18.9 35 28 16.9 14.2 19.3 11.4
13.4 8 4.8 5.4 5.6 28.6 33.7 26.5 20.1 16.1 15.7 11.4
12 11.7 4.3 5 8 15.1 29.3 23.6 17.6 15.7 16.3 10.6
14.9 12.1 5.1 4.1 6 15.9 36.3 30.7 25 16 14.5 10.4
12.5 10.5 5 4.5 6.2 19.8 27.1 32.2 18.2 16 14.8 15.1
14 8 5.2 3.6 8 22.2 37.3 24.9 19 16 17 13
16 10 5 5 8 19 36 32 13.8 13.4 18 11
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 41.1 31.6 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 13.4 13.4 9.3
13.3 9.7 6.2 3.9 6.6 20.3 36 32 19 16.3 14.6 13
16 8.2 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 17 13
16 10 5 5 8 19 36 32 19 16 18.5 10.9
18 8.7 4.1 4.1 6.5 24.7 38.8 41.8 16.5 12.5 14.9 14.7
17 10.1 4.9 4.8 6.8 22 28.3 28.9 15.9 16.2 14.8 12.8
14.5 8.9 4.9 3.5 6.9 13.4 31.6 31 18.6 13.3 14.6 12.3
16 7 3.5 6.6 9.6 15.2 33.4 30.1 18.2 17.4 15.4 9.6
12.9 7.5 5.1 4.1 5.9 20.6 36.3 30.3 22.6 14.4 16.6 11.4
12.3 8.4 5.3 4.1 6.3 18 29.4 24.7 20.8 16.1 17.5 13.4
13.3 10.9 7 4.4 7.3 21.7 38.7 28.9 16.6 12.4 11.1 13.9
9.2 14.3 6.2 3.4 7 22.9 20.1 29 20.3 10.6 17.3 12.1
9.9 8.4 6.1 3.3 7.2 41.3 26.5 22.9 16.1 12.3 15.1 11
10.3 8.5 4.6 6.2 5.3 21.2 23.3 42.3 13.9 11.9 12.2 11.7
14.8 11.6 3.8 4.7 4 36.9 69.3 25.7 20.2 12.7 10.6 14.4
11.7 11.5 5.5 2.7 5.8 29 41.1 25.8 16.9 15.3 15.5 17.8
8.3 19.3 8.2 4.5 6.5 19.4 38.5 28.9 16.5 10.7 12.7 10.4
11.6 5.7 4.5 5.9 12.8 14.3 32.5 54.3 17.8 10.5 15.9 13.9
10.2 5.9 3.9 2.5 8.8 23.8 27.9 38.9 19.1 17.3 9 10.4
11.9 12 5.8 2.7 3.5 14 39.5 25.3 15.4 18.7 15.3 5.5
9.7 8.1 4.7 3.6 6.1 24 38.7 25.2 26.2 20.3 12.1 9.4
11.7 8.4 5.2 3 6.5 27.6 57.8 39.5 22.3 23.8 17.4 16.7
6.5 6.9 5.2 8.1 7.5 23.9 54.9 24.3 25 18.4 18.3 12.1
7.2 6.2 5.2 1.4 5.3 17.2 32.4 53.1 20.3 15.5 22.4 14.2
13.8 19.4 5.8 3.1 13 22.5 24.5 31.6 21.6 28.3 13.4 6.9
13.1 10.7 5.7 5.5 7.4 13.8 48.3 36.7 15.6 11.6 10.2 6.9
15.1 8.3 10.1 3.9 4.9 27.6 46.6 34.5 6.3 16 8.6 13.8
27.5 13 5.2 3.3 7.2 18.1 53 49.4 14.3 16.9 18.9 9.4
9 5.6 6.8 2.7 5.5 15.6 27.3 17.5 17.4 17.7 12.5 14.2
13.6 8.4 3.2 5.3 6.1 12.2 33.4 26.8 15.9 21.9 14.4 8.4
15.7 10.4 2.5 3.5 6.5 11.3 36.1 31.4 23 13.1 25 5.3
20.5 7.5 7.6 9.2 7.3 33.8 42.5 35.7 19.9 12.9 17.3 12.9
7 5.7 12.2 3.5 9.2 22.8 35.5 42 27.8 9.6 9.1 16.6
21.9 6.7 4.6 9.1 8 14.2 51.3 24.3 26.8 19.6 8.1 15.5
27.4 13.9 5.8 7.5 8.5 20.9 57.4 48.5 16.4 23.3 11.3 11.9
13.3 7.1 12.6 3.8 6.8 24.3 33 26.8 11.2 20.1 19.8 18.2
21.1 14.5 1.8 8.2 6.9 31.4 38.7 45.2 21.8 12.8 10.6 8.8
13.3 13.3 9.3 2 7.6 21.6 21.1 43.6 19.1 20.1 8.5 13.8
14.5 5.6 5 7 8.5 13.3 31.6 48.8 12 18.6 31.8 9.1
26.1 20.8 8.9 6.9 10.3 36 44.1 51.4 22.4 19.4 20.8 14.3
30.9 13.2 6.6 10.7 5.5 18.4 41.3 29.6 14.4 20 17 20.4
16.3 9.7 2.1 3.9 11.9 13.7 56.1 31.7 16.9 20.4 17.9 19.3
16.8 3.5 5.6 6.8 6.3 12.8 19.3 27.1 13.3 17.1 44.2 10.6
29.8 21.6 9.5 4.3 6.8 34 37.1 25.8 21.5 13.2 40.9 10.8
27.3 7.4 12.7 12.1 17.8 20.3 40.9 19.2 13 21.2 8.3 27.3
26.7 15.9 7.6 2.7 12.1 26.5 46.9 41.9 11.6 21 13.5 15.2
37.9 5.6 2.3 4.5 4 9 16.4 15.9 20.6 14.9 6.1 15.1
5.5 7.3 4.7 3 13.5 15.2 21.6 36.6 10 12.5 27.1 8.3
17.6 8.1 4.8 1.1 4.6 14.1 19.2 14.6 17.2 17 20.4 18.1
13.5 12 1.6 3.9 8.6 13.4 30.9 40.3 18.1 17.8 11.5 20.5
11.5 6.6 1.4 3.5 2.4 4.4 50.2 40.9 19.5 26.4 28 10.3
6.4 6.8 3.5 1.1 3.9 18.7 34.3 16.1 24.1 8.8 18.5 2
10.4 10.6 6.9 5.3 4.5 18.7 32.7 39.2 17.6 16.6 23.5 7.5
15.7 6.7 4.5 4.4 3.6 31.2 34.4 20 15.7 9.2 7.3 6.2
17.1 9.1 1.8 5.1 9 22.6 20.5 49.3 55.6 15.8 10.3 15.3
20 6.8 1.3 6.1 7.3 17.1 49.5 35.4 7.6 10 9.6 10.5
15.6 16.4 5 3 8.2 17.9 49.1 34 28.6 9.9 16.7 13.6
9.5 15.3 5.2 1.2 3 31.8 53.4 20.5 6.6 16.9 8.3 6.4
11.9 7.6 6.7 6.3 7.9 24.4 54.8 22.5 18.6 11.5 8.6 13.2
18.4 14.1 7.2 11.3 10 7.7 7.1 17.1 12.9 16.5 14.3 17.9
10.6 5.5 2.8 5 6 9.1 28.3 25.9 22.2 12.1 7.7 30.7
12.5 1.8 2.4 3.1 14 15.1 61.4 41.3 34 18.7 15 13.1
13.3 11.3 3.9 3.5 5.1 16.7 32.1 33.4 16.6 10.8 23.4 12.6
4.7 10.1 7.2 2.3 12.2 19.1 41.2 23.3 22.7 14.6 10.1 11
12.1 1.9 7.1 3.6 8.5 35.1 12.8 31.8 16 23.1 8.8 13
