"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.15 8.05 3.85 4.75 11.95 16.25 30.25 29.55 18.75 13.35 14.75 16.05
13.65 9.25 4.55 4.25 10.75 19.05 35.15 28.15 17.05 14.35 19.45 11.55
13.55 8.15 4.95 5.55 5.75 28.75 33.85 26.65 20.25 16.25 15.85 11.55
12.15 11.85 4.45 5.15 8.15 15.25 29.45 23.75 17.75 15.85 16.45 10.75
15.05 12.25 5.25 4.25 6.15 16.05 36.45 30.85 25.15 16.15 14.65 10.55
12.65 10.65 5.15 4.65 6.35 19.95 27.25 32.35 18.35 16.15 14.95 15.25
14.15 8.15 5.35 3.75 8.15 22.35 37.45 25.05 19.15 16.15 17.15 13.15
16.15 10.15 5.15 5.15 8.15 19.15 36.15 32.15 13.95 13.55 18.15 11.15
16.15 10.15 5.15 5.15 8.15 19.15 36.15 32.15 19.15 16.15 17.15 13.15
16.15 10.15 5.15 5.15 8.15 19.15 41.25 31.75 19.15 16.15 17.15 13.15
16.15 10.15 5.15 5.15 8.15 19.15 36.15 32.15 19.15 16.15 17.15 13.15
16.15 10.15 5.15 5.15 8.15 19.15 36.15 32.15 19.15 16.15 17.15 13.15
16.15 10.15 5.15 5.15 8.15 19.15 36.15 32.15 19.15 16.15 17.15 13.15
16.15 10.15 5.15 5.15 8.15 19.15 36.15 32.15 19.15 16.15 17.15 13.15
16.15 10.15 5.15 5.15 8.15 19.15 36.15 32.15 19.15 16.15 17.15 13.15
6.32 5.32 4.32 0.52 4.42 16.32 31.52 52.22 19.42 14.62 21.52 13.32
12.92 18.52 4.92 2.22 12.12 21.62 23.62 30.72 20.72 27.42 12.52 6.02
12.22 9.82 4.82 4.62 6.52 12.92 47.42 35.82 14.72 10.72 9.32 6.02
14.22 7.42 9.22 3.02 4.02 26.72 45.72 33.62 5.42 15.12 7.72 12.92
26.62 12.12 4.32 2.42 6.32 17.22 52.12 48.52 13.42 16.02 18.02 8.52
8.12 4.72 5.92 1.82 4.62 14.72 26.42 16.62 16.52 16.82 11.62 13.32
12.72 7.52 2.32 4.42 5.22 11.32 32.52 25.92 15.02 21.02 13.52 7.52
14.82 9.52 1.62 2.62 5.62 10.42 35.22 30.52 22.12 12.22 24.12 4.42
19.62 6.62 6.72 8.32 6.42 32.92 41.62 34.82 19.02 12.02 16.42 12.02
6.12 4.82 11.32 2.62 8.32 21.92 34.62 41.12 26.92 8.72 8.22 15.72
21.02 5.82 3.72 8.22 7.12 13.32 50.42 23.42 25.92 18.72 7.22 14.62
26.52 13.02 4.92 6.62 7.62 20.02 56.52 47.62 15.52 22.42 10.42 11.02
12.42 6.22 11.72 2.92 5.92 23.42 32.12 25.92 10.32 19.22 18.92 17.32
20.22 13.62 0.92 7.32 6.02 30.52 37.82 44.32 20.92 11.92 9.72 7.92
