"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.08 12.08 7.08 7.08 10.08 21.08 38.08 34.08 21.08 18.08 19.08 15.08
18.08 12.08 7.08 7.08 10.08 21.08 38.08 34.08 21.08 18.08 19.08 15.08
18.08 12.08 7.08 7.08 10.08 21.08 38.08 34.08 21.08 18.08 19.08 15.08
18.08 12.08 7.08 7.08 10.08 21.08 38.08 34.08 21.08 18.08 19.08 15.08
18.08 12.08 7.08 7.08 10.08 21.08 38.08 34.08 21.08 18.08 19.08 15.08
15.45 6.55 5.95 7.95 9.45 14.25 32.55 49.75 12.95 19.55 32.75 10.05
27.05 21.75 9.85 7.85 11.25 36.95 45.05 52.35 23.35 20.35 21.75 15.25
31.85 14.15 7.55 11.65 6.45 19.35 42.25 30.55 15.35 20.95 17.95 21.35
17.25 10.65 3.05 4.85 12.85 14.65 57.05 32.65 17.85 21.35 18.85 20.25
17.75 4.45 6.55 7.75 7.25 13.75 20.25 28.05 14.25 18.05 45.15 11.55
30.75 22.55 10.45 5.25 7.75 34.95 38.05 26.75 22.45 14.15 41.85 11.75
28.25 8.35 13.65 13.05 18.75 21.25 41.85 20.15 13.95 22.15 9.25 28.25
27.65 16.85 8.55 3.65 13.05 27.45 47.85 42.85 12.55 21.95 14.45 16.15
38.85 6.55 3.25 5.45 4.95 9.95 17.35 16.85 21.55 15.85 7.05 16.05
6.45 8.25 5.65 3.95 14.45 16.15 22.55 37.55 10.95 13.45 28.05 9.25
18.55 9.05 5.75 2.05 5.55 15.05 20.15 15.55 18.15 17.95 21.35 19.05
14.45 12.95 2.55 4.85 9.55 14.35 31.85 41.25 19.05 18.75 12.45 21.45
12.45 7.55 2.35 4.45 3.35 5.35 51.15 41.85 20.45 27.35 28.95 11.25
7.35 7.75 4.45 2.05 4.85 19.65 35.25 17.05 25.05 9.75 19.45 2.95
11.35 11.55 7.85 6.25 5.45 19.65 33.65 40.15 18.55 17.55 24.45 8.45
17.76 8.76 6.56 6.46 5.66 33.26 36.46 22.06 17.76 11.26 9.36 8.26
19.16 11.16 3.86 7.16 11.06 24.66 22.56 51.36 57.66 17.86 12.36 17.36
22.06 8.86 3.36 8.16 9.36 19.16 51.56 37.46 9.66 12.06 11.66 12.56
17.66 18.46 7.06 5.06 10.26 19.96 51.16 36.06 30.66 11.96 18.76 15.66
11.56 17.36 7.26 3.26 5.06 33.86 55.46 22.56 8.66 18.96 10.36 8.46
