"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-27.78 -28.18 -25.08 -12.48 -0.98 13.12 16.22 13.42 6.72 -6.58 -20.38 -26.28
-26.58 -25.78 -21.38 -12.18 1.92 13.12 16.22 13.42 6.72 -6.58 -20.38 -28.68
-29.78 -25.78 -18.68 -11.68 1.92 12.62 16.22 13.42 6.72 -6.58 -20.38 -26.28
-26.58 -25.78 -21.38 -12.18 1.92 13.12 16.22 13.42 6.72 -6.58 -20.38 -26.28
-33.18 -28.98 -23.38 -13.28 2.22 12.82 15.72 13.72 6.22 -6.18 -21.68 -29.58
-26.76 -26.36 -26.56 -14.56 2.84 12.74 16.04 11.04 5.04 -6.76 -19.46 -27.96
-25.66 -23.66 -17.76 -8.46 1.44 11.14 14.74 12.34 2.84 -8.56 -19.66 -26.16
-22.26 -24.16 -23.56 -12.86 -1.56 9.94 14.74 10.84 5.54 -9.86 -19.26 -24.36
-36.06 -27.56 -24.16 -14.36 0.54 15.24 14.24 12.34 3.24 -8.36 -21.86 -24.56
-29.56 -29.56 -22.06 -13.66 -0.66 12.24 13.84 11.14 2.84 -9.36 -19.46 -31.66
-30.36 -30.06 -21.96 -15.26 1.14 12.94 14.64 12.74 6.34 -9.26 -17.16 -24.66
-31.76 -29.06 -18.46 -14.36 5.14 13.14 14.54 10.94 6.64 -4.96 -22.76 -26.46
-23.56 -24.36 -19.56 -13.36 1.14 12.24 15.24 14.34 6.84 -8.76 -22.66 -31.46
-19.56 -28.76 -25.36 -12.46 2.24 13.34 16.54 14.24 7.54 -8.56 -25.76 -26.56
-25.96 -25.36 -22.36 -13.76 3.04 15.14 14.14 11.24 8.24 -8.46 -22.36 -25.96
-27.76 -27.76 -23.06 -12.16 1.04 11.74 16.94 13.74 6.44 -7.46 -21.66 -27.66
-29.86 -22.56 -21.96 -12.26 2.14 9.84 16.14 12.54 6.24 -5.96 -25.16 -24.66
-33.76 -26.66 -25.76 -11.76 0.24 13.94 16.64 11.84 5.64 -7.56 -18.86 -26.46
-29.16 -29.16 -20.26 -13.46 0.64 13.44 17.14 14.44 7.04 -3.06 -20.66 -32.56
-31.36 -23.96 -21.46 -13.26 0.44 10.94 15.14 14.04 5.84 -6.36 -19.36 -28.46
-25.64 -30.94 -24.34 -16.04 -1.14 11.46 15.36 13.06 7.06 -10.34 -22.74 -29.84
-23.54 -29.34 -27.74 -10.84 0.86 13.16 16.66 13.86 6.76 -9.14 -23.84 -26.34
-24.14 -29.74 -21.14 -13.34 0.86 10.76 14.66 12.86 4.76 -6.74 -18.24 -30.34
-24.14 -22.74 -22.84 -16.54 1.66 10.86 13.76 10.96 4.06 -9.04 -22.94 -28.64
-23.54 -24.64 -21.64 -15.64 0.46 12.16 14.16 13.56 7.26 -8.24 -26.14 -22.74
-25.94 -26.14 -20.64 -10.34 2.86 13.36 14.96 13.06 6.36 -4.44 -19.14 -28.54
-29.54 -22.74 -21.64 -13.04 -2.34 10.06 15.36 12.76 6.66 -5.74 -25.64 -26.84
-26.44 -26.14 -21.24 -14.84 1.46 11.46 16.36 13.56 6.66 -10.44 -25.14 -21.64
-25.94 -33.94 -21.74 -12.34 2.26 12.16 14.06 11.96 5.66 -3.94 -17.14 -29.64
-25.54 -21.64 -25.44 -15.04 -2.34 10.76 16.36 11.06 5.06 -8.84 -14.94 -22.24
-30.34 -23.34 -23.34 -10.24 1.56 12.96 13.66 11.06 4.36 -7.74 -16.54 -25.24
-26.84 -31.34 -20.94 -14.84 0.26 11.16 16.86 13.16 4.56 -6.94 -24.14 -32.84
-25.74 -25.74 -23.44 -11.44 0.26 12.26 17.26 11.46 7.06 -4.94 -21.74 -26.84
-33.74 -19.74 -19.44 -14.24 1.16 14.26 15.06 12.76 8.06 -6.64 -23.24 -24.24
-28.84 -32.84 -17.74 -7.44 4.46 13.16 15.46 13.76 5.16 -6.94 -19.54 -29.14
-25.84 -31.14 -24.54 -16.24 -1.34 11.26 15.16 12.86 6.86 -10.54 -22.94 -30.04
-23.74 -29.54 -27.94 -11.04 0.66 12.96 16.46 13.66 6.56 -9.34 -24.04 -26.54
-24.34 -29.94 -21.34 -13.54 0.66 10.56 14.46 12.66 4.56 -6.94 -18.44 -30.54
-24.34 -22.94 -23.04 -16.74 1.46 10.66 13.56 10.76 3.86 -9.24 -23.14 -28.84
-23.74 -24.84 -21.84 -15.84 0.26 11.96 13.96 13.36 7.06 -8.44 -26.34 -22.94
-26.14 -26.34 -20.84 -10.54 2.66 13.16 14.76 12.86 6.16 -4.64 -19.34 -28.74
-29.74 -22.94 -21.84 -13.24 -2.54 9.86 15.16 12.56 6.46 -5.94 -25.84 -27.04
-26.64 -26.34 -21.44 -15.04 1.26 11.26 16.16 13.36 6.46 -10.64 -25.34 -21.84
-26.14 -34.14 -21.94 -12.54 2.06 11.96 13.86 11.76 5.46 -4.14 -17.34 -29.84
-25.74 -21.84 -25.64 -15.24 -2.54 10.56 16.16 10.86 4.86 -9.04 -15.14 -22.44
-30.54 -23.54 -23.54 -10.44 1.36 12.76 13.46 10.86 4.16 -7.94 -16.74 -25.44
-27.04 -31.54 -21.14 -15.04 0.06 10.96 16.66 12.96 4.36 -7.14 -24.34 -33.04
