"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-28.22 -28.62 -25.52 -13.12 -1.22 12.88 15.98 13.08 6.38 -7.02 -20.92 -26.82
-27.12 -26.42 -22.12 -12.82 1.48 12.88 15.98 13.08 6.38 -7.02 -20.92 -29.02
-30.02 -26.42 -19.62 -12.42 1.48 12.38 15.98 13.08 6.38 -7.02 -20.92 -26.82
-27.12 -26.42 -22.02 -12.82 1.48 12.88 15.98 13.08 6.38 -7.02 -20.92 -26.82
-33.32 -29.52 -23.82 -13.82 1.78 12.58 15.48 13.38 5.88 -6.72 -22.22 -29.92
-27.26 -27.46 -26.96 -15.26 2.74 12.74 15.74 10.64 4.94 -7.06 -19.76 -28.66
-25.96 -23.96 -18.56 -9.36 0.84 10.94 14.64 12.04 2.64 -8.76 -19.96 -26.56
-23.16 -24.86 -24.06 -13.26 -1.66 9.94 14.64 10.44 5.24 -10.46 -19.86 -24.86
-36.46 -28.26 -24.86 -15.06 -0.06 14.94 14.04 12.24 3.24 -8.46 -22.56 -25.46
-29.26 -30.36 -22.76 -14.26 -1.26 11.84 13.74 10.84 2.64 -9.96 -19.66 -31.96
-30.56 -30.66 -23.06 -15.86 0.74 12.64 14.54 12.54 5.94 -9.66 -17.16 -25.36
-31.86 -29.76 -18.76 -14.46 4.64 12.94 14.34 10.64 6.34 -5.16 -23.06 -26.46
-24.36 -25.36 -20.16 -14.06 0.84 12.24 15.34 14.24 6.44 -8.76 -22.96 -31.56
-20.66 -29.56 -25.86 -12.86 2.14 13.14 16.14 13.54 7.24 -8.96 -26.56 -27.06
-26.66 -25.96 -22.96 -14.46 2.64 14.74 14.04 11.14 7.64 -8.96 -22.46 -26.26
-28.26 -28.36 -23.46 -12.96 0.64 11.74 16.74 13.34 6.34 -7.96 -21.76 -27.96
-30.16 -23.36 -22.66 -12.86 1.84 9.74 15.94 12.34 6.14 -6.46 -25.56 -25.06
-33.66 -27.16 -26.06 -12.46 -0.36 13.64 16.14 11.44 4.94 -7.96 -19.56 -27.26
-29.66 -29.86 -20.86 -13.96 0.04 13.04 16.94 14.14 6.84 -3.36 -21.36 -32.86
-31.66 -24.46 -21.96 -13.96 -0.16 10.64 14.74 13.44 5.24 -7.56 -20.26 -29.36
-26.53 -31.23 -24.63 -16.73 -1.43 11.27 15.07 12.77 6.77 -10.73 -23.53 -30.53
-24.43 -30.03 -28.23 -11.73 0.27 12.87 16.57 13.77 6.77 -9.13 -24.23 -26.83
-24.53 -30.43 -21.93 -13.83 0.47 10.67 14.57 12.77 4.67 -6.93 -18.63 -30.53
-24.53 -23.73 -23.23 -16.93 1.17 10.87 13.77 10.87 3.97 -9.23 -23.53 -29.03
-24.73 -25.23 -22.33 -16.03 -0.13 12.07 14.07 13.07 6.97 -8.63 -26.63 -23.83
-26.53 -26.43 -21.13 -10.93 2.57 13.07 14.67 12.67 5.77 -5.13 -20.13 -28.93
-29.63 -22.93 -22.23 -13.73 -3.03 10.07 15.17 12.57 6.27 -6.43 -25.93 -27.23
-27.23 -27.13 -21.93 -15.13 1.17 11.17 16.07 13.17 6.07 -10.83 -25.43 -22.23
-26.43 -34.03 -22.43 -13.53 1.37 12.07 13.97 11.57 5.67 -4.33 -17.83 -29.83
-26.23 -22.43 -26.23 -15.93 -2.43 10.77 16.17 10.77 4.57 -9.43 -15.73 -23.43
-31.03 -24.13 -23.93 -11.03 1.37 12.67 13.67 10.87 4.07 -8.33 -17.13 -25.83
-27.33 -31.83 -21.63 -15.33 0.27 11.07 16.67 12.87 4.17 -7.23 -24.83 -33.03
-26.03 -26.33 -23.83 -11.93 -0.13 11.97 16.97 11.17 6.57 -5.53 -22.53 -27.43
-33.83 -20.33 -19.83 -14.43 0.67 13.77 14.87 12.47 7.77 -6.73 -23.43 -24.93
-29.43 -32.83 -18.63 -8.13 4.27 12.97 15.27 13.87 5.27 -7.23 -20.33 -29.53
-26.73 -31.43 -24.83 -16.93 -1.63 11.07 14.87 12.57 6.57 -10.93 -23.73 -30.73
-24.63 -30.23 -28.43 -11.93 0.07 12.67 16.37 13.57 6.57 -9.33 -24.43 -27.03
-24.73 -30.63 -22.13 -14.03 0.27 10.47 14.37 12.57 4.47 -7.13 -18.83 -30.73
-24.73 -23.93 -23.43 -17.13 0.97 10.67 13.57 10.67 3.77 -9.43 -23.73 -29.23
-24.93 -25.43 -22.53 -16.23 -0.33 11.87 13.87 12.87 6.77 -8.83 -26.83 -24.03
-26.73 -26.63 -21.33 -11.13 2.37 12.87 14.47 12.47 5.57 -5.33 -20.33 -29.13
