"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.77 -35.47 -28.87 -20.97 -5.67 7.03 10.83 8.53 2.53 -14.97 -27.77 -34.77
-28.67 -34.27 -32.47 -15.97 -3.97 8.63 12.33 9.53 2.53 -13.37 -28.47 -31.07
-28.77 -34.67 -26.17 -18.07 -3.77 6.43 10.33 8.53 0.43 -11.17 -22.87 -34.77
-28.77 -27.97 -27.47 -21.17 -3.07 6.63 9.53 6.63 -0.27 -13.47 -27.77 -33.27
-28.97 -29.47 -26.57 -20.27 -4.37 7.83 9.83 8.83 2.73 -12.87 -30.87 -28.07
-30.77 -30.67 -25.37 -15.17 -1.67 8.83 10.43 8.43 1.53 -9.37 -24.37 -33.17
-33.87 -27.17 -26.47 -17.97 -7.27 5.83 10.93 8.33 2.03 -10.67 -30.17 -31.47
-31.47 -31.37 -26.17 -19.37 -3.07 6.93 11.83 8.93 1.83 -15.07 -29.67 -26.47
-30.67 -38.27 -26.67 -17.77 -2.87 7.83 9.73 7.33 1.43 -8.57 -22.07 -34.07
-30.47 -26.67 -30.47 -20.17 -6.67 6.53 11.93 6.53 0.33 -13.67 -19.97 -27.67
-35.27 -28.37 -28.17 -15.27 -2.87 8.43 9.43 6.63 -0.17 -12.57 -21.37 -30.07
-31.57 -36.07 -25.87 -19.57 -3.97 6.83 12.43 8.63 -0.07 -11.47 -29.07 -37.27
-30.27 -30.57 -28.07 -16.17 -4.37 7.73 12.73 6.93 2.33 -9.77 -26.77 -31.67
-38.07 -24.57 -24.07 -18.67 -3.57 9.53 10.63 8.23 3.53 -10.97 -27.67 -29.17
-33.67 -37.07 -22.87 -12.37 0.03 8.73 11.03 9.63 1.03 -11.47 -24.57 -33.77
-35.34 -34.84 -25.64 -18.64 -4.94 6.76 10.36 7.46 0.36 -12.44 -27.14 -32.24
-35.14 -31.64 -26.04 -17.74 -5.74 6.86 10.46 7.46 0.56 -12.34 -26.74 -33.34
-34.94 -32.24 -26.74 -18.54 -4.14 6.66 10.46 7.26 -0.14 -10.94 -27.84 -28.84
-34.84 -29.84 -28.74 -19.74 -3.94 7.26 10.76 7.46 1.56 -11.04 -23.14 -29.94
-35.34 -33.64 -25.64 -17.94 -5.34 6.86 10.96 7.66 1.66 -12.24 -24.64 -29.34
-37.34 -32.24 -31.14 -16.64 -5.64 8.26 11.26 8.26 -0.04 -11.94 -25.64 -35.74
-34.04 -28.44 -26.94 -19.64 -6.44 7.06 10.56 9.16 2.56 -9.14 -21.54 -24.84
-31.34 -27.24 -28.74 -15.24 -7.34 7.16 11.26 6.76 0.36 -12.94 -24.04 -30.84
-41.64 -31.64 -27.84 -18.84 -3.54 8.36 9.46 7.26 2.76 -10.04 -24.24 -32.54
-28.84 -31.84 -25.24 -14.04 -1.54 8.36 10.96 7.76 -0.54 -11.44 -22.74 -32.14
-33.04 -31.24 -28.54 -18.44 -5.84 6.76 11.56 8.26 1.56 -9.74 -28.24 -32.24
-28.64 -30.54 -30.84 -18.54 -6.44 6.46 9.96 6.36 0.96 -12.84 -25.44 -30.54
-30.84 -32.24 -24.04 -15.04 -0.94 8.56 9.86 6.86 1.16 -10.64 -23.54 -32.84
-33.94 -33.94 -26.84 -20.94 -1.94 7.56 9.86 9.36 3.06 -10.04 -22.94 -30.04
-36.14 -33.44 -30.24 -13.74 -2.54 5.96 10.46 8.46 0.36 -11.84 -23.04 -30.04
-39.33 -32.93 -30.43 -13.83 -3.63 8.57 11.37 7.87 1.87 -10.23 -23.23 -26.63
-35.53 -37.13 -28.13 -17.83 -3.83 7.77 12.17 7.57 0.17 -14.33 -24.73 -32.83
-40.63 -34.73 -26.13 -17.83 -4.83 6.27 11.07 8.07 2.37 -8.83 -22.53 -32.93
-37.23 -24.23 -21.53 -18.73 -4.03 6.27 11.67 7.37 1.17 -12.23 -24.43 -31.23
-31.53 -31.33 -24.43 -16.23 -7.53 6.87 9.67 7.87 1.57 -11.33 -29.03 -34.03
-37.23 -33.73 -25.03 -15.63 -7.13 6.67 8.87 8.57 2.97 -10.23 -25.43 -26.03
-31.83 -33.93 -27.33 -19.33 -3.03 7.47 10.57 7.47 0.87 -10.83 -28.43 -36.53
-36.63 -28.13 -27.23 -22.93 -4.73 8.17 11.87 7.87 1.87 -9.53 -27.73 -29.43
-28.73 -29.43 -30.73 -14.93 -5.33 6.37 11.17 8.97 2.37 -10.53 -22.53 -33.93
-40.83 -29.33 -29.53 -18.73 -5.43 6.17 11.17 8.37 3.77 -11.03 -26.63 -30.23
-32.63 -33.03 -29.93 -17.53 -5.63 8.47 11.57 8.67 1.97 -11.43 -25.33 -31.23
-31.53 -30.83 -26.53 -17.23 -2.93 8.47 11.57 8.67 1.97 -11.43 -25.33 -33.43
-34.43 -30.83 -24.03 -16.83 -2.93 7.97 11.57 8.67 1.97 -11.43 -25.33 -31.23
-31.53 -30.83 -26.43 -17.23 -2.93 8.47 11.57 8.67 1.97 -11.43 -25.33 -31.23
-37.73 -33.93 -28.23 -18.23 -2.63 8.17 11.07 8.97 1.47 -11.13 -26.63 -34.33
-35.09 -35.79 -30.39 -18.89 -3.89 6.81 10.11 7.41 0.91 -13.19 -24.59 -33.49
-34.09 -25.59 -26.99 -16.19 -5.19 6.51 8.81 7.71 2.61 -9.59 -23.29 -33.99
-34.49 -28.09 -25.79 -14.79 -0.59 8.01 8.71 8.41 -0.09 -13.29 -27.09 -33.69
-34.09 -31.89 -25.19 -17.19 -4.79 6.11 9.61 6.31 0.21 -11.89 -27.79 -28.39
-24.39 -28.69 -29.29 -20.89 -8.79 5.71 8.81 6.61 -0.99 -11.79 -23.89 -34.09
-34.39 -32.79 -24.39 -18.69 -3.29 8.31 10.81 7.81 2.31 -9.19 -26.59 -28.59
-33.89 -35.49 -24.79 -17.59 -6.59 6.31 12.71 9.91 2.51 -10.19 -24.99 -31.19
-30.69 -33.29 -28.09 -17.89 -2.89 9.31 11.81 9.01 2.81 -9.79 -21.89 -35.49
-31.49 -31.89 -27.69 -10.89 -2.69 7.31 10.91 6.51 0.91 -11.09 -23.89 -35.09
-33.19 -31.89 -27.89 -18.79 -4.89 7.11 9.91 8.91 0.71 -15.29 -26.49 -25.19
-28.09 -30.89 -27.39 -19.09 -4.09 8.61 11.41 6.51 0.81 -12.99 -27.49 -30.99
-29.49 -32.59 -28.29 -16.79 -2.59 8.71 10.61 6.81 2.21 -11.49 -23.39 -35.59
-33.19 -31.59 -25.59 -18.59 -7.19 7.71 10.41 9.61 1.21 -13.39 -30.99 -29.89
-26.69 -31.09 -27.89 -16.49 -0.69 6.71 11.31 8.01 2.41 -10.89 -21.29 -34.29
-30.99 -31.29 -20.99 -17.79 -4.69 8.61 12.81 7.91 1.91 -11.69 -26.09 -27.69
-35.35 -34.85 -25.65 -18.65 -4.95 6.75 10.35 7.45 0.35 -12.45 -27.15 -32.25
-35.15 -31.65 -26.05 -17.75 -5.75 6.85 10.45 7.45 0.55 -12.35 -26.75 -33.35
-34.95 -32.25 -26.75 -18.55 -4.15 6.65 10.45 7.25 -0.15 -10.95 -27.85 -28.85
-34.85 -29.85 -28.75 -19.75 -3.95 7.25 10.75 7.45 1.55 -11.05 -23.15 -29.95
-35.35 -33.65 -25.65 -17.95 -5.35 6.85 10.95 7.65 1.65 -12.25 -24.65 -29.35
-37.35 -32.25 -31.15 -16.65 -5.65 8.25 11.25 8.25 -0.05 -11.95 -25.65 -35.75
-34.05 -28.45 -26.95 -19.65 -6.45 7.05 10.55 9.15 2.55 -9.15 -21.55 -24.85
