"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
13.79 8.79 3.79 4.89 12.49 16.89 31.49 30.29 18.89 14.09 15.39 17.79
14.39 10.19 4.59 4.39 11.09 20.19 37.09 28.69 16.99 15.19 20.99 12.39
14.29 8.79 4.99 5.69 5.59 31.49 35.59 26.99 20.49 17.49 16.79 12.39
12.69 13.39 4.49 5.39 8.29 15.79 30.59 23.69 17.69 16.89 17.49 11.49
15.99 13.79 5.39 4.29 6.09 16.69 38.69 31.89 25.89 17.29 15.39 11.19
13.29 11.89 5.29 4.79 6.29 21.19 27.99 33.49 18.39 17.29 15.79 16.79
14.99 8.79 5.49 3.69 8.29 23.99 39.79 25.19 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 13.59 14.29 19.49 11.89
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 44.29 32.79 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.29 11.29 5.29 5.29 8.29 20.29 38.29 33.29 19.29 17.29 18.29 14.29
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 14.08 13.98 9.68
13.88 10.68 6.38 3.88 6.58 21.58 38.08 33.08 19.08 17.48 15.28 14.08
17.08 8.88 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 18.08 14.08
17.08 11.08 5.08 5.08 8.08 20.08 38.08 33.08 19.08 17.08 19.78 11.58
19.38 9.48 4.08 4.18 6.38 26.68 41.38 44.28 16.38 12.98 15.58 16.08
18.18 11.18 4.98 4.88 6.78 23.58 29.08 29.58 15.68 17.38 15.48 13.88
15.28 9.78 4.98 3.48 6.88 13.58 32.98 31.98 18.68 13.88 15.28 13.18
17.08 7.38 3.38 6.88 9.78 15.68 35.08 30.88 18.18 18.68 16.18 9.98
6.49 4.59 3.99 0.49 4.89 19.99 36.09 51.19 21.49 13.79 23.59 11.59
11.99 19.49 4.79 1.59 10.19 23.59 23.19 32.99 17.99 30.09 11.59 5.49
12.89 8.19 5.59 5.19 6.99 15.49 52.09 39.49 16.69 10.69 9.59 6.09
16.19 9.79 11.09 3.69 5.69 25.39 48.49 35.99 3.29 17.59 8.29 15.79
32.69 12.99 4.69 2.49 6.79 20.99 53.69 53.59 13.49 17.99 20.99 10.19
8.89 5.19 6.59 1.69 4.89 17.59 25.09 16.29 18.69 20.49 12.89 15.69
15.29 9.69 2.69 5.39 6.69 12.99 32.09 28.59 16.49 26.69 15.19 7.69
16.49 11.09 1.59 2.89 5.29 12.69 39.19 31.99 23.39 12.89 26.09 3.79
21.39 7.49 6.89 8.79 5.89 28.19 43.99 33.39 20.49 12.19 17.09 13.19
5.59 5.19 12.69 2.59 8.69 20.59 34.29 42.89 29.39 9.09 7.99 17.59
23.59 6.09 3.79 9.29 7.99 15.29 48.19 25.59 24.59 20.79 7.59 16.89
30.79 15.79 5.69 6.99 7.39 19.19 63.69 46.29 14.59 24.69 10.29 12.09
12.99 6.69 12.69 3.09 5.79 22.19 29.29 23.79 9.09 20.29 20.69 19.09
23.39 15.89 0.99 7.99 6.09 29.89 37.49 41.29 23.09 11.89 9.29 7.89
12.69 13.89 9.39 0.89 6.49 18.89 20.39 44.99 19.29 20.69 7.49 14.69
6.58 4.68 4.08 0.58 4.98 20.08 36.18 51.28 21.58 13.88 23.68 11.68
12.08 19.58 4.88 1.68 10.28 23.68 23.28 33.08 18.08 30.18 11.68 5.58
12.98 8.28 5.68 5.28 7.08 15.58 52.18 39.58 16.78 10.78 9.68 6.18
16.28 9.88 11.18 3.78 5.78 25.48 48.58 36.08 3.38 17.68 8.38 15.88
