"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.57 8.17 4.77 4.67 3.77 29.97 36.17 21.67 16.07 10.17 8.77 7.37
18.07 9.77 1.97 5.27 8.87 24.97 22.57 48.97 55.07 16.57 11.17 16.77
20.27 7.37 1.57 5.87 7.57 20.67 55.97 35.87 8.07 9.77 10.27 12.47
16.97 18.57 5.17 3.27 7.87 18.97 50.17 32.47 26.97 11.07 19.37 14.97
10.57 17.37 5.37 1.47 2.97 33.67 53.97 20.37 6.17 19.47 9.57 6.57
13.57 8.17 6.37 6.57 7.87 24.97 56.67 22.57 17.17 12.17 10.87 14.77
21.07 16.17 7.87 10.57 9.77 6.47 8.47 20.07 11.37 18.37 15.37 20.27
10.47 5.47 2.67 5.17 6.57 7.77 29.77 28.07 20.27 11.87 9.07 32.07
13.27 1.97 2.77 2.87 12.27 17.97 65.07 42.27 37.87 20.67 16.97 14.47
13.87 12.87 4.17 3.97 5.47 18.87 35.37 37.47 16.77 11.77 25.97 15.17
5.67 11.47 7.57 2.47 12.07 21.37 45.07 26.57 22.97 17.57 11.77 11.57
12.47 2.47 7.07 3.97 9.57 38.87 13.97 32.67 14.97 22.97 9.97 14.07
17.37 11.67 0.87 3.77 2.37 10.97 37.97 43.77 17.47 11.57 5.47 6.27
10.47 27.87 7.57 10.87 9.97 14.87 33.67 59.17 17.07 16.07 9.27 5.67
6.57 3.67 3.87 6.47 11.97 34.47 50.67 42.17 32.97 19.37 32.27 8.47
13.19 7.89 4.99 3.89 5.49 21.69 38.19 30.99 22.89 14.99 17.49 11.99
12.59 8.99 5.29 3.89 5.99 18.69 30.29 24.59 20.89 16.99 18.49 14.39
13.79 11.99 7.09 4.29 7.09 22.99 40.99 29.39 16.29 14.89 14.69 14.69
12.99 13.29 5.69 3.99 8.09 24.09 27.99 33.59 21.59 14.39 18.49 13.59
13.79 9.99 5.99 3.99 7.19 31.89 31.49 29.19 16.59 14.39 17.09 13.09
13.29 9.49 4.49 5.79 6.39 20.29 30.59 36.79 16.39 14.39 15.29 12.89
16.49 12.69 4.29 4.79 5.49 30.59 56.79 31.79 18.99 14.29 14.49 16.29
14.29 12.39 5.39 3.59 6.99 23.99 39.09 28.89 17.19 15.99 17.49 16.09
12.19 15.29 6.49 4.39 6.79 21.09 39.19 30.19 17.69 14.09 15.49 12.89
14.79 8.19 4.79 5.79 9.79 17.29 36.39 44.69 17.99 13.39 18.09 14.99
13.79 8.09 4.49 3.49 7.89 22.39 33.29 35.19 18.89 18.09 12.99 13.09
15.09 12.19 5.69 3.59 5.39 18.59 38.59 28.39 17.19 21.69 17.79 4.69
9.49 8.79 4.59 3.19 7.49 21.89 39.99 22.59 29.29 22.99 13.19 10.59
13.49 9.59 5.39 2.69 6.39 30.39 54.49 39.59 22.39 21.89 19.69 18.39
5.89 5.49 4.39 9.49 7.19 25.59 56.89 23.89 26.69 19.49 22.19 13.99
13.85 8.85 3.85 4.95 12.55 16.95 31.55 30.35 18.95 14.15 15.45 17.85
14.45 10.25 4.65 4.45 11.15 20.25 37.15 28.75 17.05 15.25 21.05 12.45
14.35 8.85 5.05 5.75 5.65 31.55 35.65 27.05 20.55 17.55 16.85 12.45
12.75 13.45 4.55 5.45 8.35 15.85 30.65 23.75 17.75 16.95 17.55 11.55
16.05 13.85 5.45 4.35 6.15 16.75 38.75 31.95 25.95 17.35 15.45 11.25
13.35 11.95 5.35 4.85 6.35 21.25 28.05 33.55 18.45 17.35 15.85 16.85
15.05 8.85 5.55 3.75 8.35 24.05 39.85 25.25 19.35 17.35 18.35 14.35
17.35 11.35 5.35 5.35 8.35 20.35 38.35 33.35 13.65 14.35 19.55 11.95
17.35 11.35 5.35 5.35 8.35 20.35 38.35 33.35 19.35 17.35 18.35 14.35
17.35 11.35 5.35 5.35 8.35 20.35 44.35 32.85 19.35 17.35 18.35 14.35
17.35 11.35 5.35 5.35 8.35 20.35 38.35 33.35 19.35 17.35 18.35 14.35
17.35 11.35 5.35 5.35 8.35 20.35 38.35 33.35 19.35 17.35 18.35 14.35
17.35 11.35 5.35 5.35 8.35 20.35 38.35 33.35 19.35 17.35 18.35 14.35
17.35 11.35 5.35 5.35 8.35 20.35 38.35 33.35 19.35 17.35 18.35 14.35
17.35 11.35 5.35 5.35 8.35 20.35 38.35 33.35 19.35 17.35 18.35 14.35
6.45 4.55 3.95 0.45 4.85 19.95 36.05 51.15 21.45 13.75 23.55 11.55
11.95 19.45 4.75 1.55 10.15 23.55 23.15 32.95 17.95 30.05 11.55 5.45
12.85 8.15 5.55 5.15 6.95 15.45 52.05 39.45 16.65 10.65 9.55 6.05
16.15 9.75 11.05 3.65 5.65 25.35 48.45 35.95 3.25 17.55 8.25 15.75
32.65 12.95 4.65 2.45 6.75 20.95 53.65 53.55 13.45 17.95 20.95 10.15
8.85 5.15 6.55 1.65 4.85 17.55 25.05 16.25 18.65 20.45 12.85 15.65
15.25 9.65 2.65 5.35 6.65 12.95 32.05 28.55 16.45 26.65 15.15 7.65
16.45 11.05 1.55 2.85 5.25 12.65 39.15 31.95 23.35 12.85 26.05 3.75
21.35 7.45 6.85 8.75 5.85 28.15 43.95 33.35 20.45 12.15 17.05 13.15
5.55 5.15 12.65 2.55 8.65 20.55 34.25 42.85 29.35 9.05 7.95 17.55
23.55 6.05 3.75 9.25 7.95 15.25 48.15 25.55 24.55 20.75 7.55 16.85
30.75 15.75 5.65 6.95 7.35 19.15 63.65 46.25 14.55 24.65 10.25 12.05
12.95 6.65 12.65 3.05 5.75 22.15 29.25 23.75 9.05 20.25 20.65 19.05
23.35 15.85 0.95 7.95 6.05 29.85 37.45 41.25 23.05 11.85 9.25 7.85
12.65 13.85 9.35 0.85 6.45 18.85 20.35 44.95 19.25 20.65 7.45 14.65
13.19 7.89 4.99 3.89 5.49 21.69 38.19 30.99 22.89 14.99 17.49 11.99
12.59 8.99 5.29 3.89 5.99 18.69 30.29 24.59 20.89 16.99 18.49 14.39
13.79 11.99 7.09 4.29 7.09 22.99 40.99 29.39 16.29 14.89 14.69 14.69
12.99 13.29 5.69 3.99 8.09 24.09 27.99 33.59 21.59 14.39 18.49 13.59
13.79 9.99 5.99 3.99 7.19 31.89 31.49 29.19 16.59 14.39 17.09 13.09
13.29 9.49 4.49 5.79 6.39 20.29 30.59 36.79 16.39 14.39 15.29 12.89
16.49 12.69 4.29 4.79 5.49 30.59 56.79 31.79 18.99 14.29 14.49 16.29
14.29 12.39 5.39 3.59 6.99 23.99 39.09 28.89 17.19 15.99 17.49 16.09
12.19 15.29 6.49 4.39 6.79 21.09 39.19 30.19 17.69 14.09 15.49 12.89
14.79 8.19 4.79 5.79 9.79 17.29 36.39 44.69 17.99 13.39 18.09 14.99
13.79 8.09 4.49 3.49 7.89 22.39 33.29 35.19 18.89 18.09 12.99 13.09
15.09 12.19 5.69 3.59 5.39 18.59 38.59 28.39 17.19 21.69 17.79 4.69
9.49 8.79 4.59 3.19 7.49 21.89 39.99 22.59 29.29 22.99 13.19 10.59
13.49 9.59 5.39 2.69 6.39 30.39 54.49 39.59 22.39 21.89 19.69 18.39
5.89 5.49 4.39 9.49 7.19 25.59 56.89 23.89 26.69 19.49 22.19 13.99
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 14.04 13.94 9.64
13.84 10.64 6.34 3.84 6.54 21.54 38.04 33.04 19.04 17.44 15.24 14.04
17.04 8.84 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 18.04 14.04
17.04 11.04 5.04 5.04 8.04 20.04 38.04 33.04 19.04 17.04 19.74 11.54
19.34 9.44 4.04 4.14 6.34 26.64 41.34 44.24 16.34 12.94 15.54 16.04
18.14 11.14 4.94 4.84 6.74 23.54 29.04 29.54 15.64 17.34 15.44 13.84
15.24 9.74 4.94 3.44 6.84 13.54 32.94 31.94 18.64 13.84 15.24 13.14
17.04 7.34 3.34 6.84 9.74 15.64 35.04 30.84 18.14 18.64 16.14 9.94
13.73 8.73 3.73 4.83 12.43 16.83 31.43 30.23 18.83 14.03 15.33 17.73
14.33 10.13 4.53 4.33 11.03 20.13 37.03 28.63 16.93 15.13 20.93 12.33
14.23 8.73 4.93 5.63 5.53 31.43 35.53 26.93 20.43 17.43 16.73 12.33
12.63 13.33 4.43 5.33 8.23 15.73 30.53 23.63 17.63 16.83 17.43 11.43
15.93 13.73 5.33 4.23 6.03 16.63 38.63 31.83 25.83 17.23 15.33 11.13
13.23 11.83 5.23 4.73 6.23 21.13 27.93 33.43 18.33 17.23 15.73 16.73
14.93 8.73 5.43 3.63 8.23 23.93 39.73 25.13 19.23 17.23 18.23 14.23
17.23 11.23 5.23 5.23 8.23 20.23 38.23 33.23 13.53 14.23 19.43 11.83
17.23 11.23 5.23 5.23 8.23 20.23 38.23 33.23 19.23 17.23 18.23 14.23
17.23 11.23 5.23 5.23 8.23 20.23 44.23 32.73 19.23 17.23 18.23 14.23
17.23 11.23 5.23 5.23 8.23 20.23 38.23 33.23 19.23 17.23 18.23 14.23
17.23 11.23 5.23 5.23 8.23 20.23 38.23 33.23 19.23 17.23 18.23 14.23
17.23 11.23 5.23 5.23 8.23 20.23 38.23 33.23 19.23 17.23 18.23 14.23
17.23 11.23 5.23 5.23 8.23 20.23 38.23 33.23 19.23 17.23 18.23 14.23
17.23 11.23 5.23 5.23 8.23 20.23 38.23 33.23 19.23 17.23 18.23 14.23
13.99 4.09 3.79 6.39 6.69 13.79 33.19 51.99 9.99 19.19 32.59 7.09
28.39 23.49 7.99 6.19 11.79 36.99 42.29 42.69 22.59 19.79 21.89 14.49
33.09 12.29 5.69 10.79 3.89 16.69 46.19 29.69 11.59 19.49 15.19 21.89
15.19 9.49 0.69 2.99 13.19 11.69 57.59 31.79 12.69 20.89 16.89 20.09
14.79 2.29 4.69 6.49 6.09 11.89 18.59 24.89 11.89 15.99 43.29 10.69
31.99 22.29 8.59 3.09 4.59 31.29 37.69 25.39 20.19 13.99 41.59 10.39
23.69 6.99 11.79 10.79 17.79 19.69 42.99 18.59 12.29 21.99 7.99 27.89
27.09 15.49 6.89 1.99 10.99 26.59 52.39 40.19 10.49 21.29 9.99 14.59
37.79 5.99 1.29 3.39 3.49 9.19 16.69 14.69 19.79 15.99 6.69 14.89
5.39 7.69 3.99 2.29 12.29 14.49 22.39 38.79 9.19 13.59 25.89 8.19
19.99 6.99 3.79 0.29 4.09 13.99 18.39 15.19 17.69 17.99 22.09 18.19
14.99 12.29 0.69 3.09 8.39 14.89 29.99 42.39 19.09 17.89 11.79 21.39
12.39 7.69 0.39 2.99 1.19 3.59 48.19 39.99 17.59 27.49 32.19 11.29
5.59 7.09 2.89 0.29 2.99 18.89 34.69 16.39 23.99 8.49 18.29 1.39
11.79 10.89 6.19 4.39 3.89 19.99 33.39 39.19 18.29 17.19 25.49 7.29
13.12 7.82 4.92 3.82 5.42 21.62 38.12 30.92 22.82 14.92 17.42 11.92
12.52 8.92 5.22 3.82 5.92 18.62 30.22 24.52 20.82 16.92 18.42 14.32
13.72 11.92 7.02 4.22 7.02 22.92 40.92 29.32 16.22 14.82 14.62 14.62
12.92 13.22 5.62 3.92 8.02 24.02 27.92 33.52 21.52 14.32 18.42 13.52
13.72 9.92 5.92 3.92 7.12 31.82 31.42 29.12 16.52 14.32 17.02 13.02
13.22 9.42 4.42 5.72 6.32 20.22 30.52 36.72 16.32 14.32 15.22 12.82
16.42 12.62 4.22 4.72 5.42 30.52 56.72 31.72 18.92 14.22 14.42 16.22
14.22 12.32 5.32 3.52 6.92 23.92 39.02 28.82 17.12 15.92 17.42 16.02
12.12 15.22 6.42 4.32 6.72 21.02 39.12 30.12 17.62 14.02 15.42 12.82
14.72 8.12 4.72 5.72 9.72 17.22 36.32 44.62 17.92 13.32 18.02 14.92
13.72 8.02 4.42 3.42 7.82 22.32 33.22 35.12 18.82 18.02 12.92 13.02
15.02 12.12 5.62 3.52 5.32 18.52 38.52 28.32 17.12 21.62 17.72 4.62
9.42 8.72 4.52 3.12 7.42 21.82 39.92 22.52 29.22 22.92 13.12 10.52
13.42 9.52 5.32 2.62 6.32 30.32 54.42 39.52 22.32 21.82 19.62 18.32
5.82 5.42 4.32 9.42 7.12 25.52 56.82 23.82 26.62 19.42 22.12 13.92
13.2 7.9 5 3.9 5.5 21.7 38.2 31 22.9 15 17.5 12
12.6 9 5.3 3.9 6 18.7 30.3 24.6 20.9 17 18.5 14.4
13.8 12 7.1 4.3 7.1 23 41 29.4 16.3 14.9 14.7 14.7
13 13.3 5.7 4 8.1 24.1 28 33.6 21.6 14.4 18.5 13.6
13.8 10 6 4 7.2 31.9 31.5 29.2 16.6 14.4 17.1 13.1
13.3 9.5 4.5 5.8 6.4 20.3 30.6 36.8 16.4 14.4 15.3 12.9
16.5 12.7 4.3 4.8 5.5 30.6 56.8 31.8 19 14.3 14.5 16.3
14.3 12.4 5.4 3.6 7 24 39.1 28.9 17.2 16 17.5 16.1
12.2 15.3 6.5 4.4 6.8 21.1 39.2 30.2 17.7 14.1 15.5 12.9
14.8 8.2 4.8 5.8 9.8 17.3 36.4 44.7 18 13.4 18.1 15
13.8 8.1 4.5 3.5 7.9 22.4 33.3 35.2 18.9 18.1 13 13.1
15.1 12.2 5.7 3.6 5.4 18.6 38.6 28.4 17.2 21.7 17.8 4.7
9.5 8.8 4.6 3.2 7.5 21.9 40 22.6 29.3 23 13.2 10.6
13.5 9.6 5.4 2.7 6.4 30.4 54.5 39.6 22.4 21.9 19.7 18.4
5.9 5.5 4.4 9.5 7.2 25.6 56.9 23.9 26.7 19.5 22.2 14
18.6 8.2 4.8 4.7 3.8 30 36.2 21.7 16.1 10.2 8.8 7.4
18.1 9.8 2 5.3 8.9 25 22.6 49 55.1 16.6 11.2 16.8
20.3 7.4 1.6 5.9 7.6 20.7 56 35.9 8.1 9.8 10.3 12.5
