"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-24.5 -24.9 -22 -9.2 2 16 19.2 16.4 9.7 -3.3 -17.1 -23
-23.3 -22.4 -18.1 -8.9 5 16 19.2 16.4 9.7 -3.3 -17.1 -25.6
-26.8 -22.4 -15.2 -8.4 4.9 15.4 19.2 16.4 9.7 -3.3 -17.1 -23
-23.3 -22.4 -18.1 -8.9 5 16 19.2 16.4 9.7 -3.3 -17.1 -23
-30.3 -25.8 -20.2 -10.1 5.3 15.7 18.7 16.8 9.2 -2.9 -18.5 -26.5
-23.44 -23.04 -23.54 -11.24 5.96 15.56 18.96 13.96 7.96 -3.54 -16.34 -24.84
-22.44 -20.24 -14.44 -5.24 4.56 13.96 17.76 15.36 5.76 -5.44 -16.34 -22.94
-18.94 -20.84 -20.34 -9.64 1.46 12.76 17.66 13.76 8.56 -6.64 -16.04 -21.14
-32.94 -24.34 -20.94 -11.14 3.56 18.06 17.16 15.16 6.16 -5.14 -18.64 -21.24
-26.54 -26.24 -18.74 -10.44 2.46 15.06 16.76 14.06 5.76 -6.14 -16.34 -28.44
-27.14 -26.64 -18.64 -12.04 4.16 15.66 17.56 15.66 9.26 -6.14 -14.04 -21.44
-28.54 -25.74 -15.14 -11.14 8.26 15.96 17.46 13.86 9.56 -1.74 -19.64 -23.24
-20.34 -21.04 -16.44 -10.14 4.06 15.06 18.16 17.26 9.66 -5.64 -19.44 -28.24
-16.24 -25.44 -22.14 -9.34 5.16 16.06 19.46 17.16 10.46 -5.44 -22.54 -23.44
-22.84 -22.04 -19.04 -10.54 6.06 17.96 17.06 14.16 11.26 -5.24 -19.14 -22.74
-24.34 -24.64 -19.94 -8.94 4.06 14.46 19.96 16.66 9.26 -4.24 -18.44 -24.54
-26.54 -19.14 -18.74 -9.04 5.06 12.66 19.06 15.46 9.16 -2.74 -21.84 -21.34
-30.64 -23.34 -22.64 -8.54 3.36 16.66 19.56 14.76 8.56 -4.24 -15.54 -23.24
-25.94 -25.74 -17.04 -10.34 3.66 16.26 20.06 17.36 9.96 0.16 -17.44 -29.34
-28.24 -20.64 -18.24 -10.04 3.46 13.76 18.06 17.06 8.76 -3.04 -16.14 -25.24
-22.4 -27.8 -21.1 -12.9 1.9 14.2 18.3 16 10 -7.1 -19.5 -26.6
-20.3 -26 -24.6 -7.6 3.8 16 19.6 16.7 9.7 -5.9 -20.6 -23
-20.8 -26.4 -17.8 -10.1 3.9 13.6 17.7 15.8 7.7 -3.5 -15 -27.2
-20.8 -19.3 -19.6 -13.3 4.6 13.7 16.7 14 7 -5.7 -19.7 -25.5
-20.3 -21.3 -18.3 -12.4 3.5 15 17.1 16.5 10.2 -5 -22.9 -19.5
-22.8 -22.9 -17.4 -7.1 5.9 16.3 17.9 16 9.3 -1.2 -15.9 -25.4
-26.3 -19.4 -18.3 -9.8 0.7 12.9 18.3 15.7 9.6 -2.4 -22.5 -23.6
-23.2 -22.8 -17.9 -11.6 4.5 14.4 19.3 16.5 9.6 -7.3 -22 -18.1
