"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.61 -27.01 -24.11 -11.31 -0.11 13.89 17.09 14.29 7.59 -5.41 -19.21 -25.11
-25.41 -24.51 -20.21 -11.01 2.89 13.89 17.09 14.29 7.59 -5.41 -19.21 -27.71
-28.91 -24.51 -17.31 -10.51 2.79 13.29 17.09 14.29 7.59 -5.41 -19.21 -25.11
-25.41 -24.51 -20.21 -11.01 2.89 13.89 17.09 14.29 7.59 -5.41 -19.21 -25.11
-32.41 -27.91 -22.31 -12.21 3.19 13.59 16.59 14.69 7.09 -5.01 -20.61 -28.61
-25.5 -25.1 -25.6 -13.3 3.9 13.5 16.9 11.9 5.9 -5.6 -18.4 -26.9
-24.5 -22.3 -16.5 -7.3 2.5 11.9 15.7 13.3 3.7 -7.5 -18.4 -25
-21 -22.9 -22.4 -11.7 -0.6 10.7 15.6 11.7 6.5 -8.7 -18.1 -23.2
-35 -26.4 -23 -13.2 1.5 16 15.1 13.1 4.1 -7.2 -20.7 -23.3
-28.6 -28.3 -20.8 -12.5 0.4 13 14.7 12 3.7 -8.2 -18.4 -30.5
-29.2 -28.7 -20.7 -14.1 2.1 13.6 15.5 13.6 7.2 -8.2 -16.1 -23.5
-30.6 -27.8 -17.2 -13.2 6.2 13.9 15.4 11.8 7.5 -3.8 -21.7 -25.3
-22.4 -23.1 -18.5 -12.2 2 13 16.1 15.2 7.6 -7.7 -21.5 -30.3
-18.3 -27.5 -24.2 -11.4 3.1 14 17.4 15.1 8.4 -7.5 -24.6 -25.5
-24.9 -24.1 -21.1 -12.6 4 15.9 15 12.1 9.2 -7.3 -21.2 -24.8
-26.4 -26.7 -22 -11 2 12.4 17.9 14.6 7.2 -6.3 -20.5 -26.6
-28.6 -21.2 -20.8 -11.1 3 10.6 17 13.4 7.1 -4.8 -23.9 -23.4
-32.7 -25.4 -24.7 -10.6 1.3 14.6 17.5 12.7 6.5 -6.3 -17.6 -25.3
-28 -27.8 -19.1 -12.4 1.6 14.2 18 15.3 7.9 -1.9 -19.5 -31.4
-30.3 -22.7 -20.3 -12.1 1.4 11.7 16 15 6.7 -5.1 -18.2 -27.3
-24.5 -29.9 -23.2 -15 -0.2 12.1 16.2 13.9 7.9 -9.2 -21.6 -28.7
-22.4 -28.1 -26.7 -9.7 1.7 13.9 17.5 14.6 7.6 -8 -22.7 -25.1
-22.9 -28.5 -19.9 -12.2 1.8 11.5 15.6 13.7 5.6 -5.6 -17.1 -29.3
-22.9 -21.4 -21.7 -15.4 2.5 11.6 14.6 11.9 4.9 -7.8 -21.8 -27.6
-22.4 -23.4 -20.4 -14.5 1.4 12.9 15 14.4 8.1 -7.1 -25 -21.6
-24.9 -25 -19.5 -9.2 3.8 14.2 15.8 13.9 7.2 -3.3 -18 -27.5
-28.4 -21.5 -20.4 -11.9 -1.4 10.8 16.2 13.6 7.5 -4.5 -24.6 -25.7
-25.3 -24.9 -20 -13.7 2.4 12.3 17.2 14.4 7.5 -9.4 -24.1 -20.2
-24.8 -32.7 -20.6 -11.2 3.3 13 14.9 12.8 6.5 -2.8 -16 -28.5
-24.3 -20.4 -24.4 -13.9 -1.4 11.5 17.2 11.9 5.9 -7.7 -13.7 -20.9
-29.2 -22.1 -22.2 -9 2.5 13.7 14.5 11.9 5.2 -6.6 -15.3 -24.1
-25.8 -30.1 -19.7 -13.7 1.2 11.9 17.7 13.9 5.4 -5.8 -22.9 -31.7
-24.5 -24.5 -22.4 -10.4 1.3 13.1 18.1 12.4 7.8 -3.8 -20.7 -25.8
-32.8 -18.4 -18.4 -13.1 2.1 15 15.9 13.6 8.9 -5.5 -22.3 -23.2
-27.7 -31.8 -16.7 -6.3 5.2 13.9 16.3 14.6 6 -5.9 -18.3 -27.9
-24.65 -30.05 -23.35 -15.15 -0.35 11.95 16.05 13.75 7.75 -9.35 -21.75 -28.85
-22.55 -28.25 -26.85 -9.85 1.55 13.75 17.35 14.45 7.45 -8.15 -22.85 -25.25
-23.05 -28.65 -20.05 -12.35 1.65 11.35 15.45 13.55 5.45 -5.75 -17.25 -29.45
-23.05 -21.55 -21.85 -15.55 2.35 11.45 14.45 11.75 4.75 -7.95 -21.95 -27.75
-22.55 -23.55 -20.55 -14.65 1.25 12.75 14.85 14.25 7.95 -7.25 -25.15 -21.75
-25.05 -25.15 -19.65 -9.35 3.65 14.05 15.65 13.75 7.05 -3.45 -18.15 -27.65
-28.55 -21.65 -20.55 -12.05 -1.55 10.65 16.05 13.45 7.35 -4.65 -24.75 -25.85
-25.45 -25.05 -20.15 -13.85 2.25 12.15 17.05 14.25 7.35 -9.55 -24.25 -20.35
-24.95 -32.85 -20.75 -11.35 3.15 12.85 14.75 12.65 6.35 -2.95 -16.15 -28.65
-24.45 -20.55 -24.55 -14.05 -1.55 11.35 17.05 11.75 5.75 -7.85 -13.85 -21.05
-29.35 -22.25 -22.35 -9.15 2.35 13.55 14.35 11.75 5.05 -6.75 -15.45 -24.25
-25.95 -30.25 -19.85 -13.85 1.05 11.75 17.55 13.75 5.25 -5.95 -23.05 -31.85
-24.65 -24.65 -22.55 -10.55 1.15 12.95 17.95 12.25 7.65 -3.95 -20.85 -25.95
