"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.51 -34.91 -28.21 -20.01 -5.21 7.09 11.19 8.89 2.89 -14.21 -26.61 -33.71
-27.41 -33.11 -31.71 -14.71 -3.31 8.89 12.49 9.59 2.59 -13.01 -27.71 -30.11
-27.91 -33.51 -24.91 -17.21 -3.21 6.49 10.59 8.69 0.59 -10.61 -22.11 -34.31
-27.91 -26.41 -26.71 -20.41 -2.51 6.59 9.59 6.89 -0.11 -12.81 -26.81 -32.61
-27.41 -28.41 -25.41 -19.51 -3.61 7.89 9.99 9.39 3.09 -12.11 -30.01 -26.61
-29.91 -30.01 -24.51 -14.21 -1.21 9.19 10.79 8.89 2.19 -8.31 -23.01 -32.51
-33.41 -26.51 -25.41 -16.91 -6.41 5.79 11.19 8.59 2.49 -9.51 -29.61 -30.71
-30.31 -29.91 -25.01 -18.71 -2.61 7.29 12.19 9.39 2.49 -14.41 -29.11 -25.21
-29.81 -37.71 -25.61 -16.21 -1.71 7.99 9.89 7.79 1.49 -7.81 -21.01 -33.51
-29.31 -25.41 -29.41 -18.91 -6.41 6.49 12.19 6.89 0.89 -12.71 -18.71 -25.91
-34.21 -27.11 -27.21 -14.01 -2.51 8.69 9.49 6.89 0.19 -11.61 -20.31 -29.11
-30.81 -35.11 -24.71 -18.71 -3.81 6.89 12.69 8.89 0.39 -10.81 -27.91 -36.71
-29.51 -29.51 -27.41 -15.41 -3.71 8.09 13.09 7.39 2.79 -8.81 -25.71 -30.81
-37.81 -23.41 -23.41 -18.11 -2.91 9.99 10.89 8.59 3.89 -10.51 -27.31 -28.21
-32.71 -36.81 -21.71 -11.31 0.19 8.89 11.29 9.59 0.99 -10.91 -23.31 -32.91
-34.34 -33.54 -24.84 -17.84 -4.34 6.96 10.66 7.96 0.86 -11.84 -26.14 -31.74
-33.94 -30.74 -25.14 -16.84 -4.74 7.06 10.76 7.86 0.86 -11.54 -25.54 -32.34
-34.24 -31.34 -25.74 -17.54 -3.54 6.96 10.76 7.66 0.66 -10.04 -26.34 -27.44
-33.94 -28.94 -27.54 -18.84 -3.54 7.46 11.06 7.86 1.86 -10.44 -22.44 -28.64
-34.34 -32.94 -24.94 -16.84 -4.74 7.06 11.36 8.06 2.16 -11.24 -23.54 -28.44
-36.24 -30.74 -30.04 -15.64 -4.94 8.26 11.56 8.66 0.16 -11.34 -24.64 -35.04
-33.04 -27.54 -25.74 -18.64 -6.04 7.06 10.86 9.26 2.76 -8.64 -20.84 -23.24
-30.64 -25.84 -27.94 -14.44 -6.54 7.26 11.66 7.06 0.76 -12.44 -23.44 -30.14
-40.54 -30.44 -26.64 -17.74 -2.74 8.66 9.66 7.76 3.16 -9.34 -23.24 -31.74
-28.14 -30.94 -24.44 -13.14 -1.04 8.66 11.26 8.06 -0.14 -10.74 -22.14 -31.24
