"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
16.61 11.61 7.61 7.61 9.61 21.61 37.61 33.61 20.61 17.61 18.61 14.61
16.61 11.61 7.61 7.61 9.61 21.61 37.61 33.61 20.61 17.61 18.61 14.61
16.61 11.61 7.61 7.61 9.61 21.61 37.61 33.61 20.61 17.61 18.61 14.61
16.61 11.61 7.61 7.61 9.61 21.61 37.61 33.61 20.61 17.61 18.61 14.61
16.61 11.61 7.61 7.61 9.61 21.61 37.61 33.61 20.61 17.61 18.61 14.61
14.12 5.92 6.32 8.92 8.92 14.42 31.52 49.62 12.02 19.42 32.92 9.32
24.52 21.12 11.12 8.82 10.52 39.22 43.52 51.72 22.82 19.92 22.02 14.62
29.62 13.62 8.32 13.52 5.52 19.12 43.22 30.22 14.72 20.62 17.02 21.02
15.62 10.32 2.72 5.22 12.02 14.52 57.22 31.72 17.22 21.32 18.52 20.12
16.32 3.82 7.02 8.82 6.92 13.12 19.02 27.62 12.52 17.52 44.92 10.92
27.62 21.72 11.72 5.42 7.22 36.12 37.32 26.62 21.82 13.52 40.62 11.52
25.32 7.92 15.42 14.82 17.82 21.22 41.22 19.62 13.62 21.32 8.82 27.32
25.22 16.02 9.62 3.92 12.22 28.22 47.42 41.92 11.92 20.72 13.82 15.22
35.32 6.22 3.12 5.82 4.42 9.62 16.92 16.52 20.92 15.42 6.82 15.42
5.92 7.72 6.02 3.92 13.72 16.52 22.42 36.82 10.52 12.92 26.82 8.62
16.72 8.12 5.92 1.72 4.82 15.52 20.12 15.02 17.72 16.72 20.32 18.02
12.92 12.22 2.22 4.92 9.22 14.22 31.42 40.02 18.52 17.72 12.02 20.52
11.22 6.82 2.02 4.42 2.72 5.12 49.82 41.12 20.02 26.82 28.02 11.02
6.42 7.32 4.62 1.82 4.22 20.22 35.92 16.72 24.02 9.62 18.72 2.52
10.12 10.92 8.42 6.52 4.82 19.22 33.22 39.42 17.92 16.92 23.42 8.02
16.21 8.41 6.81 6.61 5.21 34.21 35.81 21.01 17.61 10.61 9.01 7.81
17.31 10.61 3.61 7.51 10.51 26.21 24.21 52.01 56.41 17.51 11.71 16.21
19.51 8.21 3.01 8.61 8.81 18.81 50.01 36.71 9.21 11.51 11.41 12.21
16.21 17.51 7.31 5.11 9.71 20.61 49.51 34.61 29.71 11.41 18.51 14.71
10.51 16.61 7.71 2.91 4.51 34.21 54.21 22.11 8.11 18.21 9.91 8.01
12.71 9.01 9.41 8.91 9.41 27.01 54.61 24.21 19.91 12.91 10.31 14.51
18.71 15.41 9.81 14.71 11.31 9.51 9.21 18.81 14.51 17.61 15.51 19.31
11.61 7.11 4.81 7.41 7.51 10.81 30.21 26.61 23.51 13.51 9.31 31.51
13.41 3.41 4.41 5.11 14.91 17.31 62.91 41.71 35.31 20.21 16.81 14.71
14.01 12.91 6.11 5.71 6.61 18.91 34.11 34.31 18.41 12.41 24.61 14.31
6.21 11.41 10.01 4.21 13.91 22.01 41.41 25.11 23.41 16.31 11.71 12.21
12.61 3.51 10.01 5.71 10.01 38.91 14.31 33.21 17.41 24.81 10.41 14.41
16.61 12.61 2.31 5.71 4.01 11.01 36.11 41.31 18.31 12.01 6.81 7.01
10.81 25.31 9.81 13.51 11.51 15.61 31.61 61.61 17.61 17.31 9.61 6.81
6.51 4.41 6.21 8.91 12.31 35.41 47.31 40.31 34.91 20.41 31.81 9.31
16.23 8.43 6.83 6.63 5.23 34.23 35.83 21.03 17.63 10.63 9.03 7.83
17.33 10.63 3.63 7.53 10.53 26.23 24.23 52.03 56.43 17.53 11.73 16.23
19.53 8.23 3.03 8.63 8.83 18.83 50.03 36.73 9.23 11.53 11.43 12.23
16.23 17.53 7.33 5.13 9.73 20.63 49.53 34.63 29.73 11.43 18.53 14.73
10.53 16.63 7.73 2.93 4.53 34.23 54.23 22.13 8.13 18.23 9.93 8.03
12.73 9.03 9.43 8.93 9.43 27.03 54.63 24.23 19.93 12.93 10.33 14.53
18.73 15.43 9.83 14.73 11.33 9.53 9.23 18.83 14.53 17.63 15.53 19.33
11.63 7.13 4.83 7.43 7.53 10.83 30.23 26.63 23.53 13.53 9.33 31.53
13.43 3.43 4.43 5.13 14.93 17.33 62.93 41.73 35.33 20.23 16.83 14.73
14.03 12.93 6.13 5.73 6.63 18.93 34.13 34.33 18.43 12.43 24.63 14.33
6.23 11.43 10.03 4.23 13.93 22.03 41.43 25.13 23.43 16.33 11.73 12.23
12.63 3.53 10.03 5.73 10.03 38.93 14.33 33.23 17.43 24.83 10.43 14.43
16.63 12.63 2.33 5.73 4.03 11.03 36.13 41.33 18.33 12.03 6.83 7.03
10.83 25.33 9.83 13.53 11.53 15.63 31.63 61.63 17.63 17.33 9.63 6.83
6.53 4.43 6.23 8.93 12.33 35.43 47.33 40.33 34.93 20.43 31.83 9.33
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 14.21 13.91 9.71
13.21 11.11 9.41 5.81 7.71 23.21 37.51 33.51 20.51 17.91 15.41 14.51
16.51 9.21 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 18.51 14.51
16.51 11.51 7.51 7.51 9.51 21.51 37.51 33.51 20.51 17.51 20.41 11.81
18.91 9.81 6.11 6.21 7.51 29.21 41.21 46.21 17.31 13.01 15.71 16.71
17.71 11.61 7.31 7.21 8.01 25.61 27.51 29.51 16.51 17.81 15.71 14.21
14.71 10.11 7.41 5.21 8.11 13.91 31.91 32.21 20.01 14.01 15.41 13.61
16.41 7.61 5.11 10.01 11.51 16.31 34.21 31.01 19.41 19.21 16.41 10.11
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 14.19 13.89 9.69
13.19 11.09 9.39 5.79 7.69 23.19 37.49 33.49 20.49 17.89 15.39 14.49
16.49 9.19 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 18.49 14.49
16.49 11.49 7.49 7.49 9.49 21.49 37.49 33.49 20.49 17.49 20.39 11.79
18.89 9.79 6.09 6.19 7.49 29.19 41.19 46.19 17.29 12.99 15.69 16.69
17.69 11.59 7.29 7.19 7.99 25.59 27.49 29.49 16.49 17.79 15.69 14.19
14.69 10.09 7.39 5.19 8.09 13.89 31.89 32.19 19.99 13.99 15.39 13.59
16.39 7.59 5.09 9.99 11.49 16.29 34.19 30.99 19.39 19.19 16.39 10.09
13.14 9.04 5.64 7.14 14.64 17.74 30.14 30.34 20.24 14.14 15.54 18.54
13.74 10.54 6.74 6.44 13.04 21.54 36.44 28.54 18.04 15.44 21.74 12.74
13.64 9.14 7.34 8.34 6.64 34.84 34.74 26.54 22.14 17.94 17.14 12.74
11.94 13.94 6.64 7.84 9.74 16.44 29.14 22.84 18.84 17.34 17.84 11.64
15.34 14.44 7.84 6.34 7.24 17.54 38.24 32.14 28.54 17.74 15.54 11.34
12.54 12.34 7.74 7.04 7.34 22.74 26.24 33.94 19.64 17.74 15.94 17.54
14.34 9.14 8.04 5.54 9.74 26.04 39.44 24.54 20.74 17.74 18.74 14.74
16.74 11.74 7.74 7.74 9.74 21.74 37.74 33.74 14.04 14.44 20.04 12.14
16.74 11.74 7.74 7.74 9.74 21.74 37.74 33.74 20.74 17.74 18.74 14.74
16.74 11.74 7.74 7.74 9.74 21.74 44.44 33.24 20.74 17.74 18.74 14.74
16.74 11.74 7.74 7.74 9.74 21.74 37.74 33.74 20.74 17.74 18.74 14.74
16.74 11.74 7.74 7.74 9.74 21.74 37.74 33.74 20.74 17.74 18.74 14.74
16.74 11.74 7.74 7.74 9.74 21.74 37.74 33.74 20.74 17.74 18.74 14.74
16.74 11.74 7.74 7.74 9.74 21.74 37.74 33.74 20.74 17.74 18.74 14.74
16.74 11.74 7.74 7.74 9.74 21.74 37.74 33.74 20.74 17.74 18.74 14.74
14.27 6.07 6.47 9.07 9.07 14.57 31.67 49.77 12.17 19.57 33.07 9.47
24.67 21.27 11.27 8.97 10.67 39.37 43.67 51.87 22.97 20.07 22.17 14.77
29.77 13.77 8.47 13.67 5.67 19.27 43.37 30.37 14.87 20.77 17.17 21.17
15.77 10.47 2.87 5.37 12.17 14.67 57.37 31.87 17.37 21.47 18.67 20.27
16.47 3.97 7.17 8.97 7.07 13.27 19.17 27.77 12.67 17.67 45.07 11.07
