"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.88 7.08 5.48 5.28 3.88 32.88 34.48 19.68 16.28 9.28 7.68 6.48
15.98 9.28 2.28 6.18 9.18 24.88 22.88 50.68 55.08 16.18 10.38 14.88
18.18 6.88 1.68 7.28 7.48 17.48 48.68 35.38 7.88 10.18 10.08 10.88
14.88 16.18 5.98 3.78 8.38 19.28 48.18 33.28 28.38 10.08 17.18 13.38
9.18 15.28 6.38 1.58 3.18 32.88 52.88 20.78 6.78 16.88 8.58 6.68
11.38 7.68 8.08 7.58 8.08 25.68 53.28 22.88 18.58 11.58 8.98 13.18
17.38 14.08 8.48 13.38 9.98 8.18 7.88 17.48 13.18 16.28 14.18 17.98
10.28 5.78 3.48 6.08 6.18 9.48 28.88 25.28 22.18 12.18 7.98 30.18
12.08 2.08 3.08 3.78 13.58 15.98 61.58 40.38 33.98 18.88 15.48 13.38
12.68 11.58 4.78 4.38 5.28 17.58 32.78 32.98 17.08 11.08 23.28 12.98
4.88 10.08 8.68 2.88 12.58 20.68 40.08 23.78 22.08 14.98 10.38 10.88
11.28 2.18 8.68 4.38 8.68 37.58 12.98 31.88 16.08 23.48 9.08 13.08
15.28 11.28 0.98 4.38 2.68 9.68 34.78 39.98 16.98 10.68 5.48 5.68
9.48 23.98 8.48 12.18 10.18 14.28 30.28 60.28 16.28 15.98 8.28 5.48
5.18 3.08 4.88 7.58 10.98 34.08 45.98 38.98 33.58 19.08 30.48 7.98
11.15 6.75 6.05 4.55 5.15 22.05 36.25 29.75 23.65 13.85 16.45 10.85
10.55 7.85 6.45 4.55 5.75 18.55 27.45 22.55 21.25 16.05 17.65 13.45
11.75 11.05 9.05 5.05 6.95 23.65 39.35 27.95 15.85 12.65 11.45 14.05
8.95 13.85 7.45 4.05 7.55 25.25 20.35 30.75 21.65 11.25 17.55 12.25
9.85 8.55 7.65 4.05 7.05 41.65 26.25 24.35 15.75 12.15 15.35 11.35
9.75 8.25 5.45 7.55 5.35 21.55 23.95 40.35 14.35 11.95 12.55 11.55
14.05 12.05 4.65 5.65 3.95 38.15 67.35 27.65 19.65 12.35 11.05 15.35
11.05 11.75 6.65 3.35 6.15 28.75 39.55 25.75 16.55 14.95 15.85 17.05
7.95 18.05 9.45 5.15 6.35 21.05 38.25 28.35 16.75 11.05 12.95 10.85
11.25 5.75 5.55 7.35 12.05 15.35 32.95 52.55 17.65 10.55 16.45 14.15
9.95 5.85 4.85 3.05 8.35 24.55 28.25 37.35 19.05 17.45 9.25 10.95
11.65 11.85 7.15 3.25 3.65 16.15 38.35 25.05 15.75 18.55 15.35 5.35
9.05 8.05 5.45 4.15 6.65 24.25 38.15 24.85 25.95 20.25 12.15 9.45
11.05 8.35 6.15 3.65 6.65 28.45 56.95 39.65 22.25 24.25 17.95 16.75
5.85 6.75 6.35 9.95 7.15 25.55 55.15 24.05 25.15 18.25 18.55 12.75
11.69 7.59 4.19 5.69 13.19 16.29 28.69 28.89 18.79 12.69 14.09 17.09
12.29 9.09 5.29 4.99 11.59 20.09 34.99 27.09 16.59 13.99 20.29 11.29
12.19 7.69 5.89 6.89 5.19 33.39 33.29 25.09 20.69 16.49 15.69 11.29
10.49 12.49 5.19 6.39 8.29 14.99 27.69 21.39 17.39 15.89 16.39 10.19
13.89 12.99 6.39 4.89 5.79 16.09 36.79 30.69 27.09 16.29 14.09 9.89
11.09 10.89 6.29 5.59 5.89 21.29 24.79 32.49 18.19 16.29 14.49 16.09
12.89 7.69 6.59 4.09 8.29 24.59 37.99 23.09 19.29 16.29 17.29 13.29
15.29 10.29 6.29 6.29 8.29 20.29 36.29 32.29 12.59 12.99 18.59 10.69
15.29 10.29 6.29 6.29 8.29 20.29 36.29 32.29 19.29 16.29 17.29 13.29
15.29 10.29 6.29 6.29 8.29 20.29 42.99 31.79 19.29 16.29 17.29 13.29
15.29 10.29 6.29 6.29 8.29 20.29 36.29 32.29 19.29 16.29 17.29 13.29
15.29 10.29 6.29 6.29 8.29 20.29 36.29 32.29 19.29 16.29 17.29 13.29
15.29 10.29 6.29 6.29 8.29 20.29 36.29 32.29 19.29 16.29 17.29 13.29
15.29 10.29 6.29 6.29 8.29 20.29 36.29 32.29 19.29 16.29 17.29 13.29
15.29 10.29 6.29 6.29 8.29 20.29 36.29 32.29 19.29 16.29 17.29 13.29
5.89 5.19 5.39 0.69 4.49 16.59 31.99 52.89 18.99 14.39 21.89 13.19
11.79 19.09 6.09 2.69 11.59 22.89 23.09 30.29 20.79 27.09 12.19 5.89
11.29 9.99 6.09 5.69 7.09 13.39 46.89 35.09 13.59 10.49 9.19 5.79
13.59 7.39 11.19 3.99 4.09 27.49 44.39 34.59 5.09 14.69 7.69 13.29
24.79 12.29 5.49 3.09 5.99 17.69 51.89 49.99 12.69 15.69 19.09 8.79
7.69 4.69 7.19 2.49 4.59 15.19 25.99 15.59 17.39 16.89 11.49 13.39
11.69 7.09 3.19 5.09 5.29 12.29 32.39 24.29 15.09 20.69 13.79 7.69
13.79 9.89 1.99 3.29 5.59 11.59 35.19 29.39 21.69 12.59 24.79 4.19
18.79 6.79 8.19 9.89 6.39 33.09 42.39 34.89 19.09 12.39 17.19 12.79
5.69 4.79 14.29 3.29 8.29 22.29 33.79 41.19 26.99 8.29 7.79 16.69
