"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-31.56 -32.26 -29.36 -16.76 -5.26 8.84 12.04 9.14 2.54 -10.66 -24.36 -30.16
-30.46 -29.76 -25.46 -16.46 -2.36 8.84 12.04 9.14 2.54 -10.66 -24.36 -32.76
-33.96 -29.76 -22.56 -15.96 -2.36 8.24 12.04 9.14 2.54 -10.66 -24.36 -30.16
-30.46 -29.76 -25.46 -16.46 -2.36 8.84 12.04 9.14 2.54 -10.66 -24.36 -30.16
-37.26 -33.06 -27.46 -17.56 -2.06 8.54 11.54 9.54 2.04 -10.26 -25.66 -33.56
-39.07 -32.17 -30.07 -12.87 -3.17 8.83 11.73 8.23 2.33 -9.37 -22.07 -25.27
-34.97 -36.77 -27.47 -17.17 -3.37 7.93 12.63 7.83 0.53 -13.97 -23.77 -31.97
-40.57 -34.17 -25.17 -17.17 -4.57 6.33 11.33 8.43 2.83 -7.87 -21.37 -32.07
-36.87 -22.47 -20.17 -18.17 -3.67 6.33 12.03 7.63 1.53 -11.57 -23.57 -30.27
-30.47 -30.37 -23.37 -15.47 -7.47 7.03 9.93 8.13 2.03 -10.57 -28.47 -33.37
-36.77 -33.07 -24.07 -14.87 -6.97 6.83 9.03 8.93 3.53 -9.37 -24.57 -24.47
-30.77 -33.27 -26.47 -18.87 -2.57 7.53 10.83 7.83 1.23 -10.17 -27.87 -35.97
-36.17 -26.87 -26.27 -22.97 -4.37 8.33 12.23 8.13 2.33 -8.77 -27.07 -28.27
-27.37 -28.17 -30.27 -14.07 -5.07 6.43 11.43 9.33 2.83 -9.77 -21.37 -33.17
-40.87 -28.27 -29.07 -18.27 -5.27 6.23 11.53 8.73 4.33 -10.37 -25.97 -29.17
-31.67 -32.37 -29.47 -16.87 -5.37 8.73 11.93 9.03 2.43 -10.77 -24.47 -30.27
-30.57 -29.87 -25.57 -16.57 -2.47 8.73 11.93 9.03 2.43 -10.77 -24.47 -32.87
-34.07 -29.87 -22.67 -16.07 -2.47 8.13 11.93 9.03 2.43 -10.77 -24.47 -30.27
-30.57 -29.87 -25.57 -16.57 -2.47 8.73 11.93 9.03 2.43 -10.77 -24.47 -30.27
-37.37 -33.17 -27.57 -17.67 -2.17 8.43 11.43 9.43 1.93 -10.37 -25.77 -33.67
-30.27 -29.27 -28.77 -20.07 -7.77 6.43 11.33 8.03 1.23 -11.17 -30.27 -38.47
-38.77 -23.17 -22.57 -14.57 -0.67 7.83 10.23 7.53 0.93 -11.47 -26.27 -30.87
-38.87 -28.37 -23.57 -18.17 -3.07 8.03 11.13 9.13 1.43 -11.17 -26.37 -33.07
-35.97 -33.27 -24.57 -19.07 -4.37 7.13 11.33 7.33 1.83 -11.17 -24.87 -30.67
-37.57 -35.07 -29.27 -16.97 -2.87 8.33 11.53 8.63 2.03 -11.17 -24.87 -30.67
-30.97 -30.27 -25.97 -16.97 -2.87 8.33 11.53 8.63 2.03 -11.17 -24.87 -30.67
-30.97 -30.27 -25.97 -16.97 -2.87 8.33 11.53 8.63 2.03 -11.17 -24.87 -30.67
-30.97 -30.27 -25.97 -16.97 -2.87 8.33 11.53 8.63 2.03 -11.17 -24.87 -30.67
-30.97 -30.27 -25.97 -16.97 -2.87 8.33 11.53 8.63 2.03 -11.17 -24.87 -30.67
-30.97 -30.27 -25.97 -16.97 -2.87 8.33 11.53 8.63 2.03 -11.17 -24.87 -30.67
-30.97 -30.27 -24.47 -15.87 -3.67 8.83 11.53 8.93 3.43 -9.57 -22.67 -32.57
-32.87 -31.27 -28.07 -17.77 -3.97 9.03 12.23 9.63 2.23 -11.47 -19.97 -26.47
-32.37 -29.37 -27.47 -15.67 -3.77 8.13 11.43 8.53 1.93 -11.17 -26.57 -31.47
-29.57 -27.97 -27.57 -17.47 -3.47 7.83 10.93 8.23 1.33 -12.37 -27.07 -30.57
-27.17 -32.17 -26.97 -16.57 -4.07 8.53 11.43 8.73 1.83 -10.77 -24.67 -31.77
-34.51 -35.21 -30.01 -18.61 -3.81 6.59 10.09 7.39 0.99 -12.91 -24.11 -32.91
-33.61 -24.91 -26.51 -15.91 -5.21 6.39 8.79 7.69 2.69 -9.41 -22.81 -33.41
-33.91 -27.51 -25.31 -14.41 -0.51 7.99 8.69 8.29 -0.01 -13.01 -26.71 -33.11
-33.51 -31.41 -24.71 -17.01 -4.81 5.99 9.59 6.29 0.39 -11.71 -27.21 -27.81
-23.61 -28.01 -28.71 -20.61 -8.71 5.49 8.79 6.59 -1.01 -11.41 -23.31 -33.51
-33.71 -32.21 -23.91 -18.41 -3.21 8.19 10.79 7.79 2.39 -8.81 -26.01 -28.01
-33.21 -35.01 -24.31 -17.21 -6.51 6.09 12.69 9.89 2.59 -9.91 -24.51 -30.61
-30.21 -32.81 -27.71 -17.61 -2.81 9.19 11.79 8.89 2.89 -9.51 -21.31 -35.01
-30.91 -31.41 -27.21 -10.51 -2.61 7.19 10.89 6.49 0.99 -10.91 -23.31 -34.81
-32.71 -31.41 -27.31 -18.41 -4.81 6.99 9.89 8.89 0.79 -15.11 -25.91 -24.41
-27.41 -30.41 -27.01 -18.71 -4.01 8.49 11.39 6.49 0.89 -12.71 -27.11 -30.41
-28.91 -31.91 -27.71 -16.61 -2.51 8.59 10.69 6.79 2.39 -11.11 -22.91 -35.11
-32.71 -30.91 -24.91 -18.31 -7.11 7.59 10.39 9.49 1.29 -13.11 -30.41 -29.31
-25.91 -30.41 -27.61 -16.21 -0.61 6.59 11.29 7.99 2.49 -10.71 -20.81 -33.61
-30.41 -30.81 -20.31 -17.51 -4.61 8.49 12.69 7.89 1.99 -11.41 -25.61 -27.01
-34.36 -35.06 -29.86 -18.46 -3.66 6.74 10.24 7.54 1.14 -12.76 -23.96 -32.76
-33.46 -24.76 -26.36 -15.76 -5.06 6.54 8.94 7.84 2.84 -9.26 -22.66 -33.26
-33.76 -27.36 -25.16 -14.26 -0.36 8.14 8.84 8.44 0.14 -12.86 -26.56 -32.96
-33.36 -31.26 -24.56 -16.86 -4.66 6.14 9.74 6.44 0.54 -11.56 -27.06 -27.66
-23.46 -27.86 -28.56 -20.46 -8.56 5.64 8.94 6.74 -0.86 -11.26 -23.16 -33.36
-33.56 -32.06 -23.76 -18.26 -3.06 8.34 10.94 7.94 2.54 -8.66 -25.86 -27.86
-33.06 -34.86 -24.16 -17.06 -6.36 6.24 12.84 10.04 2.74 -9.76 -24.36 -30.46
-30.06 -32.66 -27.56 -17.46 -2.66 9.34 11.94 9.04 3.04 -9.36 -21.16 -34.86
-30.76 -31.26 -27.06 -10.36 -2.46 7.34 11.04 6.64 1.14 -10.76 -23.16 -34.66
-32.56 -31.26 -27.16 -18.26 -4.66 7.14 10.04 9.04 0.94 -14.96 -25.76 -24.26
-27.26 -30.26 -26.86 -18.56 -3.86 8.64 11.54 6.64 1.04 -12.56 -26.96 -30.26
-28.76 -31.76 -27.56 -16.46 -2.36 8.74 10.84 6.94 2.54 -10.96 -22.76 -34.96
-32.56 -30.76 -24.76 -18.16 -6.96 7.74 10.54 9.64 1.44 -12.96 -30.26 -29.16
-25.76 -30.26 -27.46 -16.06 -0.46 6.74 11.44 8.14 2.64 -10.56 -20.66 -33.46
-30.26 -30.66 -20.16 -17.36 -4.46 8.64 12.84 8.04 2.14 -11.26 -25.46 -26.86
-34.42 -33.92 -24.72 -17.92 -4.52 6.98 10.68 7.88 0.88 -11.92 -26.22 -31.42
-34.22 -30.72 -25.02 -17.02 -5.12 7.08 10.88 7.88 0.98 -11.62 -25.72 -32.22
