"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-32.28 -32.38 -29.28 -16.68 -4.98 9.02 12.12 9.22 2.52 -10.78 -24.68 -30.78
-31.08 -30.18 -25.78 -16.38 -2.18 9.02 12.12 9.22 2.52 -10.78 -24.78 -32.98
-33.98 -30.28 -23.28 -15.98 -2.18 8.52 12.12 9.22 2.52 -10.78 -24.78 -30.78
-31.18 -30.18 -25.78 -16.38 -2.18 9.02 12.12 9.22 2.52 -10.78 -24.78 -30.78
-37.58 -33.38 -27.58 -17.48 -1.88 8.72 11.62 9.42 2.02 -10.48 -26.08 -34.08
-31.25 -30.75 -30.75 -18.75 -1.25 8.75 11.95 6.85 0.85 -10.95 -23.85 -32.45
-30.15 -28.15 -22.05 -12.65 -2.65 7.05 10.65 8.15 -1.35 -12.75 -24.05 -30.65
-26.85 -28.55 -27.85 -17.15 -5.65 5.95 10.65 6.65 1.35 -14.05 -23.65 -28.85
-40.55 -31.85 -28.45 -18.65 -3.55 11.15 10.05 8.05 -0.95 -12.55 -26.35 -29.15
-34.05 -33.95 -26.35 -17.95 -4.75 8.15 9.75 6.85 -1.35 -13.45 -23.85 -36.15
-34.95 -34.45 -26.25 -19.45 -2.95 8.85 10.55 8.65 2.15 -13.45 -21.65 -29.15
-36.35 -33.55 -22.75 -18.55 1.05 9.05 10.35 6.75 2.45 -9.15 -27.15 -31.05
-28.15 -28.65 -23.85 -17.45 -2.95 8.15 11.15 10.15 2.65 -12.95 -27.05 -35.95
-24.05 -33.25 -29.75 -16.65 -1.85 9.25 12.45 10.05 3.35 -12.75 -30.15 -31.05
-30.35 -29.75 -26.65 -17.95 -1.05 11.05 10.15 7.05 4.05 -12.65 -26.75 -30.45
-32.25 -32.15 -27.35 -16.35 -2.95 7.65 12.95 9.55 2.25 -11.65 -26.05 -32.15
-34.45 -26.95 -26.15 -16.35 -1.95 5.75 12.05 8.35 2.05 -10.05 -29.45 -29.15
-38.25 -31.05 -30.05 -15.95 -3.75 9.85 12.55 7.65 1.45 -11.75 -23.25 -30.85
-33.65 -33.55 -24.55 -17.65 -3.45 9.35 13.05 10.25 2.85 -7.25 -25.05 -36.95
-35.75 -28.35 -25.65 -17.35 -3.65 6.85 10.95 9.85 1.65 -10.45 -23.75 -32.85
-30.99 -29.89 -28.79 -19.89 -7.29 6.71 11.41 8.21 1.21 -11.19 -30.39 -38.69
-38.89 -24.09 -22.99 -14.59 -0.49 8.01 10.51 7.81 1.01 -11.59 -26.59 -31.49
-39.09 -28.99 -23.99 -17.99 -2.89 8.31 11.21 9.11 1.51 -11.19 -26.59 -33.29
-35.79 -33.29 -25.09 -18.59 -4.09 7.41 11.41 7.51 1.91 -11.29 -25.29 -31.29
-37.69 -35.19 -29.29 -16.79 -2.69 8.51 11.61 8.71 2.01 -11.29 -25.29 -31.29
-31.59 -30.59 -26.19 -16.89 -2.69 8.51 11.61 8.71 2.01 -11.29 -25.19 -31.39
-31.59 -30.79 -26.19 -16.89 -2.69 8.51 11.61 8.71 2.01 -11.29 -25.29 -31.29
-31.59 -30.69 -26.19 -16.89 -2.69 8.51 11.61 8.71 2.01 -11.29 -25.29 -31.29
-31.59 -30.69 -26.19 -16.89 -2.69 8.51 11.61 8.71 2.01 -11.29 -25.19 -31.29
-31.59 -30.69 -26.19 -16.89 -2.69 8.51 11.61 8.71 2.01 -11.29 -25.29 -31.29
-31.59 -30.69 -24.89 -15.99 -3.29 8.91 11.61 8.91 3.21 -9.79 -23.29 -32.99
-33.49 -31.69 -28.09 -17.69 -3.69 9.21 12.21 9.61 2.21 -11.59 -20.59 -27.29
-32.99 -29.89 -27.59 -15.69 -3.59 8.41 11.51 8.61 1.91 -11.29 -26.69 -31.89
-30.29 -28.69 -27.59 -17.39 -3.19 8.11 11.11 8.41 1.31 -12.29 -27.29 -31.19
-28.59 -32.39 -26.89 -16.59 -3.79 8.81 11.51 8.81 1.91 -11.09 -24.89 -32.29
-31.38 -30.88 -30.88 -18.88 -1.38 8.62 11.82 6.72 0.72 -11.08 -23.98 -32.58
-30.28 -28.28 -22.18 -12.78 -2.78 6.92 10.52 8.02 -1.48 -12.88 -24.18 -30.78
-26.98 -28.68 -27.98 -17.28 -5.78 5.82 10.52 6.52 1.22 -14.18 -23.78 -28.98
-40.68 -31.98 -28.58 -18.78 -3.68 11.02 9.92 7.92 -1.08 -12.68 -26.48 -29.28
-34.18 -34.08 -26.48 -18.08 -4.88 8.02 9.62 6.72 -1.48 -13.58 -23.98 -36.28
-35.08 -34.58 -26.38 -19.58 -3.08 8.72 10.42 8.52 2.02 -13.58 -21.78 -29.28
-36.48 -33.68 -22.88 -18.68 0.92 8.92 10.22 6.62 2.32 -9.28 -27.28 -31.18
-28.28 -28.78 -23.98 -17.58 -3.08 8.02 11.02 10.02 2.52 -13.08 -27.18 -36.08
-24.18 -33.38 -29.88 -16.78 -1.98 9.12 12.32 9.92 3.22 -12.88 -30.28 -31.18
-30.48 -29.88 -26.78 -18.08 -1.18 10.92 10.02 6.92 3.92 -12.78 -26.88 -30.58
-32.38 -32.28 -27.48 -16.48 -3.08 7.52 12.82 9.42 2.12 -11.78 -26.18 -32.28
-34.58 -27.08 -26.28 -16.48 -2.08 5.62 11.92 8.22 1.92 -10.18 -29.58 -29.28
-38.38 -31.18 -30.18 -16.08 -3.88 9.72 12.42 7.52 1.32 -11.88 -23.38 -30.98
-33.78 -33.68 -24.68 -17.78 -3.58 9.22 12.92 10.12 2.72 -7.38 -25.18 -37.08
-35.88 -28.48 -25.78 -17.48 -3.78 6.72 10.82 9.72 1.52 -10.58 -23.88 -32.98
-35.02 -35.52 -30.02 -18.32 -3.42 7.08 10.38 7.68 1.18 -12.92 -24.32 -33.32
-34.02 -25.12 -26.52 -15.72 -4.82 6.78 9.08 7.98 2.98 -9.12 -22.92 -33.82
-34.22 -27.72 -25.22 -14.22 -0.02 8.38 8.98 8.68 0.18 -12.92 -26.82 -33.52
-34.02 -31.62 -24.72 -16.62 -4.32 6.48 9.88 6.58 0.48 -11.52 -27.22 -28.22
-24.12 -28.22 -29.02 -20.92 -8.42 5.78 8.88 6.48 -1.12 -11.42 -23.62 -33.92
-34.22 -32.22 -23.92 -18.42 -3.12 8.48 11.18 8.38 2.48 -8.72 -26.62 -28.22
-34.02 -35.52 -24.02 -16.92 -6.32 6.38 13.28 10.38 2.58 -10.42 -25.32 -30.72
-30.22 -32.92 -27.42 -17.42 -2.42 9.48 12.08 9.38 3.18 -9.62 -21.22 -35.22
-31.72 -31.52 -27.62 -10.32 -2.32 7.58 11.28 6.68 1.18 -10.72 -23.42 -35.32
-33.12 -31.22 -27.62 -18.32 -4.32 7.38 9.98 9.28 0.88 -15.02 -25.72 -24.52
-27.62 -30.52 -27.12 -19.12 -4.02 9.18 11.88 6.88 1.08 -12.92 -26.82 -30.92
-29.82 -32.32 -27.82 -16.82 -2.32 9.08 10.98 7.08 2.88 -11.22 -22.32 -35.52
-33.02 -31.52 -25.12 -18.12 -6.82 7.78 10.68 9.98 1.48 -13.02 -31.02 -29.72
-26.22 -31.12 -27.12 -15.82 -0.32 6.88 11.88 8.28 2.48 -10.92 -21.02 -34.42
-30.22 -31.42 -20.42 -17.12 -4.52 8.98 13.18 8.18 2.08 -11.72 -25.72 -27.12
-30.15 -35.35 -28.65 -20.25 -5.25 7.35 11.25 8.85 2.85 -14.55 -27.15 -34.35
-28.05 -33.75 -32.05 -15.05 -3.25 9.05 12.65 9.55 2.55 -13.35 -28.25 -30.85
-28.65 -34.15 -25.45 -17.55 -3.35 6.65 10.55 8.65 0.55 -11.05 -22.65 -34.85
-28.65 -27.25 -27.15 -20.85 -2.45 6.65 9.65 6.75 -0.15 -13.25 -27.35 -33.15
-28.05 -29.05 -26.05 -19.85 -3.75 8.05 10.05 9.35 3.15 -12.35 -30.55 -27.15
-30.45 -30.55 -24.95 -14.55 -1.25 9.25 10.85 8.85 2.15 -8.65 -23.55 -33.05
-34.15 -27.25 -26.05 -17.25 -6.45 5.95 11.25 8.55 2.45 -9.95 -30.05 -31.45
