"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-25.24 -25.34 -22.24 -9.64 2.06 16.06 19.16 16.26 9.56 -3.74 -17.64 -23.74
-24.04 -23.14 -18.74 -9.34 4.86 16.06 19.16 16.26 9.56 -3.74 -17.74 -25.94
-26.94 -23.24 -16.24 -8.94 4.86 15.56 19.16 16.26 9.56 -3.74 -17.74 -23.74
-24.14 -23.14 -18.74 -9.34 4.86 16.06 19.16 16.26 9.56 -3.74 -17.74 -23.74
-30.54 -26.34 -20.54 -10.44 5.16 15.76 18.66 16.46 9.06 -3.44 -19.04 -27.04
-24.23 -23.73 -23.73 -11.73 5.77 15.77 18.97 13.87 7.87 -3.93 -16.83 -25.43
-23.13 -21.13 -15.03 -5.63 4.37 14.07 17.67 15.17 5.67 -5.73 -17.03 -23.63
-19.83 -21.53 -20.83 -10.13 1.37 12.97 17.67 13.67 8.37 -7.03 -16.63 -21.83
-33.53 -24.83 -21.43 -11.63 3.47 18.17 17.07 15.07 6.07 -5.53 -19.33 -22.13
-27.03 -26.93 -19.33 -10.93 2.27 15.17 16.77 13.87 5.67 -6.43 -16.83 -29.13
-27.93 -27.43 -19.23 -12.43 4.07 15.87 17.57 15.67 9.17 -6.43 -14.63 -22.13
-29.33 -26.53 -15.73 -11.53 8.07 16.07 17.37 13.77 9.47 -2.13 -20.13 -24.03
-21.13 -21.63 -16.83 -10.43 4.07 15.17 18.17 17.17 9.67 -5.93 -20.03 -28.93
-17.03 -26.23 -22.73 -9.63 5.17 16.27 19.47 17.07 10.37 -5.73 -23.13 -24.03
-23.33 -22.73 -19.63 -10.93 5.97 18.07 17.17 14.07 11.07 -5.63 -19.73 -23.43
-25.23 -25.13 -20.33 -9.33 4.07 14.67 19.97 16.57 9.27 -4.63 -19.03 -25.13
-27.43 -19.93 -19.13 -9.33 5.07 12.77 19.07 15.37 9.07 -3.03 -22.43 -22.13
-31.23 -24.03 -23.03 -8.93 3.27 16.87 19.57 14.67 8.47 -4.73 -16.23 -23.83
-26.63 -26.53 -17.53 -10.63 3.57 16.37 20.07 17.27 9.87 -0.23 -18.03 -29.93
-28.73 -21.33 -18.63 -10.33 3.37 13.87 17.97 16.87 8.67 -3.43 -16.73 -25.83
-23.09 -28.29 -21.59 -13.19 1.81 14.41 18.31 15.91 9.91 -7.49 -20.09 -27.29
-20.99 -26.69 -24.99 -7.99 3.81 16.11 19.71 16.61 9.61 -6.29 -21.19 -23.79
-21.59 -27.09 -18.39 -10.49 3.71 13.71 17.61 15.71 7.61 -3.99 -15.59 -27.79
-21.59 -20.19 -20.09 -13.79 4.61 13.71 16.71 13.81 6.91 -6.19 -20.29 -26.09
-20.99 -21.99 -18.99 -12.79 3.31 15.11 17.11 16.41 10.21 -5.29 -23.49 -20.09
-23.39 -23.49 -17.89 -7.49 5.81 16.31 17.91 15.91 9.21 -1.59 -16.49 -25.99
