"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.99 9.99 5.99 5.99 8.99 19.99 35.99 30.99 18.99 16.99 15.99 12.99
14.99 9.99 5.99 5.99 8.99 19.99 35.99 30.99 18.99 16.99 15.99 12.99
14.99 9.99 5.99 5.99 8.99 19.99 35.99 30.99 18.99 16.99 15.99 12.99
14.99 9.99 5.99 5.99 8.99 19.99 35.99 30.99 18.99 16.99 15.99 12.99
14.99 9.99 5.99 5.99 8.99 19.99 35.99 30.99 18.99 16.99 15.99 12.99
13.07 5.47 5.17 6.77 9.07 12.57 29.47 43.47 11.87 18.57 28.97 9.37
21.77 17.77 8.97 6.77 8.57 36.97 45.97 55.77 20.07 19.17 18.47 12.97
26.67 12.87 6.87 10.07 5.77 19.07 39.67 27.67 14.47 20.87 16.07 18.77
14.97 8.97 2.27 3.97 10.07 14.87 55.17 29.57 18.47 20.47 16.67 18.17
16.37 3.27 5.47 6.57 5.77 12.57 18.57 26.87 11.77 18.07 41.87 9.77
24.37 19.77 9.37 4.37 7.87 36.67 37.07 24.67 20.77 12.37 36.07 10.17
26.57 6.87 12.57 12.37 16.67 20.57 38.97 18.37 12.37 20.17 7.57 25.47
23.27 14.97 7.57 2.67 12.07 26.47 43.27 40.67 11.57 20.37 14.97 14.27
32.87 4.47 2.17 4.47 3.47 8.57 15.27 15.67 19.67 13.57 5.27 14.07
5.07 5.97 4.47 2.67 13.57 16.07 20.87 32.17 9.87 11.77 24.97 7.27
13.47 7.67 4.57 0.87 3.97 14.17 19.47 12.67 14.77 15.17 16.37 16.67
10.67 10.57 1.37 3.57 8.07 12.07 31.27 36.17 15.67 17.37 9.77 18.77
9.07 4.47 1.37 2.77 2.47 4.97 51.77 38.87 18.97 25.57 20.97 8.77
6.17 5.87 3.17 0.97 3.57 18.47 34.27 14.37 21.47 9.47 16.27 1.57
7.97 9.37 6.47 5.07 3.87 16.97 31.97 37.17 15.17 15.77 18.47 6.77
13.47 6.87 5.47 5.17 4.87 34.67 34.47 19.07 16.27 10.17 7.37 6.57
15.87 9.57 2.87 6.07 10.27 24.17 22.67 48.97 51.97 17.27 10.37 14.57
18.67 7.37 2.27 7.57 8.27 14.97 45.27 35.17 8.67 12.77 10.17 10.17
14.37 15.27 5.87 3.97 9.67 19.57 50.07 34.97 29.17 10.77 14.47 13.07
9.27 14.57 6.17 2.17 4.17 31.27 55.17 21.07 8.27 16.47 8.17 7.37
10.87 8.07 8.17 7.17 9.17 26.07 54.17 22.87 20.37 12.87 7.87 12.77
16.07 13.17 7.47 13.27 11.37 10.97 7.17 14.57 15.57 16.47 13.17 16.97
11.57 6.77 3.97 5.97 6.67 12.07 29.07 23.77 23.57 14.57 7.57 30.17
12.37 2.87 3.17 4.47 16.77 14.37 60.97 38.87 29.57 19.67 13.67 13.17
13.27 10.87 4.77 4.27 5.87 16.27 31.17 29.57 16.57 11.97 20.37 11.57
5.37 9.97 7.97 3.27 13.67 19.37 38.97 21.07 21.87 14.57 9.67 11.17
11.87 2.57 8.27 4.37 8.67 33.17 12.77 31.07 17.57 25.47 8.67 13.07
15.07 11.57 1.57 4.37 3.87 9.67 33.97 35.77 15.77 11.47 5.87 5.77
10.17 21.97 7.87 11.17 11.37 13.67 28.87 58.47 16.07 18.07 7.97 5.97
5.17 3.07 5.17 7.17 11.27 32.77 43.97 36.47 32.97 21.37 27.57 8.27
13.49 6.89 5.49 5.19 4.89 34.69 34.49 19.09 16.29 10.19 7.39 6.59
15.89 9.59 2.89 6.09 10.29 24.19 22.69 48.99 51.99 17.29 10.39 14.59
18.69 7.39 2.29 7.59 8.29 14.99 45.29 35.19 8.69 12.79 10.19 10.19
14.39 15.29 5.89 3.99 9.69 19.59 50.09 34.99 29.19 10.79 14.49 13.09
9.29 14.59 6.19 2.19 4.19 31.29 55.19 21.09 8.29 16.49 8.19 7.39
10.89 8.09 8.19 7.19 9.19 26.09 54.19 22.89 20.39 12.89 7.89 12.79
16.09 13.19 7.49 13.29 11.39 10.99 7.19 14.59 15.59 16.49 13.19 16.99
11.59 6.79 3.99 5.99 6.69 12.09 29.09 23.79 23.59 14.59 7.59 30.19
12.39 2.89 3.19 4.49 16.79 14.39 60.99 38.89 29.59 19.69 13.69 13.19
13.29 10.89 4.79 4.29 5.89 16.29 31.19 29.59 16.59 11.99 20.39 11.59
5.39 9.99 7.99 3.29 13.69 19.39 38.99 21.09 21.89 14.59 9.69 11.19
11.89 2.59 8.29 4.39 8.69 33.19 12.79 31.09 17.59 25.49 8.69 13.09
15.09 11.59 1.59 4.39 3.89 9.69 33.99 35.79 15.79 11.49 5.89 5.79
10.19 21.99 7.89 11.19 11.39 13.69 28.89 58.49 16.09 18.09 7.99 5.99
5.19 3.09 5.19 7.19 11.29 32.79 43.99 36.49 32.99 21.39 27.59 8.29
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 14.23 12.63 9.33
12.43 9.63 7.23 4.83 7.53 21.23 35.93 30.93 18.93 17.23 13.73 12.93
14.93 8.23 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 15.93 12.93
14.93 9.93 5.93 5.93 8.93 19.93 35.93 30.93 18.93 16.93 17.23 10.93
16.73 8.73 5.03 5.03 7.33 25.83 38.83 40.53 16.53 13.33 13.93 14.63
15.83 10.03 5.83 5.73 7.73 23.03 28.03 27.93 15.83 17.23 13.93 12.73
13.53 8.93 5.83 4.43 7.73 14.13 31.53 29.93 18.53 14.13 13.73 12.23
14.93 7.13 4.33 7.63 10.63 15.93 33.33 29.03 18.13 18.33 14.43 9.63
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 14.22 12.62 9.32
12.42 9.62 7.22 4.82 7.52 21.22 35.92 30.92 18.92 17.22 13.72 12.92
14.92 8.22 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 15.92 12.92
14.92 9.92 5.92 5.92 8.92 19.92 35.92 30.92 18.92 16.92 17.22 10.92
16.72 8.72 5.02 5.02 7.32 25.82 38.82 40.52 16.52 13.32 13.92 14.62
15.82 10.02 5.82 5.72 7.72 23.02 28.02 27.92 15.82 17.22 13.92 12.72
13.52 8.92 5.82 4.42 7.72 14.12 31.52 29.92 18.52 14.12 13.72 12.22
14.92 7.12 4.32 7.62 10.62 15.92 33.32 29.02 18.12 18.32 14.42 9.62
12.41 8.11 4.71 5.71 13.01 17.01 30.11 28.51 18.71 14.21 13.81 15.91
12.81 9.31 5.41 5.21 11.81 20.01 35.11 27.21 17.01 15.31 18.21 11.61
12.71 8.21 5.81 6.51 6.61 30.21 33.71 25.71 20.21 17.21 14.91 11.61
11.51 11.71 5.41 6.21 9.11 16.01 29.41 22.81 17.71 16.81 15.41 10.81
14.11 12.01 6.21 5.21 7.01 16.91 36.51 29.91 25.01 17.11 13.81 10.61
12.01 10.61 6.11 5.61 7.21 20.91 27.11 31.31 18.31 17.11 14.11 15.21
13.31 8.21 6.31 4.61 9.11 23.41 37.41 24.11 19.11 17.11 16.11 13.11
15.11 10.11 6.11 6.11 9.11 20.11 36.11 31.11 14.01 14.41 17.01 11.21
15.11 10.11 6.11 6.11 9.11 20.11 36.11 31.11 19.11 17.11 16.11 13.11
15.11 10.11 6.11 6.11 9.11 20.11 41.31 30.71 19.11 17.11 16.11 13.11
15.11 10.11 6.11 6.11 9.11 20.11 36.11 31.11 19.11 17.11 16.11 13.11
15.11 10.11 6.11 6.11 9.11 20.11 36.11 31.11 19.11 17.11 16.11 13.11
15.11 10.11 6.11 6.11 9.11 20.11 36.11 31.11 19.11 17.11 16.11 13.11
15.11 10.11 6.11 6.11 9.11 20.11 36.11 31.11 19.11 17.11 16.11 13.11
15.11 10.11 6.11 6.11 9.11 20.11 36.11 31.11 19.11 17.11 16.11 13.11
13.2 5.6 5.3 6.9 9.2 12.7 29.6 43.6 12 18.7 29.1 9.5
21.9 17.9 9.1 6.9 8.7 37.1 46.1 55.9 20.2 19.3 18.6 13.1
26.8 13 7 10.2 5.9 19.2 39.8 27.8 14.6 21 16.2 18.9
15.1 9.1 2.4 4.1 10.2 15 55.3 29.7 18.6 20.6 16.8 18.3
16.5 3.4 5.6 6.7 5.9 12.7 18.7 27 11.9 18.2 42 9.9
24.5 19.9 9.5 4.5 8 36.8 37.2 24.8 20.9 12.5 36.2 10.3
26.7 7 12.7 12.5 16.8 20.7 39.1 18.5 12.5 20.3 7.7 25.6
23.4 15.1 7.7 2.8 12.2 26.6 43.4 40.8 11.7 20.5 15.1 14.4
33 4.6 2.3 4.6 3.6 8.7 15.4 15.8 19.8 13.7 5.4 14.2
5.2 6.1 4.6 2.8 13.7 16.2 21 32.3 10 11.9 25.1 7.4
13.6 7.8 4.7 1 4.1 14.3 19.6 12.8 14.9 15.3 16.5 16.8
10.8 10.7 1.5 3.7 8.2 12.2 31.4 36.3 15.8 17.5 9.9 18.9
9.2 4.6 1.5 2.9 2.6 5.1 51.9 39 19.1 25.7 21.1 8.9
6.3 6 3.3 1.1 3.7 18.6 34.4 14.5 21.6 9.6 16.4 1.7
8.1 9.5 6.6 5.2 4 17.1 32.1 37.3 15.3 15.9 18.6 6.9
