"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-25.79 -25.89 -22.59 -10.19 1.81 15.71 18.91 15.91 9.21 -4.29 -18.19 -24.29
-24.59 -23.89 -19.39 -9.89 4.41 15.71 18.91 15.91 9.21 -4.29 -18.29 -26.29
-27.19 -23.89 -17.09 -9.59 4.41 15.31 18.91 15.91 9.21 -4.29 -18.29 -24.29
-24.69 -23.69 -19.39 -9.89 4.41 15.71 19.01 15.91 9.21 -4.29 -18.29 -24.29
-30.69 -26.79 -20.99 -10.89 4.71 15.41 18.51 16.11 8.71 -3.99 -19.59 -27.39
-24.74 -24.84 -24.14 -12.34 5.66 15.56 18.66 13.46 7.76 -4.34 -17.14 -26.04
-23.44 -21.44 -15.84 -6.44 3.76 13.76 17.56 14.86 5.46 -6.04 -17.34 -24.04
-20.64 -22.24 -21.34 -10.34 1.26 12.76 17.56 13.26 8.06 -7.74 -17.24 -22.44
-33.94 -25.54 -22.14 -12.14 2.86 17.76 16.86 15.06 6.06 -5.74 -19.94 -22.94
-26.74 -27.74 -20.04 -11.34 1.66 14.66 16.76 13.66 5.46 -7.14 -17.04 -29.44
-28.04 -28.04 -20.34 -12.94 3.76 15.46 17.46 15.36 8.76 -6.94 -14.64 -22.74
-29.44 -27.14 -16.14 -11.54 7.56 15.76 17.26 13.46 9.16 -2.44 -20.44 -23.94
-21.84 -22.64 -17.34 -11.04 3.76 15.06 18.26 17.06 9.26 -6.04 -20.34 -29.04
-18.14 -26.94 -23.24 -9.94 5.06 16.06 19.16 16.36 10.06 -6.24 -23.84 -24.54
-24.04 -23.34 -20.34 -11.54 5.46 17.66 16.96 13.96 10.46 -6.24 -19.94 -23.74
-25.74 -25.64 -20.74 -10.04 3.56 14.66 19.66 16.26 9.16 -5.14 -19.14 -25.44
-27.74 -20.74 -19.94 -9.94 4.86 12.56 18.86 15.16 8.96 -3.74 -22.94 -22.64
-31.14 -24.54 -23.34 -9.54 2.66 16.56 19.16 14.26 7.76 -5.34 -16.94 -24.74
-27.14 -27.24 -18.14 -11.04 2.96 15.86 19.86 16.96 9.66 -0.74 -18.74 -30.24
-29.14 -21.84 -19.24 -11.04 2.76 13.46 17.66 16.26 8.06 -4.84 -17.64 -26.74
-23.98 -28.58 -21.88 -13.68 1.42 14.12 18.02 15.62 9.62 -7.98 -20.88 -27.98
-21.88 -27.38 -25.48 -8.78 3.22 15.72 19.52 16.62 9.52 -6.38 -21.58 -24.38
-21.98 -27.78 -19.18 -10.98 3.32 13.52 17.52 15.62 7.52 -4.28 -15.98 -27.98
-22.08 -21.18 -20.48 -13.98 4.22 13.72 16.62 13.72 6.82 -6.48 -20.88 -26.38
-22.18 -22.68 -19.58 -13.08 2.72 14.92 17.02 15.92 9.82 -5.78 -23.98 -21.28
-23.98 -23.78 -18.38 -7.98 5.52 15.92 17.62 15.52 8.62 -2.38 -17.38 -26.38
-27.08 -20.38 -19.48 -10.78 -0.08 12.92 18.12 15.42 9.12 -3.68 -23.28 -24.68
-24.58 -24.48 -19.18 -12.18 4.12 14.02 19.02 16.02 8.92 -7.98 -22.78 -19.78
-23.88 -31.38 -19.68 -10.48 4.32 14.82 16.92 14.42 8.52 -1.68 -15.18 -27.28
-23.68 -19.78 -23.38 -12.98 0.52 13.62 19.02 13.62 7.52 -6.68 -13.08 -20.88
-28.48 -21.48 -21.08 -8.08 4.22 15.52 16.62 13.72 6.92 -5.58 -14.48 -23.28
-24.78 -29.18 -18.98 -12.38 3.22 13.92 19.62 15.72 7.02 -4.48 -22.18 -30.48
-23.58 -23.58 -21.08 -8.98 2.82 14.82 19.92 14.02 9.52 -2.78 -19.78 -24.78
-31.18 -17.78 -17.08 -11.48 3.62 16.62 17.82 15.32 10.62 -4.08 -20.68 -22.38
-26.88 -30.08 -15.78 -5.18 7.22 15.82 18.22 16.72 8.02 -4.48 -17.68 -26.98
-24.22 -28.82 -22.12 -13.92 1.18 13.88 17.78 15.38 9.38 -8.22 -21.12 -28.22
-22.12 -27.62 -25.72 -9.02 2.98 15.48 19.28 16.38 9.28 -6.62 -21.82 -24.62
-22.22 -28.02 -19.42 -11.22 3.08 13.28 17.28 15.38 7.28 -4.52 -16.22 -28.22
-22.32 -21.42 -20.72 -14.22 3.98 13.48 16.38 13.48 6.58 -6.72 -21.12 -26.62
-22.42 -22.92 -19.82 -13.32 2.48 14.68 16.78 15.68 9.58 -6.02 -24.22 -21.52
-24.22 -24.02 -18.62 -8.22 5.28 15.68 17.38 15.28 8.38 -2.62 -17.62 -26.62
-27.32 -20.62 -19.72 -11.02 -0.32 12.68 17.88 15.18 8.88 -3.92 -23.52 -24.92
-24.82 -24.72 -19.42 -12.42 3.88 13.78 18.78 15.78 8.68 -8.22 -23.02 -20.02
-24.12 -31.62 -19.92 -10.72 4.08 14.58 16.68 14.18 8.28 -1.92 -15.42 -27.52
-23.92 -20.02 -23.62 -13.22 0.28 13.38 18.78 13.38 7.28 -6.92 -13.32 -21.12
-28.72 -21.72 -21.32 -8.32 3.98 15.28 16.38 13.48 6.68 -5.82 -14.72 -23.52
-25.02 -29.42 -19.22 -12.62 2.98 13.68 19.38 15.48 6.78 -4.72 -22.42 -30.72
-23.82 -23.82 -21.32 -9.22 2.58 14.58 19.68 13.78 9.28 -3.02 -20.02 -25.02
-31.42 -18.02 -17.32 -11.72 3.38 16.38 17.58 15.08 10.38 -4.32 -20.92 -22.62
-27.12 -30.32 -16.02 -5.42 6.98 15.58 17.98 16.48 7.78 -4.72 -17.92 -27.22
-24.63 -23.53 -22.23 -13.23 -0.43 13.47 18.17 14.87 7.97 -4.73 -23.53 -31.73
-31.93 -18.23 -16.83 -8.23 5.87 14.77 17.27 14.47 7.67 -5.13 -20.13 -25.03
-32.13 -22.83 -17.73 -11.43 3.67 14.97 17.97 15.77 8.27 -4.73 -19.93 -26.63
