"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
19.45 12.45 7.45 8.45 11.45 25.45 41.45 37.45 22.45 19.45 20.45 15.45
19.45 12.45 7.45 8.45 11.45 25.45 41.45 37.45 22.45 19.45 20.45 15.45
19.45 12.45 7.45 8.45 11.45 25.45 41.45 37.45 22.45 19.45 20.45 15.45
19.45 12.45 7.45 8.45 11.45 25.45 41.45 37.45 22.45 19.45 20.45 15.45
19.45 12.45 7.45 8.45 11.45 25.45 41.45 37.45 22.45 19.45 20.45 15.45
16.41 5.71 5.81 10.11 9.81 18.11 35.71 57.61 12.21 21.81 35.41 8.51
30.01 23.21 10.01 9.71 15.21 45.81 44.21 46.91 26.01 22.01 25.11 15.41
35.31 13.21 7.81 15.51 6.21 20.71 51.21 33.91 14.41 21.81 16.71 22.61
17.21 10.81 2.61 6.01 16.61 15.41 61.91 35.51 15.41 23.71 19.31 21.11
17.11 4.11 6.61 10.41 9.41 15.01 20.51 28.81 13.31 18.01 45.51 11.81
33.31 22.31 10.71 5.71 7.41 38.51 40.81 29.41 23.31 15.91 43.01 12.11
25.31 8.41 13.61 15.11 21.71 24.21 46.21 22.01 15.21 23.71 10.21 27.91
29.01 15.71 9.01 4.81 14.11 32.81 56.41 44.51 13.11 22.71 12.11 15.11
39.31 7.71 3.41 6.41 6.21 12.51 19.51 18.01 22.81 18.11 8.91 15.71
7.81 9.01 6.21 4.91 15.91 19.11 25.71 42.91 11.91 15.51 27.51 9.41
21.71 7.71 5.51 2.51 6.61 18.71 21.51 18.01 20.81 19.31 23.61 18.51
16.91 13.11 2.71 5.81 11.91 19.01 33.21 46.31 22.11 19.51 14.01 21.41
14.51 8.91 2.51 5.61 3.51 6.51 50.51 44.31 20.91 29.71 33.81 12.81
7.81 8.61 4.91 2.71 5.51 24.01 38.91 19.71 26.91 10.91 20.21 3.51
13.91 11.81 8.11 7.31 6.51 24.21 36.41 43.51 21.21 19.21 27.11 8.91
20.45 9.55 6.55 7.35 6.25 36.45 38.95 24.25 19.35 11.95 10.95 8.95
19.75 10.85 3.85 8.25 12.05 31.55 27.25 55.25 59.45 18.75 13.05 17.05
21.55 8.55 3.45 8.75 10.55 24.85 58.05 39.95 10.55 11.85 12.55 13.65
19.15 18.45 7.05 5.75 10.75 24.15 51.65 35.75 29.95 13.05 21.55 15.25
12.65 17.55 7.25 3.55 5.45 39.75 57.05 23.75 8.55 21.25 11.65 8.15
15.65 9.15 8.25 9.75 10.65 30.45 57.95 25.85 19.95 14.05 12.95 15.45
23.05 16.45 9.55 14.25 12.65 9.45 10.95 23.35 14.05 19.95 17.05 20.55
12.65 7.15 4.55 7.95 9.35 10.75 33.05 30.85 23.25 13.75 11.05 31.25
15.45 3.85 4.85 5.25 15.05 22.35 69.15 45.75 41.45 22.65 19.25 15.65
15.85 13.85 6.05 6.95 8.15 23.35 38.55 40.95 19.95 13.85 27.55 16.25
7.85 12.25 9.45 4.95 15.85 26.95 46.35 30.35 25.35 19.75 13.75 12.25
14.35 4.35 9.15 6.65 12.95 47.05 16.05 36.55 17.75 25.35 12.05 14.85
19.35 12.55 2.85 6.35 4.45 14.75 40.65 48.75 20.45 13.45 7.75 7.75
12.35 26.85 9.25 14.45 12.75 19.25 36.85 66.15 19.75 17.85 11.15 7.35
8.75 5.55 5.85 9.55 15.25 41.35 53.85 46.95 36.15 20.85 33.75 9.95
20.46 9.56 6.56 7.36 6.26 36.46 38.96 24.26 19.36 11.96 10.96 8.96
19.76 10.86 3.86 8.26 12.06 31.56 27.26 55.26 59.46 18.76 13.06 17.06
21.56 8.56 3.46 8.76 10.56 24.86 58.06 39.96 10.56 11.86 12.56 13.66
19.16 18.46 7.06 5.76 10.76 24.16 51.66 35.76 29.96 13.06 21.56 15.26
