"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.49 7.59 4.59 5.39 4.29 34.49 36.99 22.29 17.39 9.99 8.99 6.99
17.79 8.89 1.89 6.29 10.09 29.59 25.29 53.29 57.49 16.79 11.09 15.09
19.59 6.59 1.49 6.79 8.59 22.89 56.09 37.99 8.59 9.89 10.59 11.69
17.19 16.49 5.09 3.79 8.79 22.19 49.69 33.79 27.99 11.09 19.59 13.29
10.69 15.59 5.29 1.59 3.49 37.79 55.09 21.79 6.59 19.29 9.69 6.19
13.69 7.19 6.29 7.79 8.69 28.49 55.99 23.89 17.99 12.09 10.99 13.49
21.09 14.49 7.59 12.29 10.69 7.49 8.99 21.39 12.09 17.99 15.09 18.59
10.69 5.19 2.59 5.99 7.39 8.79 31.09 28.89 21.29 11.79 9.09 29.29
13.49 1.89 2.89 3.29 13.09 20.39 67.19 43.79 39.49 20.69 17.29 13.69
13.89 11.89 4.09 4.99 6.19 21.39 36.59 38.99 17.99 11.89 25.59 14.29
5.89 10.29 7.49 2.99 13.89 24.99 44.39 28.39 23.39 17.79 11.79 10.29
12.39 2.39 7.19 4.69 10.99 45.09 14.09 34.59 15.79 23.39 10.09 12.89
17.39 10.59 0.89 4.39 2.49 12.79 38.69 46.79 18.49 11.49 5.79 5.79
10.39 24.89 7.29 12.49 10.79 17.29 34.89 64.19 17.79 15.89 9.19 5.39
6.79 3.59 3.89 7.59 13.29 39.39 51.89 44.99 34.19 18.89 31.79 7.99
12.22 6.42 5.02 4.42 5.52 25.62 39.32 32.32 25.32 14.42 17.42 10.62
11.42 7.72 5.42 4.32 6.22 21.22 28.82 23.62 22.52 17.02 18.72 13.52
12.92 11.12 7.82 4.92 7.72 27.52 43.02 30.12 16.32 14.42 14.02 14.02
12.02 12.52 6.02 4.42 9.82 30.52 25.72 37.52 24.82 14.22 19.02 12.62
13.42 9.02 6.52 4.52 7.72 39.62 30.02 31.02 16.52 13.62 17.12 12.22
12.22 8.12 4.42 7.32 6.82 22.92 29.62 38.82 16.92 13.72 14.82 11.62
16.62 12.42 4.32 5.92 5.42 38.62 62.92 35.12 19.62 13.32 13.92 16.72
13.62 11.92 5.62 4.02 7.92 27.72 39.22 29.32 17.42 15.42 17.72 15.12
10.82 14.22 6.72 5.12 7.12 25.42 40.52 30.72 18.42 13.52 15.02 12.02
14.52 6.72 4.82 7.42 11.12 19.22 37.32 50.02 18.52 12.32 18.62 14.52
13.12 6.62 4.52 3.72 8.62 26.42 33.02 36.82 19.82 18.62 11.72 12.32
15.12 11.42 6.12 4.02 5.32 22.12 38.92 28.42 17.92 21.42 18.02 4.32
9.62 7.92 4.42 3.72 8.82 25.02 40.32 23.62 30.42 22.92 13.32 10.02
13.72 8.62 5.32 3.52 7.32 35.02 54.62 42.42 23.42 22.62 20.52 17.02
5.72 5.02 4.42 11.62 7.72 30.92 58.32 25.12 28.22 19.52 22.72 13.82
13.01 7.51 3.61 5.81 15.51 18.51 30.51 31.41 20.01 13.41 14.81 17.61
13.81 9.21 4.61 5.01 13.61 23.31 38.01 29.31 17.41 14.91 21.91 11.31
13.61 7.61 5.21 7.21 5.61 40.01 35.91 26.91 22.11 17.71 16.61 11.31
11.61 12.91 4.51 6.61 9.51 16.81 29.31 22.51 18.41 17.01 17.41 10.11
15.81 13.41 5.61 5.01 6.41 18.21 40.01 33.51 29.41 17.51 14.81 9.81
12.31 11.21 5.51 5.71 6.61 24.81 25.91 35.81 19.31 17.51 15.21 16.51
14.51 7.61 5.81 4.11 9.51 29.01 41.51 24.51 20.51 17.51 18.51 13.51
17.51 10.51 5.51 6.51 9.51 23.51 39.51 35.51 12.81 13.61 20.01 10.61
17.51 10.51 5.51 6.51 9.51 23.51 39.51 35.51 20.51 17.51 18.51 13.51
17.51 10.51 5.51 6.51 9.51 23.51 47.41 34.91 20.51 17.51 18.51 13.51
17.51 10.51 5.51 6.51 9.51 23.51 39.51 35.51 20.51 17.51 18.51 13.51
17.51 10.51 5.51 6.51 9.51 23.51 39.51 35.51 20.51 17.51 18.51 13.51
17.51 10.51 5.51 6.51 9.51 23.51 39.51 35.51 20.51 17.51 18.51 13.51
17.51 10.51 5.51 6.51 9.51 23.51 39.51 35.51 20.51 17.51 18.51 13.51
17.51 10.51 5.51 6.51 9.51 23.51 39.51 35.51 20.51 17.51 18.51 13.51
6.51 4.01 3.91 0.51 5.51 22.31 37.71 54.71 22.01 13.51 23.91 10.51
11.61 18.11 4.71 1.81 11.21 27.51 23.31 34.61 18.91 29.71 11.21 4.91
12.71 7.51 5.71 6.21 8.41 17.31 52.61 40.81 16.41 10.31 9.51 5.41
16.61 8.81 10.91 4.81 6.31 29.01 48.01 39.61 3.11 17.11 8.41 15.11
32.31 11.91 4.71 3.01 7.41 23.71 54.41 58.61 13.41 17.51 22.31 9.71
