"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-25.21 -25.51 -22.41 -9.61 1.79 15.69 18.79 15.99 9.29 -3.81 -17.81 -23.61
-24.01 -23.11 -18.71 -9.31 4.69 15.69 18.79 15.99 9.29 -3.81 -17.81 -26.01
-27.21 -23.11 -16.01 -8.81 4.59 15.19 18.79 15.99 9.29 -3.81 -17.81 -23.61
-24.01 -23.11 -18.61 -9.31 4.69 15.69 18.79 15.99 9.29 -3.81 -17.81 -23.61
-30.81 -26.41 -20.61 -10.41 4.99 15.39 18.29 16.29 8.79 -3.41 -19.21 -27.01
-24.24 -23.74 -23.94 -11.74 5.56 15.26 18.56 13.56 7.56 -4.04 -17.04 -25.34
-23.14 -21.04 -14.94 -5.64 4.26 13.66 17.36 14.96 5.36 -5.94 -17.14 -23.54
-19.64 -21.54 -20.84 -10.04 1.16 12.46 17.26 13.36 8.16 -7.14 -16.74 -21.74
-33.64 -25.04 -21.44 -11.54 3.26 17.76 16.76 14.76 5.76 -5.64 -19.34 -21.84
-27.24 -26.94 -19.24 -10.84 2.06 14.76 16.36 13.66 5.36 -6.64 -17.04 -29.04
-27.84 -27.44 -19.14 -12.44 3.86 15.46 17.16 15.26 8.86 -6.54 -14.74 -22.04
-29.34 -26.44 -15.74 -11.64 7.96 15.66 17.06 13.46 9.16 -2.24 -20.34 -23.94
-21.04 -21.64 -16.84 -10.44 3.76 14.76 17.76 16.86 9.36 -6.04 -20.14 -28.84
-16.94 -26.14 -22.64 -9.74 4.86 15.86 19.06 16.76 10.06 -5.94 -23.24 -24.04
-23.44 -22.74 -19.54 -10.94 5.76 17.76 16.76 13.76 10.86 -5.74 -19.84 -23.34
-25.14 -25.24 -20.34 -9.34 3.86 14.16 19.56 16.26 8.86 -4.74 -19.14 -25.04
-27.34 -19.94 -19.24 -9.44 4.76 12.36 18.66 15.06 8.76 -3.14 -22.54 -22.04
-31.34 -24.04 -23.14 -8.94 3.06 16.46 19.16 14.36 8.16 -4.74 -16.34 -23.74
-26.64 -26.44 -17.54 -10.74 3.36 15.96 19.66 16.96 9.56 -0.34 -18.14 -29.94
-28.94 -21.34 -18.64 -10.44 3.16 13.46 17.66 16.66 8.36 -3.54 -16.84 -25.74
-23.1 -28.4 -21.6 -13.2 1.6 13.9 17.9 15.6 9.6 -7.6 -20.2 -27.1
-20.9 -26.7 -25.1 -7.9 3.5 15.7 19.2 16.3 9.3 -6.5 -21.3 -23.7
-21.5 -27 -18.3 -10.5 3.5 13.3 17.3 15.4 7.3 -4.1 -15.7 -27.8
-21.5 -20.1 -20.1 -13.7 4.4 13.4 16.3 13.6 6.6 -6.3 -20.4 -26.1
-21 -22 -18.9 -12.9 3.2 14.7 16.7 16.1 9.9 -5.5 -23.6 -20
-23.4 -23.6 -17.9 -7.5 5.6 16 17.5 15.6 8.9 -1.7 -16.6 -26
-27.1 -20.1 -18.9 -10.2 0.4 12.6 17.9 15.3 9.2 -2.9 -23.2 -24.2
-23.9 -23.4 -18.4 -12 4.2 14.1 18.9 16.1 9.3 -7.8 -22.7 -18.8
-23.4 -31.3 -19 -9.5 5.1 14.7 16.6 14.5 8.2 -1.2 -14.5 -27
-22.9 -19 -22.7 -12.1 0.4 13.3 18.9 13.6 7.6 -6.1 -12.3 -19.4
-27.7 -20.7 -20.6 -7.3 4.3 15.5 16.2 13.6 6.9 -5 -13.9 -22.6
-24.4 -28.7 -18.2 -12.1 3 13.7 19.4 15.7 7.1 -4.2 -21.5 -30.2
-23.2 -23.1 -20.7 -8.6 3.1 14.9 19.8 14 9.5 -2.2 -19.2 -24.2
-31.3 -17.1 -16.7 -11.4 3.9 16.8 17.6 15.3 10.6 -4 -20.8 -21.7
-26.2 -30.3 -15 -4.6 7 15.7 18 16.2 7.7 -4.2 -16.9 -26.5
-23.34 -28.64 -21.84 -13.44 1.36 13.66 17.66 15.36 9.36 -7.84 -20.44 -27.34
