"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.93 -31.53 -28.73 -15.93 -4.83 9.27 12.47 9.67 2.97 -10.03 -23.63 -29.43
-29.73 -28.93 -24.63 -15.63 -1.73 9.27 12.47 9.67 2.97 -10.03 -23.63 -32.23
-33.53 -28.93 -21.53 -15.03 -1.83 8.67 12.47 9.67 2.97 -10.03 -23.63 -29.43
-29.73 -28.93 -24.63 -15.63 -1.73 9.27 12.47 9.67 2.97 -10.03 -23.63 -29.43
-36.83 -32.43 -26.73 -16.83 -1.43 8.97 11.97 10.07 2.47 -9.53 -25.03 -32.93
-38.75 -31.45 -29.55 -11.85 -2.65 9.25 12.15 8.65 2.75 -8.65 -21.25 -24.35
-34.45 -36.35 -26.75 -16.35 -2.85 8.25 13.05 8.35 0.85 -13.45 -23.05 -31.25
-40.25 -33.55 -24.35 -16.35 -4.05 6.65 11.75 8.95 3.35 -7.15 -20.55 -31.45
-36.45 -21.35 -19.05 -17.35 -3.05 6.65 12.45 8.15 1.95 -10.95 -22.85 -29.55
-29.75 -29.55 -22.35 -14.55 -7.05 7.35 10.25 8.65 2.45 -9.95 -27.85 -32.75
-36.35 -32.35 -23.15 -13.95 -6.65 7.15 9.25 9.45 3.95 -8.75 -23.85 -23.45
-30.05 -32.65 -25.75 -18.25 -1.95 7.95 11.25 8.25 1.65 -9.45 -27.35 -35.55
-35.65 -25.85 -25.55 -22.45 -3.85 8.75 12.65 8.65 2.75 -8.05 -26.45 -27.45
-26.55 -27.25 -29.75 -13.15 -4.55 6.75 11.85 9.85 3.35 -9.05 -20.55 -32.65
-40.65 -27.35 -28.35 -17.55 -4.75 6.55 11.95 9.25 4.85 -9.75 -25.25 -28.35
-31.05 -31.65 -28.85 -16.05 -4.95 9.15 12.35 9.55 2.85 -10.15 -23.75 -29.55
-29.85 -29.05 -24.75 -15.75 -1.85 9.15 12.35 9.55 2.85 -10.15 -23.75 -32.35
-33.65 -29.05 -21.65 -15.15 -1.95 8.55 12.35 9.55 2.85 -10.15 -23.75 -29.55
-29.85 -29.05 -24.75 -15.75 -1.85 9.15 12.35 9.55 2.85 -10.15 -23.75 -29.55
-36.95 -32.55 -26.85 -16.95 -1.55 8.85 11.85 9.95 2.35 -9.65 -25.15 -33.05
-29.57 -28.37 -28.07 -19.47 -7.37 6.73 11.63 8.53 1.63 -10.47 -29.87 -38.17
-38.47 -22.07 -21.57 -13.67 0.03 8.13 10.53 8.03 1.33 -10.87 -25.57 -30.17
-38.57 -27.47 -22.67 -17.37 -2.47 8.43 11.43 9.63 1.83 -10.47 -25.87 -32.47
-35.67 -32.67 -23.67 -18.37 -3.87 7.43 11.73 7.83 2.23 -10.57 -24.17 -29.97
-37.17 -34.47 -28.67 -16.17 -2.27 8.73 11.93 9.13 2.43 -10.57 -24.17 -29.97
-30.27 -29.47 -25.17 -16.17 -2.27 8.73 11.93 9.13 2.43 -10.57 -24.17 -29.97
-30.27 -29.47 -25.17 -16.17 -2.27 8.73 11.93 9.13 2.43 -10.57 -24.17 -29.97
-30.27 -29.47 -25.17 -16.17 -2.27 8.73 11.93 9.13 2.43 -10.57 -24.17 -29.97
