"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
16.97 11.97 7.97 6.97 10.97 22.97 38.97 33.97 20.97 17.97 18.97 14.97
16.97 11.97 7.97 6.97 10.97 22.97 38.97 33.97 20.97 17.97 18.97 14.97
16.97 11.97 7.97 6.97 10.97 22.97 38.97 33.97 20.97 17.97 18.97 14.97
16.97 11.97 7.97 6.97 10.97 22.97 38.97 33.97 20.97 17.97 18.97 14.97
16.97 11.97 7.97 6.97 10.97 22.97 38.97 33.97 20.97 17.97 18.97 14.97
14.57 5.97 6.47 7.77 10.27 15.47 32.07 50.37 11.47 20.47 34.17 9.27
23.87 20.87 11.27 7.67 11.57 42.67 42.07 50.47 23.17 20.37 23.97 14.77
29.97 13.67 8.37 11.77 5.77 19.07 47.77 30.77 14.87 21.17 16.17 21.57
15.57 10.97 2.67 4.77 12.97 14.77 60.07 31.07 17.07 22.57 19.17 21.07
16.77 4.07 6.97 8.07 8.57 12.57 18.77 28.07 10.67 17.47 44.97 11.07
26.07 21.07 11.57 4.57 8.37 37.37 37.97 27.67 21.77 13.47 38.77 12.37
23.97 8.27 14.97 11.97 18.97 21.37 42.07 20.37 14.37 20.67 9.47 26.57
24.57 15.47 9.87 3.87 13.17 29.37 48.47 40.87 12.27 19.57 13.77 14.57
33.67 6.97 3.37 5.27 5.27 10.27 18.47 17.57 20.97 15.87 7.77 15.47
7.07 7.87 6.27 3.47 14.97 17.87 24.47 36.47 11.07 13.17 25.57 8.97
16.37 7.87 5.77 1.67 5.37 17.27 22.37 15.77 18.27 15.67 19.57 17.07
13.07 12.07 2.47 4.07 10.87 14.97 32.87 38.57 18.97 17.07 12.67 19.87
11.67 6.77 2.47 3.67 3.47 6.37 49.57 40.57 20.57 26.77 27.37 11.87
7.07 7.87 4.77 2.07 4.87 21.47 39.57 17.87 23.27 10.87 18.47 3.37
10.57 11.07 8.07 5.37 5.77 19.07 34.47 38.87 18.17 16.87 22.67 8.67
16.31 8.91 6.71 5.61 6.11 35.21 36.71 20.81 18.81 10.81 10.01 8.51
17.11 10.71 3.81 6.51 12.01 29.21 29.81 54.01 54.21 18.11 11.91 15.31
18.31 8.31 3.31 7.11 9.91 18.81 48.91 36.51 9.91 11.91 12.41 12.61
16.81 16.71 7.31 4.61 10.71 22.41 48.61 33.41 28.61 11.91 19.11 14.21
11.11 16.31 7.81 2.91 5.31 33.91 54.01 23.01 8.81 18.01 10.51 8.41
13.21 8.91 9.21 7.61 10.61 27.71 52.61 25.01 19.61 13.11 11.11 14.41
18.71 14.91 9.21 11.91 12.31 10.51 11.61 19.71 14.91 17.11 15.11 19.01
12.31 7.51 4.91 6.31 8.61 11.41 32.41 25.61 23.11 13.51 9.91 29.71
14.01 4.01 4.91 4.51 15.31 18.11 64.11 39.71 34.71 20.11 17.61 14.91
14.31 13.11 6.31 5.31 7.61 19.61 36.11 33.41 19.11 13.01 24.01 14.91
7.11 11.31 9.81 3.91 15.81 24.01 40.01 26.01 21.91 16.91 12.21 11.91
12.71 4.21 10.21 5.11 11.31 41.11 15.61 33.21 17.41 25.21 11.01 14.31
16.81 12.61 2.71 5.11 4.61 12.41 36.91 41.71 18.91 12.21 7.91 7.41
11.01 24.11 9.21 10.71 12.51 17.11 32.31 63.21 17.61 17.21 10.11 7.51
7.51 5.01 6.41 7.51 13.31 36.21 48.11 40.71 33.61 19.31 30.61 9.71
16.33 8.93 6.73 5.63 6.13 35.23 36.73 20.83 18.83 10.83 10.03 8.53
17.13 10.73 3.83 6.53 12.03 29.23 29.83 54.03 54.23 18.13 11.93 15.33
18.33 8.33 3.33 7.13 9.93 18.83 48.93 36.53 9.93 11.93 12.43 12.63
16.83 16.73 7.33 4.63 10.73 22.43 48.63 33.43 28.63 11.93 19.13 14.23
11.13 16.33 7.83 2.93 5.33 33.93 54.03 23.03 8.83 18.03 10.53 8.43
13.23 8.93 9.23 7.63 10.63 27.73 52.63 25.03 19.63 13.13 11.13 14.43
18.73 14.93 9.23 11.93 12.33 10.53 11.63 19.73 14.93 17.13 15.13 19.03
12.33 7.53 4.93 6.33 8.63 11.43 32.43 25.63 23.13 13.53 9.93 29.73
14.03 4.03 4.93 4.53 15.33 18.13 64.13 39.73 34.73 20.13 17.63 14.93
14.33 13.13 6.33 5.33 7.63 19.63 36.13 33.43 19.13 13.03 24.03 14.93
7.13 11.33 9.83 3.93 15.83 24.03 40.03 26.03 21.93 16.93 12.23 11.93
12.73 4.23 10.23 5.13 11.33 41.13 15.63 33.23 17.43 25.23 11.03 14.33
16.83 12.63 2.73 5.13 4.63 12.43 36.93 41.73 18.93 12.23 7.93 7.43
11.03 24.13 9.23 10.73 12.53 17.13 32.33 63.23 17.63 17.23 10.13 7.53
7.53 5.03 6.43 7.53 13.33 36.23 48.13 40.73 33.63 19.33 30.63 9.73
16.74 11.74 7.74 6.74 10.74 22.74 38.74 33.74 20.74 12.84 12.04 7.74
11.94 11.14 10.54 4.64 7.84 25.34 38.74 33.74 20.74 18.34 14.24 14.74
