"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.85 7.45 5.25 4.15 4.65 33.75 35.25 19.35 17.35 9.35 8.55 7.05
15.65 9.25 2.35 5.05 10.55 27.75 28.35 52.55 52.75 16.65 10.45 13.85
16.85 6.85 1.85 5.65 8.45 17.35 47.45 35.05 8.45 10.45 10.95 11.15
15.35 15.25 5.85 3.15 9.25 20.95 47.15 31.95 27.15 10.45 17.65 12.75
9.65 14.85 6.35 1.45 3.85 32.45 52.55 21.55 7.35 16.55 9.05 6.95
11.75 7.45 7.75 6.15 9.15 26.25 51.15 23.55 18.15 11.65 9.65 12.95
17.25 13.45 7.75 10.45 10.85 9.05 10.15 18.25 13.45 15.65 13.65 17.55
10.85 6.05 3.45 4.85 7.15 9.95 30.95 24.15 21.65 12.05 8.45 28.25
12.55 2.55 3.45 3.05 13.85 16.65 62.65 38.25 33.25 18.65 16.15 13.45
12.85 11.65 4.85 3.85 6.15 18.15 34.65 31.95 17.65 11.55 22.55 13.45
5.65 9.85 8.35 2.45 14.35 22.55 38.55 24.55 20.45 15.45 10.75 10.45
11.25 2.75 8.75 3.65 9.85 39.65 14.15 31.75 15.95 23.75 9.55 12.85
15.35 11.15 1.25 3.65 3.15 10.95 35.45 40.25 17.45 10.75 6.45 5.95
9.55 22.65 7.75 9.25 11.05 15.65 30.85 61.75 16.15 15.75 8.65 6.05
6.05 3.55 4.95 6.05 11.85 34.75 46.65 39.25 32.15 17.85 29.15 8.25
9.4 5.2 6.1 3.2 4.4 24.2 37.4 28.8 25.7 12.8 16.2 9.8
8.5 6.9 6.6 3.2 5.2 18.8 24.2 18.1 22.2 16 17.9 13.7
10.2 11.6 10.5 3.8 7.3 26.6 42.1 26 14.4 12.7 11.8 14.3
9 13.5 7.6 3.3 9.6 29.1 20.3 33.8 24.1 12.1 18 12.4
10.5 8.6 8.2 3.4 7.5 42 26 26.3 14.8 11.9 15.7 11.8
9.5 7.7 5.1 6.4 6 21.4 24.9 37.7 14.9 11.9 12.9 11.3
14.4 12.9 4.8 4.8 4.2 40.1 67.9 30.8 18.8 11.6 11.6 17.2
11 12.3 6.9 2.8 7.4 27.7 38.3 25.2 15.9 14.3 16.4 16.2
7.8 16.4 9 4.1 6.6 23.5 39 27.2 16.9 11.4 13.2 11.4
11.8 5.6 5.7 6.5 12.3 16.2 34.5 51 17.3 10.2 17.4 14.8
10.3 5.5 5.1 2.5 8.7 25.4 29.3 35.2 18.8 17.9 9 11.8
12.4 11.9 7.6 2.8 4.1 19.1 37.7 24.3 16.2 18.1 15.8 5.3
9.1 7.9 5 3.1 8.3 24.1 37.9 24.2 25.3 20 12.4 9.9
11.3 8.1 5.9 3.3 7.5 29.3 55.9 40 22 25.9 19.3 16.6
5.6 6.7 6.3 8.6 7.1 32.8 56.4 23.6 25.3 18 19.3 14.2
10.22 6.62 3.52 4.82 17.52 15.42 26.12 27.62 18.82 11.32 12.92 19.02
11.12 8.82 5.12 3.92 15.02 21.32 35.62 24.92 15.62 13.22 21.82 10.62
10.92 6.72 6.02 6.32 4.42 41.62 33.02 22.12 21.52 16.82 15.12 10.62
8.52 13.72 4.92 5.62 9.52 13.42 24.62 16.62 16.82 15.92 16.22 9.02
13.52 14.42 6.72 3.82 5.32 15.12 38.22 30.12 30.82 16.52 12.82 8.52
9.42 11.42 6.52 4.62 5.62 23.12 20.32 32.82 18.02 16.52 13.42 17.52
12.02 6.72 7.02 2.82 9.52 28.22 40.12 19.12 19.52 16.52 17.52 13.52
