"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.17 -29.57 -26.07 -13.57 -1.77 12.03 15.23 12.23 5.33 -8.07 -22.17 -28.37
-28.97 -27.87 -23.17 -13.37 0.83 12.03 15.03 12.13 5.33 -8.17 -22.37 -30.17
-31.17 -27.97 -21.07 -13.17 0.73 11.63 15.13 12.23 5.43 -8.07 -22.47 -28.37
-29.07 -27.67 -23.17 -13.47 0.73 12.13 15.23 12.13 5.53 -8.07 -22.47 -28.27
-34.87 -30.77 -24.67 -14.37 1.23 11.73 14.63 12.23 4.93 -7.97 -23.67 -31.57
-29.05 -28.25 -27.85 -15.75 1.75 11.85 15.05 9.85 3.95 -8.15 -21.35 -29.85
-27.95 -25.75 -19.35 -9.55 0.45 10.05 13.75 11.15 1.65 -9.95 -21.55 -28.25
-24.55 -26.15 -24.95 -14.05 -2.55 9.05 13.75 9.65 4.35 -11.25 -21.15 -26.35
-38.15 -29.15 -25.55 -15.55 -0.45 14.25 13.15 11.05 2.05 -9.75 -23.85 -26.75
-31.85 -31.35 -23.55 -14.85 -1.65 11.25 12.95 9.85 1.75 -10.55 -21.45 -33.65
-32.75 -32.05 -23.55 -16.35 0.25 11.95 13.65 11.65 5.15 -10.55 -19.25 -26.55
-34.05 -31.05 -20.15 -15.45 4.15 12.15 13.45 9.85 5.55 -6.35 -24.55 -28.75
-25.85 -26.05 -21.05 -14.25 0.15 11.25 14.25 13.25 5.65 -10.05 -24.55 -33.45
-21.85 -30.75 -26.95 -13.65 1.15 12.45 15.55 13.05 6.25 -10.05 -27.55 -28.45
-28.05 -27.35 -23.85 -14.95 1.95 14.15 13.25 10.05 7.05 -9.95 -24.35 -27.95
-30.15 -29.55 -24.55 -13.25 0.25 10.75 16.05 12.55 5.25 -8.85 -23.55 -29.65
-32.25 -24.55 -23.35 -13.25 1.25 8.85 15.15 11.35 5.05 -7.15 -26.95 -26.75
-35.85 -28.55 -27.15 -12.85 -0.55 13.05 15.65 10.65 4.45 -8.95 -20.85 -28.35
-31.25 -31.05 -21.85 -14.45 -0.35 12.45 16.25 13.15 5.75 -4.55 -22.65 -34.35
-33.35 -25.85 -22.75 -14.25 -0.55 9.95 14.05 12.85 4.55 -7.65 -21.25 -30.15
-27.86 -32.76 -25.86 -16.96 -2.26 10.44 14.34 11.84 5.84 -11.76 -24.66 -31.76
-25.56 -31.16 -29.26 -11.86 -0.16 12.14 15.74 12.54 5.44 -10.56 -25.86 -28.46
-26.56 -31.56 -22.76 -14.46 -0.36 9.74 13.64 11.64 3.54 -8.26 -20.16 -32.26
-26.46 -24.96 -24.46 -17.76 0.74 9.74 12.64 9.74 2.84 -10.56 -24.86 -30.66
-25.76 -26.56 -23.26 -16.86 -0.66 11.14 13.14 12.44 6.14 -9.56 -27.96 -24.66
-27.96 -28.06 -22.26 -11.46 1.84 12.34 13.94 11.84 5.14 -5.86 -20.96 -30.56
-31.96 -24.86 -23.36 -14.06 -3.36 9.04 14.44 11.54 5.44 -7.16 -27.56 -28.96
-28.56 -27.96 -22.76 -16.06 0.44 10.44 15.34 12.44 5.54 -11.86 -27.06 -23.86
